pmid,year
4568407,1972
4568406,1972
4568405,1972
4568404,1972
4568403,1972
4568402,1972
4568401,1972
4568400,1972
4568399,1972
4346710,1972
4346709,1972
4119624,1972
4119623,1972
4629891,1972
4629890,1972
4565951,1972
4565950,1972
4565949,1972
4565948,1972
4565947,1972
4565946,1972
4565945,1972
4565944,1972
4565943,1972
4565942,1972
4565941,1972
4565940,1972
4565939,1972
4565938,1972
4565937,1972
4565936,1972
4628915,1972
4564322,1972
4564321,1972
4564320,1972
4564319,1972
4564318,1972
4564317,1972
4564316,1972
4564315,1972
4632277,1972
4632276,1972
4632275,1972
4632274,1972
4570499,1972
4570498,1972
4570497,1972
4570496,1972
4347876,1972
4564597,1972
4564596,1972
4564595,1972
4564594,1972
4574297,1972
4569422,1972
4569421,1972
4569420,1972
4569419,1972
4569418,1972
4569417,1972
4569416,1972
4347260,1972
4629330,1972
4629329,1972
4564992,1972
4564991,1972
4564990,1972
4564989,1972
4564988,1972
4564987,1972
4564986,1972
4118080,1972
4629216,1972
4564818,1972
4564817,1972
4564816,1972
4564815,1972
4564814,1972
4118029,1972
4571810,1972
4570643,1972
4570642,1972
4570641,1972
4570640,1972
4570639,1972
4570638,1972
4570637,1972
4570636,1972
4570635,1972
4120574,1972
4120573,1972
4563025,1972
4563024,1972
4563023,1972
4563022,1972
4563021,1972
4563020,1972
4563019,1972
4563018,1972
4628136,1972
4628135,1972
4628134,1972
4562876,1972
4562875,1972
4562874,1972
4562873,1972
4562872,1972
4562871,1972
4562870,1972
12635313,1972
12635312,1972
12635311,1972
12635310,1972
12635309,1972
12635308,1972
12635307,1972
12635306,1972
12635305,1972
12635304,1972
12635303,1972
12635302,1972
12635301,1972
12635300,1972
12635299,1972
12635298,1972
12635297,1972
12635296,1972
12635295,1972
12635294,1972
12635293,1972
12635292,1972
12635291,1972
12635290,1972
12635281,1972
12635235,1972
12635234,1972
12635233,1972
12635232,1972
12635231,1972
12635230,1972
12635229,1972
12635228,1972
12635227,1972
12635226,1972
12635225,1972
12635224,1972
12635223,1972
12635222,1972
12635221,1972
12635220,1972
12635219,1972
12635218,1972
12635217,1972
4627779,1972
4562036,1972
4562035,1972
4562034,1972
4562033,1972
4562032,1972
4562031,1972
4562030,1972
4562029,1972
4403997,1972
4342649,1972
4562736,1972
4562735,1972
4562734,1972
4562733,1972
4562732,1972
4562731,1972
4562730,1972
4562729,1972
4404144,1972
4263504,1972
4117010,1972
4561969,1972
4561968,1972
4561967,1972
4561966,1972
4561965,1972
4561964,1972
4561963,1972
4561962,1972
4561961,1972
4561960,1972
4561959,1972
4561958,1972
4561957,1972
4116529,1972
4116528,1972
4627815,1972
4562110,1972
4562109,1972
4562108,1972
4562107,1972
4562106,1972
4342692,1972
4627814,1972
4627813,1972
4562105,1972
4342691,1972
4627711,1972
4561860,1972
4561859,1972
4561858,1972
4561857,1972
4561856,1972
4561855,1972
4561854,1972
4561853,1972
4561852,1972
4342527,1972
4626399,1972
4559589,1972
4559588,1972
4559587,1972
4559586,1972
4559585,1972
4559584,1972
4559583,1972
4559582,1972
4559581,1972
4559580,1972
4340746,1972
4627710,1972
4561851,1972
4561850,1972
4561849,1972
4561848,1972
4561847,1972
4561846,1972
4561845,1972
4561844,1972
4561843,1972
4561842,1972
4561841,1972
4561840,1972
4561839,1972
4561838,1972
4561837,1972
4561836,1972
4561835,1972
4403942,1972
4342526,1972
4558568,1972
4558567,1972
4558566,1972
4558565,1972
4558564,1972
4558563,1972
4558562,1972
4558561,1972
4558560,1972
4558559,1972
4558558,1972
4558557,1972
4558556,1972
4558555,1972
4558554,1972
4340089,1972
4625765,1972
4558356,1972
4558355,1972
4558354,1972
4558353,1972
4558352,1972
4558351,1972
4558350,1972
4558349,1972
4558348,1972
4403022,1972
4558464,1972
4558463,1972
4558462,1972
4558461,1972
4558460,1972
4558459,1972
4558458,1972
4558457,1972
4558456,1972
4558455,1972
4558454,1972
4558453,1972
4558452,1972
4558451,1972
4557791,1972
4557790,1972
4557789,1972
4557788,1972
4557787,1972
4557786,1972
4557785,1972
4557784,1972
4557783,1972
4557782,1972
4557781,1972
12635278,1972
12635277,1972
12635276,1972
12635275,1972
12635274,1972
12635273,1972
12635272,1972
12635271,1972
12635270,1972
12635269,1972
12635268,1972
12635267,1972
12635266,1972
