pmid,year
9882201,1998
9874620,1998
9874606,1998
9869676,1998
9869672,1998
9869671,1998
9869670,1998
9869669,1998
9869668,1998
9869667,1998
9869666,1998
9867564,1998
9867552,1998
9867551,1998
9867550,1998
9867524,1998
9862953,1998
9862947,1998
9862946,1998
9862945,1998
9862944,1998
9862943,1998
9862942,1998
9862941,1998
9854125,1998
9854120,1998
9854119,1998
9854118,1998
9854117,1998
9854116,1998
9854115,1998
9854114,1998
9845712,1998
9845711,1998
9845710,1998
9845709,1998
9845708,1998
9845707,1998
9841327,1998
9841316,1998
9841303,1998
9841286,1998
9834312,1998
9834307,1998
9834306,1998
9834305,1998
9834304,1998
9834303,1998
9834302,1998
9834301,1998
9828254,1998
9828250,1998
9828249,1998
9828248,1998
9828247,1998
9828246,1998
9828245,1998
9828244,1998
9819458,1998
9819452,1998
9819451,1998
9819450,1998
9819449,1998
9819448,1998
9819447,1998
9819446,1998
9811921,1998
9811920,1998
9811919,1998
9811918,1998
9811917,1998
9811916,1998
9811915,1998
9801404,1998
9801401,1998
9801400,1998
9801399,1998
9801398,1998
9801397,1998
9801396,1998
9801394,1998
9791152,1998
9791151,1998
9791148,1998
9791147,1998
9791146,1998
9791145,1998
9791144,1998
9791143,1998
9791142,1998
9791141,1998
9786749,1998
9780348,1998
9780347,1998
9780343,1998
9780342,1998
9780341,1998
9780340,1998
9780339,1998
9780338,1998
9780337,1998
9776645,1998
9770561,1998
9770560,1998
9770559,1998
9770558,1998
9770557,1998
9770556,1998
9770555,1998
9761812,1998
9761811,1998
9761809,1998
9761808,1998
9761807,1998
9761806,1998
9761805,1998
9761804,1998
9761803,1998
9761802,1998
9753718,1998
9753717,1998
9753714,1998
9753713,1998
9753712,1998
9753711,1998
9753710,1998
9753709,1998
9753708,1998
9750089,1998
9750077,1998
9744980,1998
9744975,1998
9744974,1998
9744973,1998
9744972,1998
9744971,1998
9744970,1998
9744969,1998
9742025,1998
9738092,1998
9738091,1998
9738090,1998
9738089,1998
9738088,1998
9738087,1998
9738086,1998
9738085,1998
9731092,1998
9731091,1998
9731090,1998
9731089,1998
9731088,1998
9731087,1998
9731086,1998
9725930,1998
9725929,1998
9725927,1998
9725926,1998
9725925,1998
9725924,1998
9725923,1998
9725922,1998
9725921,1998
9722434,1998
9718387,1998
9718381,1998
9718380,1998
9718379,1998
9718378,1998
9718377,1998
9718376,1998
9718375,1998
9714618,1998
9709052,1998
9709051,1998
9709047,1998
9709046,1998
9709045,1998
9709044,1998
9709043,1998
9709042,1998
9709041,1998
9705685,1998
9705684,1998
9700184,1998
9700180,1998
9700179,1998
9700178,1998
9700176,1998
9700175,1998
9700174,1998
9696641,1998
9696640,1998
9691113,1998
9691112,1998
9691107,1998
9691106,1998
9691105,1998
9691104,1998
9691103,1998
9691102,1998
9691101,1998
9687245,1998
9682046,1998
9682045,1998
9682044,1998
9682043,1998
9682041,1998
9682040,1998
9673308,1998
9673304,1998
9673303,1998
9673302,1998
9673301,1998
9673300,1998
9673299,1998
9673298,1998
9669910,1998
9669897,1998
9669896,1998
9664098,1998
9664095,1998
9664094,1998
9664093,1998
