pmid,year
17173075,2006
17173074,2006
17173073,2006
17173072,2006
17173071,2006
17173070,2006
17173069,2006
17173068,2006
17173067,2006
17173066,2006
17173065,2006
17173064,2006
17173063,2006
17173062,2006
17160024,2006
17160023,2006
17160022,2006
17160021,2006
17160020,2006
17160019,2006
17160018,2006
17160017,2006
17160016,2006
17160015,2006
17160014,2006
17160013,2006
17146446,2006
17146445,2006
17146444,2006
17146443,2006
17146442,2006
17146441,2006
17146440,2006
17146439,2006
17146438,2006
17146437,2006
17146436,2006
17146435,2006
17146434,2006
17146433,2006
17146432,2006
17143299,2006
17143298,2006
17143297,2006
17143296,2006
17143295,2006
17143294,2006
17143293,2006
17143292,2006
17143291,2006
17143290,2006
17143289,2006
17143288,2006
17130845,2006
17130844,2006
17130843,2006
17130842,2006
17130841,2006
17130840,2006
17130839,2006
17130838,2006
17130837,2006
17130836,2006
17130835,2006
17130834,2006
17130833,2006
17130832,2006
17130831,2006
17130830,2006
17130829,2006
17130828,2006
17130827,2006
17099730,2006
17099729,2006
17099728,2006
17099727,2006
17099726,2006
17099725,2006
17099724,2006
17099723,2006
17099722,2006
17099721,2006
17086213,2006
17086212,2006
17086211,2006
17086210,2006
17086209,2006
17086208,2006
17072349,2006
17072348,2006
17072347,2006
17072346,2006
17072345,2006
17072344,2006
17072343,2006
17072342,2006
17072341,2006
17072340,2006
17072339,2006
17072338,2006
17072337,2006
17072336,2006
17072335,2006
17072334,2006
17072333,2006
17072332,2006
17072331,2006
17072330,2006
17072329,2006
17072328,2006
17072327,2006
17072326,2006
17072325,2006
17072324,2006
17072323,2006
17072322,2006
17072321,2006
17057737,2006
17057736,2006
17057735,2006
17057734,2006
17057733,2006
17057732,2006
17057731,2006
17043663,2006
17043662,2006
17043661,2006
17043660,2006
17043659,2006
17043658,2006
17043657,2006
17043656,2006
17043655,2006
17043654,2006
17043653,2006
17043652,2006
17043651,2006
17043650,2006
17043649,2006
17043648,2006
17043647,2006
17043646,2006
17043645,2006
17043644,2006
17043643,2006
17043642,2006
17043641,2006
17043640,2006
17043639,2006
17043638,2006
17043637,2006
17043636,2006
17041628,2006
17041627,2006
17041626,2006
17041625,2006
17041624,2006
17041623,2006
17041622,2006
17041621,2006
17028602,2006
17028601,2006
17028600,2006
17028599,2006
17028598,2006
17028597,2006
17028596,2006
17028595,2006
17028594,2006
17016446,2006
17016445,2006
17016444,2006
17016443,2006
17016442,2006
17016441,2006
17016440,2006
17016439,2006
17016438,2006
17016437,2006
17016436,2006
17016435,2006
17016434,2006
17016433,2006
17016432,2006
17016431,2006
17016430,2006
17016429,2006
17016428,2006
17001349,2006
17001321,2006
17001320,2006
17001319,2006
17001318,2006
17001317,2006
17001316,2006
17001315,2006
17001314,2006
17001313,2006
17001312,2006
17001311,2006
17001310,2006
17001309,2006
17001308,2006
17001307,2006
17001306,2006
17001305,2006
16998506,2006
16998505,2006
16998504,2006
16998503,2006
16998502,2006
16998501,2006
16998500,2006
16998499,2006
16998498,2006
16998497,2006
16998496,2006
16983347,2006
16983346,2006
16983345,2006
16983344,2006
16983343,2006
16983342,2006
16983341,2006
16983340,2006
16983339,2006
16983338,2006
16983337,2006
16983336,2006
16983335,2006
16983334,2006
16983333,2006
16983332,2006
16964294,2006
16964293,2006
16964292,2006
16964291,2006
16964290,2006
16964289,2006
16964288,2006
16964287,2006
16964286,2006
16964285,2006
16964284,2006
16964283,2006
16964282,2006
16964281,2006
16964280,2006
16964279,2006
16953234,2006
16953233,2006
16953232,2006
16953231,2006
16953230,2006
16953229,2006
16953228,2006
16953227,2006
16953226,2006
16953225,2006
16953224,2006
16953223,2006
16953222,2006
16953221,2006
16953220,2006
16953219,2006
16953218,2006
16953217,2006
16936779,2006
16936778,2006
16936777,2006
16936776,2006
16936775,2006
16936774,2006
16936773,2006
16936772,2006
16936757,2006
16936756,2006
16936755,2006
16936754,2006
16936753,2006
16936752,2006
16936751,2006
16936750,2006
16936749,2006
16936748,2006
16936747,2006
16936746,2006
16936745,2006
16936744,2006
16936743,2006
16936742,2006
16936741,2006
16936740,2006
16936739,2006
16936738,2006
16936737,2006
16924243,2006
16924242,2006
16924241,2006
16924240,2006
16924239,2006
16924238,2006
16924237,2006
16924236,2006
16924235,2006
16924234,2006
16924233,2006
16924232,2006
16924231,2006
16924230,2006
16924229,2006
16924228,2006
16909127,2006
16909126,2006
16909125,2006
16909124,2006
16909123,2006
16909122,2006
16909121,2006
16909120,2006
16909119,2006
16909118,2006
16909117,2006
16909116,2006
16909115,2006
16909114,2006
16909113,2006
16909112,2006
16909111,2006
16909110,2006
16909109,2006
16909108,2006
16909107,2006
16909106,2006
16909105,2006
16909104,2006
16909103,2006
16909102,2006
16909101,2006
16909100,2006
16909099,2006
16892093,2006
16892092,2006
16892091,2006
16892090,2006
16892089,2006
16892088,2006
16892087,2006
16892086,2006
16892085,2006
16892084,2006
16892083,2006
16892082,2006
16892081,2006
16892080,2006
16892079,2006
16892078,2006
16892077,2006
16878161,2006
16878160,2006
16878159,2006
16878158,2006
16878157,2006
16878156,2006
16878155,2006
16878154,2006
16878153,2006
16878152,2006
16878151,2006
16878150,2006
16878149,2006
16878148,2006
16878147,2006
16862188,2006
16862187,2006
16862186,2006
16862185,2006
16862184,2006
16862183,2006
16862182,2006
16862181,2006
16862180,2006
16862179,2006
16862178,2006
16862177,2006
16862176,2006
16862175,2006
16862174,2006
16862173,2006
16862172,2006
16862171,2006
16862170,2006
16862169,2006
16862168,2006
16847458,2006
16847457,2006
16847456,2006
16847455,2006
16847454,2006
16847453,2006
16832352,2006
16832351,2006
16832350,2006
16832349,2006
16832348,2006
16832347,2006
16832346,2006
16832345,2006
16832344,2006
16832343,2006
16832342,2006
16832341,2006
16832340,2006
16819515,2006
16819514,2006
16819513,2006
16819512,2006
16819511,2006
16819510,2006
16819509,2006
16819508,2006
16819507,2006
16819506,2006
16819505,2006
16819504,2006
16799646,2006
16799645,2006
16799644,2006
16799643,2006
16799642,2006
16799641,2006
16799640,2006
16799639,2006
16799638,2006
16799637,2006
16799636,2006
16799635,2006
16799634,2006
16799633,2006
16799632,2006
16799631,2006
16799630,2006
16799629,2006
16799628,2006
16799627,2006
16799626,2006
16799625,2006
16799624,2006
16799623,2006
16799622,2006
16799621,2006
16799620,2006
16799619,2006
16799618,2006
16799617,2006
16786001,2006
16786000,2006
16785999,2006
16785998,2006
16785997,2006
16785996,2006
16785995,2006
16785994,2006
16785993,2006
16785992,2006
16785991,2006
16785990,2006
16785989,2006
16785988,2006
16785987,2006
16785986,2006
16767165,2006
16767164,2006
16767163,2006
16767162,2006
16767161,2006
16767160,2006
16767159,2006
16767158,2006
16767157,2006
16767156,2006
16767155,2006
16751810,2006
16751809,2006
16751808,2006
16751807,2006
16751806,2006
16751805,2006
16751804,2006
16751803,2006
16751802,2006
16751801,2006
16751800,2006
16732333,2006
16732332,2006
16732331,2006
16732330,2006
16732329,2006
16732328,2006
16732327,2006
16732326,2006
16732325,2006
16732324,2006
16732323,2006
16732322,2006
16732321,2006
16732320,2006
16732319,2006
16732318,2006
16732317,2006
16732316,2006
16732315,2006
16732314,2006
16715143,2006
16715142,2006
16715141,2006
16715140,2006
16715139,2006
16715138,2006
16715137,2006
16715136,2006
16715135,2006
16715134,2006
16715133,2006
16715132,2006
16715131,2006
16715130,2006
16715129,2006
16715128,2006
16715127,2006
16715126,2006
16715125,2006
16715124,2006
16702959,2006
16702958,2006
16702957,2006
16702956,2006
16702955,2006
16702954,2006
16702953,2006
16702952,2006
16702951,2006
16702950,2006
16702949,2006
16702948,2006
16702947,2006
16702946,2006
16702945,2006
16702944,2006
16682958,2006
16682957,2006
16682956,2006
16682955,2006
16682954,2006
16682953,2006
16682952,2006
16682951,2006
16682950,2006
16682949,2006
16682948,2006
16682947,2006
16682946,2006
16682945,2006
16682944,2006
16682943,2006
16652159,2006
16652158,2006
16652157,2006
16652156,2006
16652155,2006
16652154,2006
16652153,2006
16652152,2006
16652151,2006
16652150,2006
16652149,2006
16652148,2006
16652147,2006
16652146,2006
16652145,2006
16652144,2006
16652143,2006
16652142,2006
16652141,2006
16652140,2006
16652139,2006
16636679,2006
16636678,2006
16636677,2006
16636676,2006
16636675,2006
16636674,2006
16636673,2006
16636672,2006
16636671,2006
16636670,2006
16636669,2006
16636668,2006
16636667,2006
16636666,2006
16636665,2006
16636664,2006
16636663,2006
16636662,2006
16636661,2006
16636660,2006
16636659,2006
16619047,2006
16619046,2006
16619045,2006
16619044,2006
16619043,2006
16619042,2006
16619041,2006
16619040,2006
16619039,2006
16619038,2006
16619037,2006
16619036,2006
16619035,2006
16619034,2006
16607286,2006
16607285,2006
16607284,2006
16607283,2006
16607282,2006
16607281,2006
16607280,2006
16607279,2006
16607278,2006
16607277,2006
16607276,2006
16607275,2006
16607274,2006
16582966,2006
16568096,2006
16568095,2006
16568094,2006
16568093,2006
16568092,2006
16568091,2006
16568090,2006
16568089,2006
16568088,2006
16568087,2006
16568086,2006
16568085,2006
16568084,2006
16568083,2006
16568082,2006
16568081,2006
16568080,2006
16568079,2006
16568078,2006
16550168,2006
16550167,2006
16550166,2006
16550165,2006
16550164,2006
16550163,2006
