pmid,query_name
30925190,fundamental_2019
30925184,fundamental_2019
30925183,fundamental_2019
30925182,fundamental_2019
30925178,fundamental_2019
30925175,fundamental_2019
30925174,fundamental_2019
30925173,fundamental_2019
30925160,fundamental_2019
30925158,fundamental_2019
30925152,fundamental_2019
30925150,fundamental_2019
30925148,fundamental_2019
30921450,fundamental_2019
30921439,fundamental_2019
30921437,fundamental_2019
30921425,fundamental_2019
30921424,fundamental_2019
30921421,fundamental_2019
30921420,fundamental_2019
30921419,fundamental_2019
30921418,fundamental_2019
30921417,fundamental_2019
30921416,fundamental_2019
30921414,fundamental_2019
30921409,fundamental_2019
30921405,fundamental_2019
30921404,fundamental_2019
30921403,fundamental_2019
30921402,fundamental_2019
30921399,fundamental_2019
30921398,fundamental_2019
30921393,fundamental_2019
30921392,fundamental_2019
30921391,fundamental_2019
30921390,fundamental_2019
30921387,fundamental_2019
30921386,fundamental_2019
30921385,fundamental_2019
30921382,fundamental_2019
30921381,fundamental_2019
30921376,fundamental_2019
30921375,fundamental_2019
30921373,fundamental_2019
30921366,fundamental_2019
30921364,fundamental_2019
30921362,fundamental_2019
30921357,fundamental_2019
30921355,fundamental_2019
30921346,fundamental_2019
30921342,fundamental_2019
30921339,fundamental_2019
30921332,fundamental_2019
30921331,fundamental_2019
30921330,fundamental_2019
30921329,fundamental_2019
30917190,fundamental_2019
30917187,fundamental_2019
30917179,fundamental_2019
30917178,fundamental_2019
30917173,fundamental_2019
30917172,fundamental_2019
30917166,fundamental_2019
30917163,fundamental_2019
30917162,fundamental_2019
30917160,fundamental_2019
30917155,fundamental_2019
30917153,fundamental_2019
30917150,fundamental_2019
30917148,fundamental_2019
30917147,fundamental_2019
30917146,fundamental_2019
30917145,fundamental_2019
30917144,fundamental_2019
30917141,fundamental_2019
30917140,fundamental_2019
30917139,fundamental_2019
30917136,fundamental_2019
30917135,fundamental_2019
30917134,fundamental_2019
30917131,fundamental_2019
30917128,fundamental_2019
30917127,fundamental_2019
30917126,fundamental_2019
30917124,fundamental_2019
30917122,fundamental_2019
30917119,fundamental_2019
30917111,fundamental_2019
30913282,fundamental_2019
30913281,fundamental_2019
30913279,fundamental_2019
30913274,fundamental_2019
30913273,fundamental_2019
30913270,fundamental_2019
30913269,fundamental_2019
30913266,fundamental_2019
30913260,fundamental_2019
30913256,fundamental_2019
30913255,fundamental_2019
30913254,fundamental_2019
30913253,fundamental_2019
30913248,fundamental_2019
30913247,fundamental_2019
30913245,fundamental_2019
30913242,fundamental_2019
30913239,fundamental_2019
30913238,fundamental_2019
30913237,fundamental_2019
30913234,fundamental_2019
30913233,fundamental_2019
30913229,fundamental_2019
30913228,fundamental_2019
30913227,fundamental_2019
30913225,fundamental_2019
30913222,fundamental_2019
30913221,fundamental_2019
30913219,fundamental_2019
30913218,fundamental_2019
30913215,fundamental_2019
30913214,fundamental_2019
30913207,fundamental_2019
30909287,fundamental_2019
30908559,fundamental_2019
30908556,fundamental_2019
30908553,fundamental_2019
30908552,fundamental_2019
30908549,fundamental_2019
30908544,fundamental_2019
30908543,fundamental_2019
30908541,fundamental_2019
30908536,fundamental_2019
30908531,fundamental_2019
30908529,fundamental_2019
30908527,fundamental_2019
30908517,fundamental_2019
30908514,fundamental_2019
30908510,fundamental_2019
30908509,fundamental_2019
30908506,fundamental_2019
30908505,fundamental_2019
30908502,fundamental_2019
30908494,fundamental_2019
30908493,fundamental_2019
30901374,fundamental_2019
30901368,fundamental_2019
30901367,fundamental_2019
30901366,fundamental_2019
30901361,fundamental_2019
30901358,fundamental_2019
30901355,fundamental_2019
30901354,fundamental_2019
30901351,fundamental_2019
30901350,fundamental_2019
30901348,fundamental_2019
30901347,fundamental_2019
30901342,fundamental_2019
30901341,fundamental_2019
30901338,fundamental_2019
30901336,fundamental_2019
30901333,fundamental_2019
30901332,fundamental_2019
30901330,fundamental_2019
30901327,fundamental_2019
30897184,fundamental_2019
30897181,fundamental_2019
30897179,fundamental_2019
30897177,fundamental_2019
30897175,fundamental_2019
30897173,fundamental_2019
30897171,fundamental_2019
30897169,fundamental_2019
30897167,fundamental_2019
30897163,fundamental_2019
30897160,fundamental_2019
30897156,fundamental_2019
30897151,fundamental_2019
30897150,fundamental_2019
30897149,fundamental_2019
30897140,fundamental_2019
30897139,fundamental_2019
30897137,fundamental_2019
30897133,fundamental_2019
30897123,fundamental_2019
30897122,fundamental_2019
30897120,fundamental_2019
30897119,fundamental_2019
30897118,fundamental_2019
30897117,fundamental_2019
30897115,fundamental_2019
30897112,fundamental_2019
30897110,fundamental_2019
30897109,fundamental_2019
30897108,fundamental_2019
30897105,fundamental_2019
30897104,fundamental_2019
30897101,fundamental_2019
30897100,fundamental_2019
30897097,fundamental_2019
30897094,fundamental_2019
30893384,fundamental_2019
30893376,fundamental_2019
30893375,fundamental_2019
30893374,fundamental_2019
30893362,fundamental_2019
30893355,fundamental_2019
30893352,fundamental_2019
30893348,fundamental_2019
30893346,fundamental_2019
30893345,fundamental_2019
30893342,fundamental_2019
30893340,fundamental_2019
30893339,fundamental_2019
30893338,fundamental_2019
30893334,fundamental_2019
30893330,fundamental_2019
30893326,fundamental_2019
30893325,fundamental_2019
30893324,fundamental_2019
30893322,fundamental_2019
30893321,fundamental_2019
30893316,fundamental_2019
30893307,fundamental_2019
30889231,fundamental_2019
30889230,fundamental_2019
30889229,fundamental_2019
30889228,fundamental_2019
30889227,fundamental_2019
30889226,fundamental_2019
30889223,fundamental_2019
30889218,fundamental_2019
30889216,fundamental_2019
30889213,fundamental_2019
30889210,fundamental_2019
30889207,fundamental_2019
30889203,fundamental_2019
30889197,fundamental_2019
30889192,fundamental_2019
30889190,fundamental_2019
30889180,fundamental_2019
30889177,fundamental_2019
30889176,fundamental_2019
30889175,fundamental_2019
30883612,fundamental_2019
30883609,fundamental_2019
30883597,fundamental_2019
30883592,fundamental_2019
30883588,fundamental_2019
30883587,fundamental_2019
30883586,fundamental_2019
30883585,fundamental_2019
30883584,fundamental_2019
30883582,fundamental_2019
30883577,fundamental_2019
30883575,fundamental_2019
30883574,fundamental_2019
30883573,fundamental_2019
30883572,fundamental_2019
30883570,fundamental_2019
30883569,fundamental_2019
30883566,fundamental_2019
30883565,fundamental_2019
30883564,fundamental_2019
30883563,fundamental_2019
30883562,fundamental_2019
30883559,fundamental_2019
30883554,fundamental_2019
30883551,fundamental_2019
30883549,fundamental_2019
30883548,fundamental_2019
30875416,fundamental_2019
30875410,fundamental_2019
30875409,fundamental_2019
30875406,fundamental_2019
30875404,fundamental_2019
30875400,fundamental_2019
30875395,fundamental_2019
30875392,fundamental_2019
30875389,fundamental_2019
30875387,fundamental_2019
30875385,fundamental_2019
30875384,fundamental_2019
30875378,fundamental_2019
30875373,fundamental_2019
30875372,fundamental_2019
30875367,fundamental_2019
30870529,fundamental_2019
30870528,fundamental_2019
30870527,fundamental_2019
30870523,fundamental_2019
30870522,fundamental_2019
30870515,fundamental_2019
30870514,fundamental_2019
30870513,fundamental_2019
30870509,fundamental_2019
30870507,fundamental_2019
30870505,fundamental_2019
30870504,fundamental_2019
30870500,fundamental_2019
30870494,fundamental_2019
30870481,fundamental_2019
30870473,fundamental_2019
30870469,fundamental_2019
30870466,fundamental_2019
30870465,fundamental_2019
30870463,fundamental_2019
30870462,fundamental_2019
30870461,fundamental_2019
30870460,fundamental_2019
30870458,fundamental_2019
30870456,fundamental_2019
30870455,fundamental_2019
30870453,fundamental_2019
30870449,fundamental_2019
30870444,fundamental_2019
30870442,fundamental_2019
30870441,fundamental_2019
30870434,fundamental_2019
30870429,fundamental_2019
30870424,fundamental_2019
30870419,fundamental_2019
30870411,fundamental_2019
30865725,fundamental_2019
30865723,fundamental_2019
30865720,fundamental_2019
30865708,fundamental_2019
30865705,fundamental_2019
30865704,fundamental_2019
30865697,fundamental_2019
30865694,fundamental_2019
30865693,fundamental_2019
30865691,fundamental_2019
30865690,fundamental_2019
30865686,fundamental_2019
30865683,fundamental_2019
30865676,fundamental_2019
30865674,fundamental_2019
30865672,fundamental_2019
30865670,fundamental_2019
30865669,fundamental_2019
30865667,fundamental_2019
30865666,fundamental_2019
30865665,fundamental_2019
30865663,fundamental_2019
30865661,fundamental_2019
30865660,fundamental_2019
30865659,fundamental_2019
30865657,fundamental_2019
30865653,fundamental_2019
30865652,fundamental_2019
30865651,fundamental_2019
30865650,fundamental_2019
30865649,fundamental_2019
30865647,fundamental_2019
30865645,fundamental_2019
30865644,fundamental_2019
30865643,fundamental_2019
30865639,fundamental_2019
30865638,fundamental_2019
30865637,fundamental_2019
30865636,fundamental_2019
30865634,fundamental_2019
30865624,fundamental_2019
30865622,fundamental_2019
30861055,fundamental_2019
30861051,fundamental_2019
30861049,fundamental_2019
30861048,fundamental_2019
30861045,fundamental_2019
30861044,fundamental_2019
30861041,fundamental_2019
30861037,fundamental_2019
30861036,fundamental_2019
30861031,fundamental_2019
30861030,fundamental_2019
30861026,fundamental_2019
30861023,fundamental_2019
30861021,fundamental_2019
30861020,fundamental_2019
30861017,fundamental_2019
30861013,fundamental_2019
30861012,fundamental_2019
30861009,fundamental_2019
30861008,fundamental_2019
30861002,fundamental_2019
30861000,fundamental_2019
30860999,fundamental_2019
30860998,fundamental_2019
30860996,fundamental_2019
30860994,fundamental_2019
30856237,fundamental_2019
30856235,fundamental_2019
30856233,fundamental_2019
30856232,fundamental_2019
30856229,fundamental_2019
30856226,fundamental_2019
30856225,fundamental_2019
30856224,fundamental_2019
30856222,fundamental_2019
30856221,fundamental_2019
30856218,fundamental_2019
30856216,fundamental_2019
30856213,fundamental_2019
30856212,fundamental_2019
30856211,fundamental_2019
30856209,fundamental_2019
30856203,fundamental_2019
30856202,fundamental_2019
30856199,fundamental_2019
30856198,fundamental_2019
30856195,fundamental_2019
30856193,fundamental_2019
30856192,fundamental_2019
30856188,fundamental_2019
30856179,fundamental_2019
30856175,fundamental_2019
30849129,fundamental_2019
30849128,fundamental_2019
30849125,fundamental_2019
30849123,fundamental_2019
30849119,fundamental_2019
30849117,fundamental_2019
30849116,fundamental_2019
30849115,fundamental_2019
30849114,fundamental_2019
30849112,fundamental_2019
30849110,fundamental_2019
30849109,fundamental_2019
30849105,fundamental_2019
30849103,fundamental_2019
30849102,fundamental_2019
30849101,fundamental_2019
30849100,fundamental_2019
30849097,fundamental_2019
30849091,fundamental_2019
30849086,fundamental_2019
30849085,fundamental_2019
30849084,fundamental_2019
30845273,fundamental_2019
30845272,fundamental_2019
30845268,fundamental_2019
30845266,fundamental_2019
30845261,fundamental_2019
30845260,fundamental_2019
30845258,fundamental_2019
30845256,fundamental_2019
30845255,fundamental_2019
30845248,fundamental_2019
30845234,fundamental_2019
30845231,fundamental_2019
30845228,fundamental_2019
30845225,fundamental_2019
30845212,fundamental_2019
30845207,fundamental_2019
30845201,fundamental_2019
30845195,fundamental_2019
30845180,fundamental_2019
30845177,fundamental_2019
30845175,fundamental_2019
30845170,fundamental_2019
30845168,fundamental_2019
30845167,fundamental_2019
30845166,fundamental_2019
30845164,fundamental_2019
30845163,fundamental_2019
30845162,fundamental_2019
30845161,fundamental_2019
30845160,fundamental_2019
30845151,fundamental_2019
30845150,fundamental_2019
30845148,fundamental_2019
30845145,fundamental_2019
30840713,fundamental_2019
30840712,fundamental_2019
30840709,fundamental_2019
30840704,fundamental_2019
30840701,fundamental_2019
30840697,fundamental_2019
30840696,fundamental_2019
30840694,fundamental_2019
30840685,fundamental_2019
30840684,fundamental_2019
30840683,fundamental_2019
30840682,fundamental_2019
30840680,fundamental_2019
30840677,fundamental_2019
30840676,fundamental_2019
30840673,fundamental_2019
30840667,fundamental_2019
30840665,fundamental_2019
30840663,fundamental_2019
30840661,fundamental_2019
30840660,fundamental_2019
30840654,fundamental_2019
30840652,fundamental_2019
30840650,fundamental_2019
30840648,fundamental_2019
30840647,fundamental_2019
30840642,fundamental_2019
30840639,fundamental_2019
30840637,fundamental_2019
30840634,fundamental_2019
30840629,fundamental_2019
30840625,fundamental_2019
30840619,fundamental_2019
30840618,fundamental_2019
30835773,fundamental_2019
30835771,fundamental_2019
30835761,fundamental_2019
30835757,fundamental_2019
30835756,fundamental_2019
30835754,fundamental_2019
30835752,fundamental_2019
30835751,fundamental_2019
30835748,fundamental_2019
30835746,fundamental_2019
30835743,fundamental_2019
30835742,fundamental_2019
30835740,fundamental_2019
30835736,fundamental_2019
30830948,fundamental_2019
30830943,fundamental_2019
30830942,fundamental_2019
30830939,fundamental_2019
30830934,fundamental_2019
30830931,fundamental_2019
30830930,fundamental_2019
30830928,fundamental_2019
30830927,fundamental_2019
30830924,fundamental_2019
30830921,fundamental_2019
30830920,fundamental_2019
30830916,fundamental_2019
30830915,fundamental_2019
30830910,fundamental_2019
30830909,fundamental_2019
30822351,fundamental_2019
