pmid,query_name
30925178,therapeutics_2019
30921440,therapeutics_2019
30921408,therapeutics_2019
30921403,therapeutics_2019
30921402,therapeutics_2019
30921397,therapeutics_2019
30921390,therapeutics_2019
30921379,therapeutics_2019
30921356,therapeutics_2019
30921351,therapeutics_2019
30917161,therapeutics_2019
30917142,therapeutics_2019
30917135,therapeutics_2019
30913248,therapeutics_2019
30908532,therapeutics_2019
30908523,therapeutics_2019
30908522,therapeutics_2019
30908518,therapeutics_2019
30908509,therapeutics_2019
30908492,therapeutics_2019
30901377,therapeutics_2019
30901372,therapeutics_2019
30901356,therapeutics_2019
30901345,therapeutics_2019
30901344,therapeutics_2019
30897184,therapeutics_2019
30897166,therapeutics_2019
30897125,therapeutics_2019
30893380,therapeutics_2019
30893369,therapeutics_2019
30893364,therapeutics_2019
30893346,therapeutics_2019
30893301,therapeutics_2019
30889218,therapeutics_2019
30889205,therapeutics_2019
30889198,therapeutics_2019
30875402,therapeutics_2019
30875390,therapeutics_2019
30875377,therapeutics_2019
30870490,therapeutics_2019
30870475,therapeutics_2019
30870469,therapeutics_2019
30870467,therapeutics_2019
30870445,therapeutics_2019
30865696,therapeutics_2019
30865695,therapeutics_2019
30865689,therapeutics_2019
30865646,therapeutics_2019
30865638,therapeutics_2019
30861057,therapeutics_2019
30861053,therapeutics_2019
30861049,therapeutics_2019
30861042,therapeutics_2019
30861039,therapeutics_2019
30861004,therapeutics_2019
30856196,therapeutics_2019
30856191,therapeutics_2019
30856181,therapeutics_2019
30849110,therapeutics_2019
30845274,therapeutics_2019
30845263,therapeutics_2019
30845251,therapeutics_2019
30845182,therapeutics_2019
30845162,therapeutics_2019
30845157,therapeutics_2019
30840711,therapeutics_2019
30840670,therapeutics_2019
30835777,therapeutics_2019
30835759,therapeutics_2019
30835737,therapeutics_2019
30830946,therapeutics_2019
30830944,therapeutics_2019
30830937,therapeutics_2019
30822350,therapeutics_2019
30822348,therapeutics_2019
30822331,therapeutics_2019
30818377,therapeutics_2019
