pmid,query_name
18365030,translational_2008
18365027,translational_2008
18365024,translational_2008
18365014,translational_2008
18365010,translational_2008
18365005,translational_2008
18364998,translational_2008
18350174,translational_2008
18350166,translational_2008
18350162,translational_2008
18350147,translational_2008
18350135,translational_2008
18347740,translational_2008
18335060,translational_2008
18335052,translational_2008
18335048,translational_2008
18335042,translational_2008
18335034,translational_2008
18335029,translational_2008
18335027,translational_2008
18335026,translational_2008
18320059,translational_2008
18320052,translational_2008
18320051,translational_2008
18320050,translational_2008
18320046,translational_2008
18320045,translational_2008
18320044,translational_2008
18320041,translational_2008
18320034,translational_2008
18320032,translational_2008
18320030,translational_2008
18320028,translational_2008
18320027,translational_2008
18320026,translational_2008
18320024,translational_2008
18320023,translational_2008
18301778,translational_2008
18301776,translational_2008
18301773,translational_2008
18301770,translational_2008
18301769,translational_2008
18301765,translational_2008
18301762,translational_2008
18301754,translational_2008
18297131,translational_2008
18286204,translational_2008
18286200,translational_2008
18286198,translational_2008
18286196,translational_2008
18286195,translational_2008
18286190,translational_2008
18286189,translational_2008
18286184,translational_2008
18286173,translational_2008
18270596,translational_2008
18270594,translational_2008
18270592,translational_2008
18270588,translational_2008
18270579,translational_2008
18270577,translational_2008
18270572,translational_2008
18270567,translational_2008
18270558,translational_2008
18270557,translational_2008
18253511,translational_2008
18253510,translational_2008
18253508,translational_2008
18253497,translational_2008
18253493,translational_2008
18231608,translational_2008
18231607,translational_2008
18231605,translational_2008
18231590,translational_2008
18231589,translational_2008
18231582,translational_2008
18213394,translational_2008
18213391,translational_2008
18213390,translational_2008
18213389,translational_2008
18213386,translational_2008
18213371,translational_2008
18197259,translational_2008
18197255,translational_2008
18197244,translational_2008
18188406,translational_2008
18183286,translational_2008
18167561,translational_2008
18167560,translational_2008
18167557,translational_2008
18167554,translational_2008
18167547,translational_2008
18167535,translational_2008
18167534,translational_2008
22423313,translational_2008
19730749,translational_2008
19293944,translational_2008
18665265,translational_2008
18665258,translational_2008
18665255,translational_2008
18665246,translational_2008
18665217,translational_2008
18648664,translational_2008
18648648,translational_2008
18648646,translational_2008
18648644,translational_2008
18648532,translational_2008
18648529,translational_2008
18648521,translational_2008
18648520,translational_2008
18648519,translational_2008
18648518,translational_2008
18648513,translational_2008
18648509,translational_2008
18648508,translational_2008
18648506,translational_2008
18648492,translational_2008
18628999,translational_2008
18628992,translational_2008
18628983,translational_2008
18628981,translational_2008
18628977,translational_2008
18628967,translational_2008
18628954,translational_2008
18628953,translational_2008
18628947,translational_2008
18628831,translational_2008
18628828,translational_2008
18628827,translational_2008
18612466,translational_2008
18612437,translational_2008
18612436,translational_2008
18612434,translational_2008
18612433,translational_2008
18612429,translational_2008
18612428,translational_2008
18612427,translational_2008
18612412,translational_2008
18612409,translational_2008
18612408,translational_2008
18612394,translational_2008
18612386,translational_2008
18596984,translational_2008
18596980,translational_2008
18596970,translational_2008
18596942,translational_2008
18596939,translational_2008
18596915,translational_2008
18596911,translational_2008
18596909,translational_2008
18596907,translational_2008
18575631,translational_2008
18575628,translational_2008
18575622,translational_2008
18575614,translational_2008
18575605,translational_2008
18575604,translational_2008
18575601,translational_2008
18575599,translational_2008
18575592,translational_2008
18575591,translational_2008
18575582,translational_2008
18575578,translational_2008
18575577,translational_2008
18560594,translational_2008
18560589,translational_2008
18560587,translational_2008
18560586,translational_2008
18560584,translational_2008
18560579,translational_2008
18560578,translational_2008
18560576,translational_2008
18560573,translational_2008
18560571,translational_2008
18560565,translational_2008
18560564,translational_2008
18560544,translational_2008
18560520,translational_2008
18545701,translational_2008
18545697,translational_2008
18545693,translational_2008
18545687,translational_2008
18545682,translational_2008
18545673,translational_2008
18545671,translational_2008
18545666,translational_2008
18545656,translational_2008
18545652,translational_2008
18545651,translational_2008
18545649,translational_2008
18523683,translational_2008
18523662,translational_2008
18523659,translational_2008
18523639,translational_2008
18523638,translational_2008
18523637,translational_2008
