pmid,year
17817470,1970
17817469,1970
17817468,1970
17817467,1970
17817466,1970
17817465,1970
17817464,1970
17817462,1970
17817461,1970
17817460,1970
17817459,1970
17817458,1970
17817457,1970
17817456,1970
17817455,1970
17817454,1970
17817453,1970
17817452,1970
17817451,1970
17817450,1970
5529745,1970
5481859,1970
5481858,1970
5481857,1970
5481856,1970
5481855,1970
5481854,1970
5481853,1970
5481852,1970
5481851,1970
4991524,1970
4991523,1970
4991522,1970
4320467,1970
4098227,1970
17829437,1970
17829436,1970
17829435,1970
17829434,1970
17829433,1970
17829432,1970
17829431,1970
17829430,1970
17829429,1970
17829428,1970
17829427,1970
17829426,1970
17829425,1970
17829424,1970
17829423,1970
17829422,1970
17829421,1970
17829420,1970
17829419,1970
17829418,1970
17829417,1970
17829416,1970
17829415,1970
17829414,1970
5536385,1970
5529524,1970
5479015,1970
5479014,1970
5479013,1970
5479012,1970
5479011,1970
5479010,1970
5479009,1970
5479008,1970
5479007,1970
5479006,1970
5479005,1970
5273705,1970
4920816,1970
4320259,1970
17744060,1970
17744059,1970
17744058,1970
17744057,1970
17744056,1970
17744055,1970
17744054,1970
17744053,1970
17744052,1970
17744051,1970
17744050,1970
17744049,1970
17744048,1970
17744047,1970
17744046,1970
17744045,1970
17744043,1970
17744042,1970
17744041,1970
17744040,1970
17744039,1970
17744038,1970
17744037,1970
17744036,1970
17744035,1970
17744034,1970
17744033,1970
5478201,1970
5478200,1970
5478199,1970
5478198,1970
5478197,1970
5478196,1970
5478195,1970
5478194,1970
5478193,1970
5478192,1970
5478191,1970
5478190,1970
4991153,1970
4920656,1970
4920655,1970
4920654,1970
4097844,1970
17777837,1970
17777836,1970
17777835,1970
17777834,1970
17777833,1970
17777832,1970
17777831,1970
17777830,1970
17777829,1970
17777828,1970
17777827,1970
17777826,1970
17777825,1970
17777824,1970
17777823,1970
17777822,1970
17777821,1970
17777820,1970
17777819,1970
17777818,1970
17777817,1970
17777816,1970
17777815,1970
5529570,1970
5475638,1970
5475637,1970
5475636,1970
5475635,1970
5475634,1970
5475633,1970
5475632,1970
5475631,1970
5475630,1970
4990915,1970
4920187,1970
4920186,1970
4319925,1970
4248900,1970
17834619,1970
17834618,1970
17834617,1970
17834616,1970
17834615,1970
17834614,1970
17834613,1970
17834612,1970
17834611,1970
17834610,1970
17834609,1970
17834608,1970
17834606,1970
17834605,1970
17834604,1970
17834603,1970
17834602,1970
17834601,1970
17834600,1970
17834599,1970
17834598,1970
17834597,1970
17834596,1970
5529068,1970
5529067,1970
5529066,1970
5488860,1970
5475024,1970
5475023,1970
5475022,1970
5475021,1970
5475020,1970
5475019,1970
5475018,1970
4920033,1970
4319849,1970
4097544,1970
17839065,1970
17839064,1970
17839063,1970
17839062,1970
17839061,1970
17839060,1970
17839059,1970
17839058,1970
17839057,1970
17839056,1970
17839055,1970
17839053,1970
17839052,1970
17839051,1970
17839050,1970
17839049,1970
17839048,1970
17839047,1970
17839046,1970
17839045,1970
17839044,1970
17839043,1970
17839042,1970
5528823,1970
5482581,1970
5482580,1970
5482579,1970
5482578,1970
5473417,1970
5473416,1970
5473415,1970
5473414,1970
5473413,1970
5473412,1970
4990717,1970
4394388,1970
4319682,1970
17776343,1970
17776342,1970
17776341,1970
17776340,1970
17776339,1970
17776338,1970
17776337,1970
17776336,1970
17776335,1970
17776334,1970
17776333,1970
17776332,1970
17776331,1970
17776330,1970
17776329,1970
17776328,1970
5529569,1970
5529568,1970
5479635,1970
5479634,1970
5479633,1970
5479632,1970
5479631,1970
5479630,1970
5479629,1970
5479628,1970
5479627,1970
5479626,1970
5479625,1970
5479624,1970
5479623,1970
4991377,1970
4920951,1970
4920950,1970
17799303,1970
17799302,1970
17799301,1970
17799300,1970
17799299,1970
17799298,1970
17799297,1970
17799296,1970
17799295,1970
17799294,1970
17799293,1970
17799292,1970
17799291,1970
17799290,1970
17799289,1970
17799288,1970
17799287,1970
5528430,1970
5528429,1970
5470726,1970
5470725,1970
5470724,1970
5470723,1970
5470722,1970
5470721,1970
5470720,1970
5470719,1970
5470718,1970
5470717,1970
5470716,1970
5470715,1970
5470714,1970
5470713,1970
5470712,1970
5470711,1970
4919183,1970
4919182,1970
4919181,1970
4919180,1970
4394281,1970
4319388,1970
17799710,1970
17799709,1970
17799708,1970
17799707,1970
17799706,1970
17799705,1970
17799704,1970
17799702,1970
17799701,1970
17799700,1970
17799699,1970
17799698,1970
17799697,1970
17799696,1970
17799695,1970
17799694,1970
5535968,1970
5528313,1970
5528312,1970
5507212,1970
5507211,1970
5507210,1970
5507209,1970
5507208,1970
5507207,1970
5507206,1970
5507205,1970
5507204,1970
5507203,1970
5507202,1970
5507201,1970
5507200,1970
5507199,1970
4918766,1970
4918765,1970
4918764,1970
4319199,1970
4319198,1970
4097022,1970
17793898,1970
17793897,1970
17793896,1970
17793895,1970
17793894,1970
17793893,1970
17793892,1970
17793891,1970
17793890,1970
17793889,1970
17793888,1970
17793887,1970
17793886,1970
17793885,1970
5466708,1970
5466707,1970
5460085,1970
5460082,1970
5460077,1970
5460074,1970
5460073,1970
5460070,1970
5460067,1970
5460064,1970
5460063,1970
5460060,1970
5460057,1970
5460054,1970
5460051,1970
5460050,1970
4918259,1970
4918258,1970
4394112,1970
4394111,1970
4318972,1970
4196067,1970
4196066,1970
17731308,1970
17731307,1970
17731306,1970
17731305,1970
17731304,1970
17731303,1970
17731302,1970
17731301,1970
17731300,1970
17731299,1970
17731298,1970
17731297,1970
17731296,1970
17731295,1970
5466706,1970
5460517,1970
5460047,1970
5460046,1970
5460045,1970
5460044,1970
5460043,1970
5460042,1970
5460041,1970
5460040,1970
5460039,1970
5460038,1970
5460037,1970
5460036,1970
5460035,1970
5460034,1970
5460033,1970
5460032,1970
5460031,1970
5460030,1970
5460029,1970
5460028,1970
4990053,1970
4990052,1970
4918257,1970
4918256,1970
4318971,1970
4318970,1970
17833503,1970
17833502,1970
17833501,1970
17833500,1970
17833499,1970
17833498,1970
17833497,1970
17833496,1970
17833495,1970
17833494,1970
17833493,1970
17833492,1970
17833491,1970
17833489,1970
17833488,1970
5466114,1970
5466113,1970
5466112,1970
5456617,1970
5456616,1970
5456615,1970
5456614,1970
5456613,1970
5456612,1970
5456611,1970
5456610,1970
5456609,1970
5456608,1970
5456607,1970
5456606,1970
5456605,1970
4917385,1970
4318542,1970
4318541,1970
4318540,1970
17734673,1970
17734672,1970
17734671,1970
17734670,1970
17734669,1970
17734668,1970
17734667,1970
17734666,1970
17734665,1970
17734664,1970
17734663,1970
17734662,1970
17734661,1970
17734660,1970
17734659,1970
17734658,1970
17734657,1970
5465677,1970
5452903,1970
5452902,1970
5452901,1970
5452900,1970
5452899,1970
5452898,1970
5452897,1970
5452896,1970
5452895,1970
5452894,1970
5452893,1970
5452892,1970
5452891,1970
5452890,1970
5452889,1970
5452888,1970
5452887,1970
4989153,1970
4989152,1970
4989151,1970
4989150,1970
4916427,1970
4393821,1970
17772518,1970
17772517,1970
17772516,1970
17772515,1970
17772514,1970
17772513,1970
17772512,1970
17772511,1970
17772510,1970
17772509,1970
17772508,1970
5465826,1970
5454150,1970
5454149,1970
5454148,1970
5454147,1970
5454146,1970
5454145,1970
5454144,1970
5454143,1970
5454142,1970
5454141,1970
5454140,1970
5454139,1970
5454138,1970
5454137,1970
5454136,1970
5271640,1970
4989299,1970
4916733,1970
4393899,1970
4318262,1970
4318261,1970
4247739,1970
4247738,1970
17815938,1970
17815937,1970
17815936,1970
17815935,1970
17815934,1970
17815933,1970
17815931,1970
17815930,1970
17815929,1970
17815928,1970
17815927,1970
17815926,1970
17815925,1970
17815924,1970
17815923,1970
17815922,1970
5465422,1970
5465421,1970
5450705,1970
5450704,1970
5450703,1970
5450702,1970
5450701,1970
5450700,1970
5450699,1970
5450698,1970
5450697,1970
5450696,1970
5450695,1970
5450694,1970
5450693,1970
4915896,1970
4915895,1970
4317926,1970
4317925,1970
4317924,1970
4317923,1970
4317922,1970
17832272,1970
17832271,1970
17832270,1970
17832269,1970
17832268,1970
17832267,1970
17832266,1970
17832265,1970
17832264,1970
17832263,1970
17832261,1970
17832260,1970
17832259,1970
17832258,1970
17832257,1970
17832256,1970
17832255,1970
5465179,1970
5465178,1970
5449324,1970
5449323,1970
5449322,1970
5449321,1970
5449320,1970
5449319,1970
5449318,1970
5449317,1970
5449316,1970
5449315,1970
4988715,1970
4988714,1970
4988713,1970
4915470,1970
4194660,1970
17838179,1970
17838178,1970
17838177,1970
17838176,1970
