pmid,query_name
22218100,therapeutics_2011
22209819,therapeutics_2011
22204729,therapeutics_2011
22204725,therapeutics_2011
22204724,therapeutics_2011
22203538,therapeutics_2011
22193102,therapeutics_2011
22190093,therapeutics_2011
22190092,therapeutics_2011
22190091,therapeutics_2011
22190090,therapeutics_2011
22190088,therapeutics_2011
22190087,therapeutics_2011
22190085,therapeutics_2011
22190084,therapeutics_2011
22190083,therapeutics_2011
22187192,therapeutics_2011
22187189,therapeutics_2011
22184692,therapeutics_2011
22182591,therapeutics_2011
22178925,therapeutics_2011
22168643,therapeutics_2011
22168642,therapeutics_2011
22168590,therapeutics_2011
22166611,therapeutics_2011
22152853,therapeutics_2011
22152852,therapeutics_2011
22149921,therapeutics_2011
22149876,therapeutics_2011
22149875,therapeutics_2011
22149736,therapeutics_2011
22129219,therapeutics_2011
22118442,therapeutics_2011
22118432,therapeutics_2011
22113570,therapeutics_2011
22111719,therapeutics_2011
22094316,therapeutics_2011
22088400,therapeutics_2011
22088395,therapeutics_2011
22084358,therapeutics_2011
22084355,therapeutics_2011
22084354,therapeutics_2011
22084338,therapeutics_2011
22084337,therapeutics_2011
22065676,therapeutics_2011
22056398,therapeutics_2011
22053053,therapeutics_2011
22053033,therapeutics_2011
22051678,therapeutics_2011
22047517,therapeutics_2011
22045757,therapeutics_2011
22041957,therapeutics_2011
22041951,therapeutics_2011
22041949,therapeutics_2011
22041945,therapeutics_2011
22040167,therapeutics_2011
22040130,therapeutics_2011
22035547,therapeutics_2011
22031913,therapeutics_2011
22028358,therapeutics_2011
22028356,therapeutics_2011
22028355,therapeutics_2011
22012651,therapeutics_2011
22009100,therapeutics_2011
22009099,therapeutics_2011
22009086,therapeutics_2011
22007045,therapeutics_2011
22000154,therapeutics_2011
22000021,therapeutics_2011
21994319,therapeutics_2011
21992123,therapeutics_2011
21992122,therapeutics_2011
21991949,therapeutics_2011
21991894,therapeutics_2011
21991889,therapeutics_2011
21990301,therapeutics_2011
21976613,therapeutics_2011
21972312,therapeutics_2011
21972309,therapeutics_2011
21972306,therapeutics_2011
21972271,therapeutics_2011
21963186,therapeutics_2011
21963185,therapeutics_2011
21962506,therapeutics_2011
21957208,therapeutics_2011
21954483,therapeutics_2011
21954480,therapeutics_2011
21954478,therapeutics_2011
21951656,therapeutics_2011
21948589,therapeutics_2011
21948587,therapeutics_2011
21940742,therapeutics_2011
21916635,therapeutics_2011
21911446,therapeutics_2011
21907397,therapeutics_2011
21903689,therapeutics_2011
21900133,therapeutics_2011
21899444,therapeutics_2011
21893628,therapeutics_2011
21893626,therapeutics_2011
21893625,therapeutics_2011
