pmid,query_name
12803168,translational_2001
11808612,translational_2001
11794223,translational_2001
11794222,translational_2001
11794217,translational_2001
11794197,translational_2001
11794195,translational_2001
11794172,translational_2001
11794158,translational_2001
11794153,translational_2001
11787483,translational_2001
11787481,translational_2001
11785472,translational_2001
11784649,translational_2001
11784648,translational_2001
11784628,translational_2001
11784625,translational_2001
11784622,translational_2001
11784617,translational_2001
11784610,translational_2001
11784607,translational_2001
11784606,translational_2001
11784605,translational_2001
11784602,translational_2001
11784600,translational_2001
11784594,translational_2001
11784590,translational_2001
11784588,translational_2001
11784586,translational_2001
11784582,translational_2001
11784578,translational_2001
11784574,translational_2001
11784571,translational_2001
11784565,translational_2001
11784561,translational_2001
11784560,translational_2001
11784559,translational_2001
11784558,translational_2001
11784557,translational_2001
11784555,translational_2001
11784554,translational_2001
11784552,translational_2001
11780065,translational_2001
11780064,translational_2001
11780050,translational_2001
11767735,translational_2001
11767734,translational_2001
11767730,translational_2001
11763855,translational_2001
11763854,translational_2001
11763848,translational_2001
11759670,translational_2001
11759669,translational_2001
11759668,translational_2001
11759665,translational_2001
11759663,translational_2001
11759649,translational_2001
11759637,translational_2001
11759635,translational_2001
11759631,translational_2001
11757529,translational_2001
11757506,translational_2001
11756578,translational_2001
11755633,translational_2001
11755632,translational_2001
11755615,translational_2001
11755613,translational_2001
11755612,translational_2001
11755611,translational_2001
11755610,translational_2001
11755609,translational_2001
11755607,translational_2001
11755605,translational_2001
11755603,translational_2001
11755602,translational_2001
11755601,translational_2001
11754673,translational_2001
11752579,translational_2001
11752559,translational_2001
11752360,translational_2001
11752356,translational_2001
11752354,translational_2001
11751359,translational_2001
11743839,translational_2001
11743837,translational_2001
11747942,translational_2001
11747939,translational_2001
11747918,translational_2001
11747917,translational_2001
11747913,translational_2001
11747912,translational_2001
11747909,translational_2001
11747815,translational_2001
11747387,translational_2001
11747386,translational_2001
11747383,translational_2001
11744567,translational_2001
11742415,translational_2001
11742413,translational_2001
11742411,translational_2001
11742410,translational_2001
11742409,translational_2001
11742399,translational_2001
11742055,translational_2001
11742049,translational_2001
11741631,translational_2001
11741630,translational_2001
11741624,translational_2001
11741622,translational_2001
11741617,translational_2001
11735762,translational_2001
11735759,translational_2001
11735734,translational_2001
11734258,translational_2001
11734236,translational_2001
11734232,translational_2001
11734226,translational_2001
11733054,translational_2001
11731396,translational_2001
11730400,translational_2001
11730398,translational_2001
11729318,translational_2001
11729269,translational_2001
11728565,translational_2001
11728545,translational_2001
11728543,translational_2001
11728541,translational_2001
11728538,translational_2001
11728536,translational_2001
11728535,translational_2001
11722273,translational_2001
11722254,translational_2001
11721060,translational_2001
11721035,translational_2001
11719807,translational_2001
11719694,translational_2001
11719417,translational_2001
11719414,translational_2001
11719412,translational_2001
11719410,translational_2001
11719191,translational_2001
11719189,translational_2001
11719181,translational_2001
11716909,translational_2001
11716908,translational_2001
