pmid,query_name
9395542,basic_1997
9395541,basic_1997
9395539,basic_1997
9395538,basic_1997
9395537,basic_1997
9395536,basic_1997
9395535,basic_1997
9395534,basic_1997
9395533,basic_1997
9395532,basic_1997
9395531,basic_1997
9395530,basic_1997
9395529,basic_1997
9395528,basic_1997
9395527,basic_1997
9395526,basic_1997
9395525,basic_1997
9395524,basic_1997
9395523,basic_1997
9395522,basic_1997
9395521,basic_1997
9395519,basic_1997
9395518,basic_1997
9395517,basic_1997
9395515,basic_1997
9395514,basic_1997
9395513,basic_1997
9395512,basic_1997
9395510,basic_1997
9395509,basic_1997
9395508,basic_1997
9395507,basic_1997
9395506,basic_1997
9395505,basic_1997
9395504,basic_1997
9395503,basic_1997
9395502,basic_1997
9395501,basic_1997
9395500,basic_1997
9395499,basic_1997
9395498,basic_1997
9395497,basic_1997
9395496,basic_1997
9395495,basic_1997
9395494,basic_1997
9395493,basic_1997
9395492,basic_1997
9395491,basic_1997
9395490,basic_1997
9395489,basic_1997
9395488,basic_1997
9395487,basic_1997
9395485,basic_1997
9395484,basic_1997
9395483,basic_1997
9395480,basic_1997
9395479,basic_1997
9395478,basic_1997
9395477,basic_1997
9395476,basic_1997
9395475,basic_1997
9395474,basic_1997
9395473,basic_1997
9395472,basic_1997
9395471,basic_1997
9395470,basic_1997
9395469,basic_1997
9395468,basic_1997
9395467,basic_1997
9395466,basic_1997
9395465,basic_1997
9395464,basic_1997
9395463,basic_1997
9395462,basic_1997
9395461,basic_1997
9395460,basic_1997
9395459,basic_1997
9395458,basic_1997
9395457,basic_1997
9395456,basic_1997
9395455,basic_1997
9395454,basic_1997
9395453,basic_1997
9395452,basic_1997
9395451,basic_1997
9395450,basic_1997
9395449,basic_1997
9395448,basic_1997
9395447,basic_1997
9395446,basic_1997
9395445,basic_1997
9395444,basic_1997
9395442,basic_1997
9349510,basic_1997
9349509,basic_1997
9349507,basic_1997
9349502,basic_1997
9349501,basic_1997
9349499,basic_1997
9349496,basic_1997
9349495,basic_1997
9395511,basic_1997
9395481,basic_1997
9395443,basic_1997
9407140,basic_1997
9407139,basic_1997
9407137,basic_1997
9407136,basic_1997
9407135,basic_1997
9407134,basic_1997
9407133,basic_1997
9407132,basic_1997
9407131,basic_1997
9407130,basic_1997
9407129,basic_1997
9407128,basic_1997
9407127,basic_1997
9407126,basic_1997
9407125,basic_1997
9407124,basic_1997
9407123,basic_1997
9407122,basic_1997
9407121,basic_1997
9407120,basic_1997
9407119,basic_1997
9407117,basic_1997
9407116,basic_1997
9407115,basic_1997
9407114,basic_1997
9407113,basic_1997
9407112,basic_1997
9407111,basic_1997
9407110,basic_1997
9407109,basic_1997
9407108,basic_1997
9407107,basic_1997
9407106,basic_1997
9407105,basic_1997
9407104,basic_1997
9407103,basic_1997
9407102,basic_1997
9407101,basic_1997
9407100,basic_1997
9407099,basic_1997
9407098,basic_1997
9407096,basic_1997
9407095,basic_1997
9407094,basic_1997
9407093,basic_1997
9407092,basic_1997
9407091,basic_1997
9407090,basic_1997
9407089,basic_1997
9407088,basic_1997
9407087,basic_1997
9407086,basic_1997
9407085,basic_1997
9407084,basic_1997
9407083,basic_1997
9407082,basic_1997
9407081,basic_1997
9407080,basic_1997
9407079,basic_1997
9407078,basic_1997
9407077,basic_1997
9407076,basic_1997
9407075,basic_1997
9407074,basic_1997
9407073,basic_1997
9407072,basic_1997
9407071,basic_1997
9407070,basic_1997
9407069,basic_1997
9407068,basic_1997
9407067,basic_1997
9407066,basic_1997
9407065,basic_1997
9407064,basic_1997
9407063,basic_1997
9407062,basic_1997
9407060,basic_1997
9407059,basic_1997
9407058,basic_1997
9407057,basic_1997
9407056,basic_1997
9407055,basic_1997
9407053,basic_1997
9407052,basic_1997
9407051,basic_1997
9407050,basic_1997
9407049,basic_1997
9407048,basic_1997
9407047,basic_1997
9407046,basic_1997
