pmid,query_name
10030672,fundamental_1998
10030671,fundamental_1998
10030670,fundamental_1998
10030669,fundamental_1998
10030667,fundamental_1998
10030666,fundamental_1998
10030665,fundamental_1998
10030664,fundamental_1998
9916999,fundamental_1998
9916998,fundamental_1998
9916997,fundamental_1998
9916995,fundamental_1998
9916994,fundamental_1998
9916993,fundamental_1998
9916991,fundamental_1998
9916990,fundamental_1998
9916989,fundamental_1998
9916988,fundamental_1998
9916986,fundamental_1998
9916985,fundamental_1998
9916984,fundamental_1998
9916983,fundamental_1998
9881703,fundamental_1998
9881702,fundamental_1998
9881701,fundamental_1998
9881700,fundamental_1998
9881699,fundamental_1998
9881698,fundamental_1998
9881697,fundamental_1998
9881696,fundamental_1998
9879999,fundamental_1998
9879989,fundamental_1998
9879988,fundamental_1998
9879987,fundamental_1998
9872334,fundamental_1998
9872333,fundamental_1998
9872331,fundamental_1998
9872330,fundamental_1998
9872328,fundamental_1998
9872327,fundamental_1998
9872326,fundamental_1998
9872325,fundamental_1998
9872323,fundamental_1998
9857081,fundamental_1998
9857080,fundamental_1998
9857079,fundamental_1998
9857078,fundamental_1998
9857077,fundamental_1998
9857076,fundamental_1998
9857075,fundamental_1998
9857074,fundamental_1998
9857073,fundamental_1998
9857072,fundamental_1998
9857071,fundamental_1998
9857070,fundamental_1998
9857069,fundamental_1998
9857068,fundamental_1998
9857067,fundamental_1998
9857066,fundamental_1998
9857063,fundamental_1998
9857062,fundamental_1998
9857061,fundamental_1998
9857060,fundamental_1998
9857059,fundamental_1998
9857058,fundamental_1998
9857057,fundamental_1998
9857055,fundamental_1998
9857054,fundamental_1998
9857053,fundamental_1998
9857052,fundamental_1998
9857051,fundamental_1998
9857050,fundamental_1998
9857048,fundamental_1998
9857047,fundamental_1998
9857046,fundamental_1998
9857045,fundamental_1998
9857044,fundamental_1998
9857043,fundamental_1998
9857042,fundamental_1998
9857041,fundamental_1998
9857040,fundamental_1998
9857039,fundamental_1998
9857038,fundamental_1998
9857037,fundamental_1998
9857036,fundamental_1998
9857035,fundamental_1998
9857034,fundamental_1998
9857033,fundamental_1998
9857032,fundamental_1998
9857031,fundamental_1998
9857030,fundamental_1998
9857029,fundamental_1998
9857028,fundamental_1998
9857027,fundamental_1998
9857026,fundamental_1998
9857025,fundamental_1998
9857024,fundamental_1998
9857023,fundamental_1998
9857022,fundamental_1998
9857021,fundamental_1998
9857020,fundamental_1998
9857019,fundamental_1998
9857018,fundamental_1998
9857017,fundamental_1998
9857016,fundamental_1998
9857015,fundamental_1998
9857014,fundamental_1998
9857013,fundamental_1998
9857012,fundamental_1998
9857011,fundamental_1998
9857010,fundamental_1998
9857009,fundamental_1998
9857008,fundamental_1998
9857007,fundamental_1998
9857006,fundamental_1998
9857005,fundamental_1998
9857004,fundamental_1998
9857003,fundamental_1998
9857002,fundamental_1998
9857001,fundamental_1998
9857000,fundamental_1998
9856999,fundamental_1998
9856998,fundamental_1998
9856997,fundamental_1998
9856996,fundamental_1998
9856995,fundamental_1998
9856994,fundamental_1998
9856993,fundamental_1998
9856992,fundamental_1998
9856991,fundamental_1998
9856990,fundamental_1998
9856989,fundamental_1998
9856988,fundamental_1998
9856987,fundamental_1998
9856985,fundamental_1998
9856983,fundamental_1998
9852139,fundamental_1998
9852138,fundamental_1998
9852137,fundamental_1998
9852136,fundamental_1998
9852135,fundamental_1998
9852134,fundamental_1998
9852133,fundamental_1998
9852132,fundamental_1998
9852131,fundamental_1998
9852130,fundamental_1998
9852129,fundamental_1998
9852128,fundamental_1998
9852127,fundamental_1998
9852126,fundamental_1998
9852125,fundamental_1998
9852124,fundamental_1998
9852123,fundamental_1998
9852122,fundamental_1998
9852121,fundamental_1998
9852120,fundamental_1998
9852119,fundamental_1998
9852118,fundamental_1998
9852117,fundamental_1998
9852116,fundamental_1998
9852115,fundamental_1998
9852114,fundamental_1998
9852113,fundamental_1998
9852112,fundamental_1998
9852111,fundamental_1998
9852110,fundamental_1998
9852108,fundamental_1998
9852106,fundamental_1998
9852105,fundamental_1998
9852104,fundamental_1998
9852103,fundamental_1998
9852102,fundamental_1998
9852101,fundamental_1998
9852100,fundamental_1998
9852099,fundamental_1998
9852098,fundamental_1998
9852097,fundamental_1998
9852096,fundamental_1998
9852095,fundamental_1998
9852094,fundamental_1998
9852093,fundamental_1998
9852092,fundamental_1998
9852091,fundamental_1998
9852090,fundamental_1998
9852089,fundamental_1998
9852088,fundamental_1998
9852087,fundamental_1998
9852086,fundamental_1998
9852085,fundamental_1998
9852084,fundamental_1998
9852083,fundamental_1998
9852082,fundamental_1998
9852081,fundamental_1998
9852080,fundamental_1998
9852079,fundamental_1998
9852078,fundamental_1998
9852077,fundamental_1998
9852076,fundamental_1998
9852075,fundamental_1998
9852072,fundamental_1998
9852071,fundamental_1998
9852070,fundamental_1998
9852069,fundamental_1998
9852068,fundamental_1998
9852067,fundamental_1998
9852065,fundamental_1998
9852064,fundamental_1998
9852063,fundamental_1998
9852062,fundamental_1998
9852061,fundamental_1998
9852060,fundamental_1998
9852059,fundamental_1998
9852058,fundamental_1998
9852057,fundamental_1998
9852056,fundamental_1998
9852055,fundamental_1998
9852053,fundamental_1998
9852052,fundamental_1998
9852050,fundamental_1998
9852049,fundamental_1998
9852048,fundamental_1998
9852047,fundamental_1998
9852046,fundamental_1998
9852045,fundamental_1998
9852044,fundamental_1998
9852043,fundamental_1998
9852042,fundamental_1998
9852041,fundamental_1998
9852040,fundamental_1998
9852039,fundamental_1998
9852038,fundamental_1998
9852037,fundamental_1998
9852036,fundamental_1998
9852035,fundamental_1998
9840945,fundamental_1998
9840940,fundamental_1998
9840939,fundamental_1998
9840938,fundamental_1998
9840937,fundamental_1998
9840934,fundamental_1998
9840932,fundamental_1998
9840928,fundamental_1998
9840927,fundamental_1998
9840926,fundamental_1998
9840924,fundamental_1998
9840922,fundamental_1998
9840920,fundamental_1998
9840918,fundamental_1998
9840917,fundamental_1998
9837979,fundamental_1998
9837978,fundamental_1998
9837977,fundamental_1998
9837976,fundamental_1998
9837975,fundamental_1998
9837974,fundamental_1998
9837973,fundamental_1998
9837972,fundamental_1998
9837971,fundamental_1998
9837970,fundamental_1998
9837969,fundamental_1998
9837968,fundamental_1998
9837967,fundamental_1998
9837966,fundamental_1998
9837964,fundamental_1998
9837963,fundamental_1998
9837962,fundamental_1998
9837961,fundamental_1998
9837960,fundamental_1998
9837959,fundamental_1998
9837957,fundamental_1998
9837956,fundamental_1998
9837955,fundamental_1998
9837953,fundamental_1998
9837952,fundamental_1998
9837951,fundamental_1998
9837950,fundamental_1998
9837949,fundamental_1998
9837948,fundamental_1998
9837947,fundamental_1998
9837946,fundamental_1998
9837945,fundamental_1998
9837944,fundamental_1998
9837943,fundamental_1998
9837942,fundamental_1998
9837941,fundamental_1998
9837940,fundamental_1998
9837939,fundamental_1998
9837938,fundamental_1998
9837937,fundamental_1998
9837936,fundamental_1998
9837935,fundamental_1998
9837934,fundamental_1998
9837933,fundamental_1998
9837932,fundamental_1998
9837931,fundamental_1998
9837930,fundamental_1998
9837929,fundamental_1998
9837928,fundamental_1998
9837927,fundamental_1998
9837926,fundamental_1998
9837925,fundamental_1998
9837924,fundamental_1998
9837923,fundamental_1998
9837922,fundamental_1998
9837920,fundamental_1998
9837919,fundamental_1998
9837918,fundamental_1998
9837917,fundamental_1998
9837916,fundamental_1998
9837915,fundamental_1998
9837914,fundamental_1998
9837913,fundamental_1998
9837912,fundamental_1998
9837911,fundamental_1998
9837910,fundamental_1998
9837909,fundamental_1998
9837908,fundamental_1998
9837907,fundamental_1998
9837906,fundamental_1998
9837905,fundamental_1998
9837904,fundamental_1998
9837903,fundamental_1998
9837902,fundamental_1998
9837901,fundamental_1998
9837900,fundamental_1998
9837899,fundamental_1998
9837897,fundamental_1998
9837896,fundamental_1998
9837895,fundamental_1998
9837894,fundamental_1998
9837893,fundamental_1998
9837891,fundamental_1998
9837890,fundamental_1998
9837889,fundamental_1998
9837888,fundamental_1998
9837887,fundamental_1998
9837886,fundamental_1998
9837885,fundamental_1998
9837884,fundamental_1998
9837883,fundamental_1998
9837882,fundamental_1998
9837881,fundamental_1998
9837880,fundamental_1998
9837879,fundamental_1998
9837878,fundamental_1998
9837877,fundamental_1998
9837876,fundamental_1998
9837875,fundamental_1998
9837874,fundamental_1998
9837873,fundamental_1998
9837872,fundamental_1998
9837871,fundamental_1998
9837870,fundamental_1998
9837866,fundamental_1998
9837863,fundamental_1998
9837862,fundamental_1998
9837859,fundamental_1998
9837858,fundamental_1998
9837857,fundamental_1998
9837855,fundamental_1998
9837853,fundamental_1998
9837851,fundamental_1998
9837849,fundamental_1998
9830064,fundamental_1998
9830063,fundamental_1998
9830062,fundamental_1998
9830061,fundamental_1998
9830060,fundamental_1998
9830059,fundamental_1998
9830057,fundamental_1998
9830056,fundamental_1998
9830055,fundamental_1998
9830054,fundamental_1998
9830053,fundamental_1998
9830052,fundamental_1998
9830051,fundamental_1998
9830050,fundamental_1998
9830049,fundamental_1998
9830048,fundamental_1998
9830047,fundamental_1998
9830046,fundamental_1998
9830045,fundamental_1998
9830044,fundamental_1998
9830043,fundamental_1998
9830042,fundamental_1998
9830041,fundamental_1998
9830040,fundamental_1998
9830039,fundamental_1998
9830037,fundamental_1998
9830036,fundamental_1998
9830035,fundamental_1998
9830034,fundamental_1998
9830033,fundamental_1998
9830032,fundamental_1998
9830031,fundamental_1998
9830030,fundamental_1998
9830029,fundamental_1998
9830028,fundamental_1998
9830027,fundamental_1998
9830026,fundamental_1998
9830025,fundamental_1998
9830024,fundamental_1998
9830023,fundamental_1998
9830022,fundamental_1998
9830021,fundamental_1998
9830020,fundamental_1998
9830019,fundamental_1998
9830018,fundamental_1998
9830017,fundamental_1998
9830016,fundamental_1998
9830015,fundamental_1998
9830014,fundamental_1998
9830013,fundamental_1998
