pmid,query_name
36417390,therapeutics_2022
36417350,therapeutics_2022
36409741,therapeutics_2022
36409670,therapeutics_2022
36399463,therapeutics_2022
36395152,therapeutics_2022
36383600,therapeutics_2022
36374263,therapeutics_2022
36367871,therapeutics_2022
36355759,therapeutics_2022
36355758,therapeutics_2022
36350812,therapeutics_2022
36346804,therapeutics_2022
36346802,therapeutics_2022
36331949,therapeutics_2022
36327249,therapeutics_2022
36327235,therapeutics_2022
36318527,therapeutics_2022
36301971,therapeutics_2022
36301878,therapeutics_2022
36269748,therapeutics_2022
36269743,therapeutics_2022
36264981,therapeutics_2022
36264897,therapeutics_2022
36260612,therapeutics_2022
36256668,therapeutics_2022
36256659,therapeutics_2022
36251661,therapeutics_2022
36251646,therapeutics_2022
36240254,therapeutics_2022
36240133,therapeutics_2022
36227925,therapeutics_2022
36227882,therapeutics_2022
36223422,therapeutics_2022
36215241,therapeutics_2022
36206205,therapeutics_2022
36201496,therapeutics_2022
36201478,therapeutics_2022
36201444,therapeutics_2022
36197941,therapeutics_2022
36197896,therapeutics_2022
36197892,therapeutics_2022
36194600,therapeutics_2022
36194593,therapeutics_2022
36174080,therapeutics_2022
36173988,therapeutics_2022
36170331,therapeutics_2022
36170277,therapeutics_2022
36156089,therapeutics_2022
36149932,therapeutics_2022
36137124,therapeutics_2022
36137092,therapeutics_2022
36137073,therapeutics_2022
36129903,therapeutics_2022
36121869,therapeutics_2022
36121833,therapeutics_2022
36112721,therapeutics_2022
36107983,therapeutics_2022
36103571,therapeutics_2022
36103480,therapeutics_2022
36094947,therapeutics_2022
36094924,therapeutics_2022
36084019,therapeutics_2022
36084012,therapeutics_2022
36083992,therapeutics_2022
36070286,therapeutics_2022
36067182,therapeutics_2022
36044532,therapeutics_2022
36044478,therapeutics_2022
36037232,therapeutics_2022
36037195,therapeutics_2022
36007086,therapeutics_2022
36007083,therapeutics_2022
36006971,therapeutics_2022
36006921,therapeutics_2022
36001555,therapeutics_2022
35998204,therapeutics_2022
35994459,therapeutics_2022
35984837,therapeutics_2022
35984828,therapeutics_2022
35984825,therapeutics_2022
35984819,therapeutics_2022
35980904,therapeutics_2022
35976896,therapeutics_2022
35971745,therapeutics_2022
35960752,therapeutics_2022
35944037,therapeutics_2022
35944014,therapeutics_2022
35930579,therapeutics_2022
35925985,therapeutics_2022
35925980,therapeutics_2022
35925916,therapeutics_2022
35921330,therapeutics_2022
35913971,therapeutics_2022
35913932,therapeutics_2022
35901420,therapeutics_2022
35901065,therapeutics_2022
35895665,therapeutics_2022
35895599,therapeutics_2022
35895597,therapeutics_2022
35881612,therapeutics_2022
35881587,therapeutics_2022
35862380,therapeutics_2022
35862317,therapeutics_2022
35839222,therapeutics_2022
35834592,therapeutics_2022
35820111,therapeutics_2022
35802597,therapeutics_2022
35749540,therapeutics_2022
35749476,therapeutics_2022
35749370,therapeutics_2022
35731807,therapeutics_2022
35714773,therapeutics_2022
35714120,therapeutics_2022
35709234,therapeutics_2022
35696405,therapeutics_2022
35696388,therapeutics_2022
35687552,therapeutics_2022
35679226,therapeutics_2022
35675342,therapeutics_2022
35657955,therapeutics_2022
35648793,therapeutics_2022
