pmid,query_name
22242139,translational_2011
22242129,translational_2011
22242126,translational_2011
22242124,translational_2011
22242123,translational_2011
22242114,translational_2011
22220202,translational_2011
22220196,translational_2011
22220193,translational_2011
22216343,translational_2011
22216342,translational_2011
22216330,translational_2011
22216328,translational_2011
22216326,translational_2011
22216320,translational_2011
22216316,translational_2011
22216312,translational_2011
22216311,translational_2011
22216309,translational_2011
22216308,translational_2011
22216306,translational_2011
22216303,translational_2011
22216296,translational_2011
22216295,translational_2011
22216294,translational_2011
22216290,translational_2011
22216287,translational_2011
22216286,translational_2011
22216282,translational_2011
22216280,translational_2011
22216279,translational_2011
22216278,translational_2011
22216265,translational_2011
22216262,translational_2011
22216261,translational_2011
22216257,translational_2011
22216248,translational_2011
22216247,translational_2011
22216237,translational_2011
22216231,translational_2011
22216222,translational_2011
22216212,translational_2011
22216211,translational_2011
22216206,translational_2011
22216203,translational_2011
22216200,translational_2011
22216199,translational_2011
22216179,translational_2011
22216170,translational_2011
22216162,translational_2011
22216156,translational_2011
22216148,translational_2011
22216120,translational_2011
22216116,translational_2011
22216100,translational_2011
22216097,translational_2011
22216088,translational_2011
22216087,translational_2011
22210772,translational_2011
22207761,translational_2011
22207758,translational_2011
22206017,translational_2011
22206016,translational_2011
22206013,translational_2011
22206008,translational_2011
22206005,translational_2011
22206004,translational_2011
22205997,translational_2011
22205992,translational_2011
22205985,translational_2011
22205983,translational_2011
22205982,translational_2011
22205974,translational_2011
22205968,translational_2011
22205967,translational_2011
22205965,translational_2011
22205964,translational_2011
22205957,translational_2011
22205954,translational_2011
22205946,translational_2011
22205945,translational_2011
22205939,translational_2011
22205935,translational_2011
22205931,translational_2011
22205929,translational_2011
22205926,translational_2011
22205923,translational_2011
22205702,translational_2011
22199350,translational_2011
22198387,translational_2011
22198383,translational_2011
22198381,translational_2011
22195050,translational_2011
22195048,translational_2011
22195046,translational_2011
22195044,translational_2011
22195040,translational_2011
22195039,translational_2011
22195034,translational_2011
22195033,translational_2011
22195029,translational_2011
22195022,translational_2011
22195011,translational_2011
22195005,translational_2011
22195003,translational_2011
22195000,translational_2011
22194996,translational_2011
22194995,translational_2011
22194991,translational_2011
22194989,translational_2011
22194986,translational_2011
22194985,translational_2011
22194981,translational_2011
22194980,translational_2011
22194977,translational_2011
22194975,translational_2011
22194967,translational_2011
22194965,translational_2011
22194960,translational_2011
22194957,translational_2011
22194949,translational_2011
22194946,translational_2011
22194945,translational_2011
22194944,translational_2011
22194936,translational_2011
22194935,translational_2011
22194934,translational_2011
22194930,translational_2011
22194926,translational_2011
22194920,translational_2011
22194913,translational_2011
22194907,translational_2011
22194906,translational_2011
22194901,translational_2011
22194899,translational_2011
22194898,translational_2011
22194894,translational_2011
22194884,translational_2011
22194881,translational_2011
22194870,translational_2011
22194869,translational_2011
22194861,translational_2011
22194859,translational_2011
22194857,translational_2011
22194851,translational_2011
22194850,translational_2011
22194848,translational_2011
22194833,translational_2011
22194826,translational_2011
22194817,translational_2011
22194816,translational_2011
22194804,translational_2011
22194796,translational_2011
22194795,translational_2011
22194793,translational_2011
22194789,translational_2011
22194786,translational_2011
22194608,translational_2011
22194601,translational_2011
22194600,translational_2011
22194599,translational_2011
22194598,translational_2011
22194594,translational_2011
22194593,translational_2011
22187438,translational_2011
22187436,translational_2011
22187434,translational_2011
22187431,translational_2011
22186874,translational_2011
22184125,translational_2011
22184121,translational_2011
22184120,translational_2011
22184119,translational_2011
22184118,translational_2011
22184108,translational_2011
22184107,translational_2011
22184106,translational_2011
22180787,translational_2011
22180786,translational_2011
22179838,translational_2011
22179837,translational_2011
22179836,translational_2011
22179835,translational_2011
22179834,translational_2011
22179833,translational_2011
22179832,translational_2011
22179831,translational_2011
22179830,translational_2011
22179828,translational_2011
22179827,translational_2011
22179825,translational_2011
22179824,translational_2011
22179823,translational_2011
22179611,translational_2011
22179603,translational_2011
22174951,translational_2011
22174945,translational_2011
22174939,translational_2011
22174938,translational_2011
22174930,translational_2011
22174927,translational_2011
22174924,translational_2011
22174919,translational_2011
22174912,translational_2011
22174911,translational_2011
22174898,translational_2011
22174896,translational_2011
22174891,translational_2011
22174890,translational_2011
22174884,translational_2011
22174883,translational_2011
22174882,translational_2011
22174879,translational_2011
22174871,translational_2011
22174869,translational_2011
22174867,translational_2011
22174866,translational_2011
22174865,translational_2011
22174856,translational_2011
22174855,translational_2011
22174853,translational_2011
22174846,translational_2011
22174843,translational_2011
22174837,translational_2011
22174831,translational_2011
22174830,translational_2011
22174827,translational_2011
22174826,translational_2011
22174824,translational_2011
22174823,translational_2011
22174822,translational_2011
22174818,translational_2011
22174804,translational_2011
22174800,translational_2011
22174792,translational_2011
22174783,translational_2011
22174768,translational_2011
22174765,translational_2011
22174764,translational_2011
22174738,translational_2011
22174736,translational_2011
22174417,translational_2011
22174416,translational_2011
22174412,translational_2011
22174411,translational_2011
22173972,translational_2011
22170066,translational_2011
22170060,translational_2011
22170051,translational_2011
22170049,translational_2011
22167195,translational_2011
22167193,translational_2011
22167187,translational_2011
22167183,translational_2011
22164310,translational_2011
22164309,translational_2011
22164304,translational_2011
22164292,translational_2011
22164290,translational_2011
22164285,translational_2011
22164282,translational_2011
22164281,translational_2011
22164280,translational_2011
22164275,translational_2011
22164270,translational_2011
22164267,translational_2011
22164265,translational_2011
22164263,translational_2011
22164253,translational_2011
22164239,translational_2011
22164232,translational_2011
22164227,translational_2011
22164226,translational_2011
22164220,translational_2011
22164219,translational_2011
22164206,translational_2011
22164204,translational_2011
22164202,translational_2011
22164200,translational_2011
22163330,translational_2011
22163327,translational_2011
22163323,translational_2011
22163318,translational_2011
22163315,translational_2011
22163313,translational_2011
22163298,translational_2011
22163294,translational_2011
22163280,translational_2011
22163271,translational_2011
22163269,translational_2011
22163268,translational_2011
22163265,translational_2011
22163046,translational_2011
22163040,translational_2011
22163036,translational_2011
22163033,translational_2011
22163030,translational_2011
22163022,translational_2011
22163019,translational_2011
22163016,translational_2011
22163015,translational_2011
22163008,translational_2011
22163007,translational_2011
22163004,translational_2011
22163003,translational_2011
22163000,translational_2011
22162996,translational_2011
22162993,translational_2011
22162992,translational_2011
22162776,translational_2011
22162775,translational_2011
22162773,translational_2011
22162767,translational_2011
22162762,translational_2011
22162757,translational_2011
22162752,translational_2011
22162748,translational_2011
22162746,translational_2011
22158872,translational_2011
22158867,translational_2011
22158865,translational_2011
22158864,translational_2011
22158628,translational_2011
22158627,translational_2011
22158616,translational_2011
22158614,translational_2011
22158051,translational_2011
22158050,translational_2011
22158048,translational_2011
22158047,translational_2011
22158046,translational_2011
22158045,translational_2011
22158044,translational_2011
22158042,translational_2011
22158040,translational_2011
22158039,translational_2011
22158038,translational_2011
22158037,translational_2011
22158036,translational_2011
22158033,translational_2011
22157765,translational_2011
22157763,translational_2011
22157762,translational_2011
22157761,translational_2011
22157756,translational_2011
22157755,translational_2011
22157754,translational_2011
22157753,translational_2011
22157011,translational_2011
22157001,translational_2011
22155564,translational_2011
22147694,translational_2011
22145049,translational_2011
22145045,translational_2011
22145043,translational_2011
22145042,translational_2011
22145040,translational_2011
22145039,translational_2011
22145038,translational_2011
22145035,translational_2011
22145033,translational_2011
22145028,translational_2011
22145027,translational_2011
22145026,translational_2011
22145025,translational_2011
22145022,translational_2011
22145021,translational_2011
22144674,translational_2011
22144672,translational_2011
22140580,translational_2011
22140573,translational_2011
22140570,translational_2011
22140569,translational_2011
22140559,translational_2011
22140557,translational_2011
22140553,translational_2011
22140552,translational_2011
22140550,translational_2011
22140546,translational_2011
22140545,translational_2011
22140542,translational_2011
22140540,translational_2011
22140539,translational_2011
22140536,translational_2011
22140535,translational_2011
22140532,translational_2011
22140525,translational_2011
22140524,translational_2011
22140521,translational_2011
22140517,translational_2011
22140512,translational_2011
22140506,translational_2011
22140505,translational_2011
22140498,translational_2011
22140492,translational_2011
22140489,translational_2011
22140487,translational_2011
22140479,translational_2011
22140478,translational_2011
22140473,translational_2011
22140471,translational_2011
22140470,translational_2011
22140466,translational_2011
22140464,translational_2011
22140463,translational_2011
22140459,translational_2011
22140445,translational_2011
22140444,translational_2011
22140442,translational_2011
22140440,translational_2011
22140436,translational_2011
22140434,translational_2011
22140423,translational_2011
22139845,translational_2011
22139840,translational_2011
22139839,translational_2011
22139837,translational_2011
22139083,translational_2011
22139082,translational_2011
22139080,translational_2011
22139079,translational_2011
22139078,translational_2011
22139077,translational_2011
22139073,translational_2011
22139072,translational_2011
22139071,translational_2011
22134925,translational_2011
22134919,translational_2011
22132240,translational_2011
22132222,translational_2011
22132221,translational_2011
22132219,translational_2011
22132218,translational_2011
22132214,translational_2011
22132205,translational_2011
22132197,translational_2011
22132196,translational_2011
22132193,translational_2011
22132181,translational_2011
22132180,translational_2011
22132174,translational_2011
22132172,translational_2011
22132166,translational_2011
22132163,translational_2011
22132162,translational_2011
22132159,translational_2011
22132151,translational_2011
22132150,translational_2011
22132147,translational_2011
22132146,translational_2011
22132142,translational_2011
22132134,translational_2011
22132131,translational_2011
22132129,translational_2011
22132126,translational_2011
22132124,translational_2011
22132121,translational_2011
22132120,translational_2011
22132119,translational_2011
22132115,translational_2011
22132113,translational_2011
22132110,translational_2011
22132104,translational_2011
22132100,translational_2011
22132097,translational_2011
22132083,translational_2011
22132075,translational_2011
22132068,translational_2011
22131269,translational_2011
22131268,translational_2011
22130669,translational_2011
22130665,translational_2011
22130661,translational_2011
22128290,translational_2011
22128190,translational_2011
22128178,translational_2011
22128176,translational_2011
22128166,translational_2011
22128158,translational_2011
22125647,translational_2011
22125646,translational_2011
22125642,translational_2011
22125641,translational_2011
22125635,translational_2011
22125630,translational_2011
22125629,translational_2011
22125624,translational_2011
22125622,translational_2011
22125617,translational_2011
22125610,translational_2011
22125604,translational_2011
22125599,translational_2011
22125594,translational_2011
22125590,translational_2011
22125315,translational_2011
22123824,translational_2011
22123823,translational_2011
22123819,translational_2011
22121050,translational_2011
22120723,translational_2011
22120722,translational_2011
22120721,translational_2011
22120720,translational_2011
22120719,translational_2011
22120717,translational_2011
22120716,translational_2011
22120713,translational_2011
22120711,translational_2011
22120710,translational_2011
22120709,translational_2011
22117079,translational_2011
22117074,translational_2011
22117063,translational_2011
22117060,translational_2011
22114733,translational_2011
22114732,translational_2011
22114730,translational_2011
22114727,translational_2011
22114726,translational_2011
22114722,translational_2011
22114719,translational_2011
22114715,translational_2011
22114713,translational_2011
22114711,translational_2011
22114708,translational_2011
22114706,translational_2011
