pmid,query_name
21186369,basic_2010
21186368,basic_2010
21186354,basic_2010
21186353,basic_2010
21186352,basic_2010
21186351,basic_2010
21186349,basic_2010
21186348,basic_2010
21186346,basic_2010
21179091,basic_2010
21170043,basic_2010
21170042,basic_2010
21170036,basic_2010
21170035,basic_2010
21170033,basic_2010
21170032,basic_2010
21170030,basic_2010
21170021,basic_2010
21151137,basic_2010
21151134,basic_2010
21151132,basic_2010
21151131,basic_2010
21151129,basic_2010
21151125,basic_2010
21151123,basic_2010
21151122,basic_2010
21139608,basic_2010
21139607,basic_2010
21139606,basic_2010
21135852,basic_2010
21135850,basic_2010
21131983,basic_2010
21131973,basic_2010
21131971,basic_2010
21131960,basic_2010
21131959,basic_2010
21131957,basic_2010
21113170,basic_2010
21113166,basic_2010
21113165,basic_2010
21113156,basic_2010
21113154,basic_2010
21102470,basic_2010
21102469,basic_2010
21102464,basic_2010
21102462,basic_2010
21102456,basic_2010
21102455,basic_2010
21102442,basic_2010
21102441,basic_2010
21102438,basic_2010
21102437,basic_2010
21079602,basic_2010
21079596,basic_2010
21079594,basic_2010
21079593,basic_2010
21079592,basic_2010
21079591,basic_2010
21079590,basic_2010
21079589,basic_2010
21079588,basic_2010
21076413,basic_2010
21076412,basic_2010
21076411,basic_2010
21076410,basic_2010
21076409,basic_2010
21076406,basic_2010
21076398,basic_2010
21076393,basic_2010
21057505,basic_2010
21057504,basic_2010
21057503,basic_2010
21057502,basic_2010
21057501,basic_2010
21057500,basic_2010
21057498,basic_2010
21057497,basic_2010
21057483,basic_2010
21057481,basic_2010
21052070,basic_2010
21052069,basic_2010
21052068,basic_2010
21037591,basic_2010
21037588,basic_2010
21037571,basic_2010
21037570,basic_2010
21037569,basic_2010
21037565,basic_2010
20972442,basic_2010
20972441,basic_2010
20972439,basic_2010
20972431,basic_2010
20972427,basic_2010
20972425,basic_2010
20972424,basic_2010
20972423,basic_2010
20972422,basic_2010
20972421,basic_2010
20967028,basic_2010
20953200,basic_2010
20953199,basic_2010
20953198,basic_2010
20953192,basic_2010
20953191,basic_2010
20948534,basic_2010
20944601,basic_2010
20944600,basic_2010
20944597,basic_2010
20944594,basic_2010
20944593,basic_2010
20944589,basic_2010
20944588,basic_2010
20935639,basic_2010
20935638,basic_2010
20935637,basic_2010
20935636,basic_2010
20935635,basic_2010
20935629,basic_2010
20935628,basic_2010
20930752,basic_2010
20930748,basic_2010
20930747,basic_2010
20924370,basic_2010
20890297,basic_2010
20890291,basic_2010
20890288,basic_2010
20890287,basic_2010
20890283,basic_2010
20890282,basic_2010
20890277,basic_2010
20885417,basic_2010
20871612,basic_2010
20871610,basic_2010
20871601,basic_2010
20871600,basic_2010
20871599,basic_2010
20852637,basic_2010
20852636,basic_2010
20852635,basic_2010
20852634,basic_2010
20852630,basic_2010
20852629,basic_2010
20852628,basic_2010
20852627,basic_2010
20852621,basic_2010
20852610,basic_2010
20852609,basic_2010
20852608,basic_2010
20852603,basic_2010
20852602,basic_2010
20835244,basic_2010
20835243,basic_2010
20835228,basic_2010
20829833,basic_2010
20829827,basic_2010
20829825,basic_2010
20823864,basic_2010
20823862,basic_2010
20818397,basic_2010
20818388,basic_2010
20818387,basic_2010
20818376,basic_2010
20811357,basic_2010
20811356,basic_2010
20811355,basic_2010
20811354,basic_2010
20811353,basic_2010
20811352,basic_2010
20802499,basic_2010
20802497,basic_2010
20802496,basic_2010
20802495,basic_2010
20802492,basic_2010
20802480,basic_2010
20802477,basic_2010
20729856,basic_2010
20729851,basic_2010
20729837,basic_2010
20729836,basic_2010
20729833,basic_2010
20722095,basic_2010
20711198,basic_2010
20711197,basic_2010
20711181,basic_2010
20711173,basic_2010
20697400,basic_2010
20694000,basic_2010
20693993,basic_2010
20693992,basic_2010
20693991,basic_2010
20676107,basic_2010
20676102,basic_2010
20676099,basic_2010
20676097,basic_2010
20676084,basic_2010
20657595,basic_2010
20657594,basic_2010
20657593,basic_2010
20657584,basic_2010
20657583,basic_2010
20657582,basic_2010
20644544,basic_2010
20644538,basic_2010
20644536,basic_2010
20639890,basic_2010
20639880,basic_2010
20639878,basic_2010
20639872,basic_2010
20639871,basic_2010
20639870,basic_2010
20639866,basic_2010
20639865,basic_2010
20622885,basic_2010
20622870,basic_2010
20622869,basic_2010
20622868,basic_2010
20622858,basic_2010
20622857,basic_2010
20622843,basic_2010
20622834,basic_2010
20622832,basic_2010
20601957,basic_2010
20601953,basic_2010
20601941,basic_2010
20596043,basic_2010
20581846,basic_2010
20581845,basic_2010
20581844,basic_2010
20581839,basic_2010
20581838,basic_2010
20581837,basic_2010
20581822,basic_2010
20581821,basic_2010
20562877,basic_2010
20562876,basic_2010
20562865,basic_2010
20562864,basic_2010
20562863,basic_2010
20562862,basic_2010
20559318,basic_2010
20559317,basic_2010
20559316,basic_2010
20559310,basic_2010
20559309,basic_2010
20543851,basic_2010
20543850,basic_2010
20543848,basic_2010
20543840,basic_2010
20543839,basic_2010
20543832,basic_2010
20531338,basic_2010
20531331,basic_2010
20526348,basic_2010
20526342,basic_2010
20526341,basic_2010
20526338,basic_2010
20526330,basic_2010
20526329,basic_2010
20526328,basic_2010
20517301,basic_2010
20517300,basic_2010
20512147,basic_2010
20512140,basic_2010
20512139,basic_2010
20512138,basic_2010
20512123,basic_2010
20512122,basic_2010
20512121,basic_2010
20512120,basic_2010
20495572,basic_2010
20495571,basic_2010
20495566,basic_2010
20495565,basic_2010
20495564,basic_2010
20495555,basic_2010
20495554,basic_2010
20495551,basic_2010
20495550,basic_2010
20479744,basic_2010
20473308,basic_2010
20473307,basic_2010
20473303,basic_2010
20473298,basic_2010
20473297,basic_2010
20473296,basic_2010
20473295,basic_2010
20473294,basic_2010
20473289,basic_2010
20458318,basic_2010
20458316,basic_2010
20458315,basic_2010
20458314,basic_2010
20458312,basic_2010
20458309,basic_2010
20453864,basic_2010
20453863,basic_2010
20453862,basic_2010
20453849,basic_2010
20453848,basic_2010
20453847,basic_2010
20453846,basic_2010
20448577,basic_2010
20442699,basic_2010
20436488,basic_2010
20436487,basic_2010
20436486,basic_2010
20436484,basic_2010
20436483,basic_2010
20436477,basic_2010
20436470,basic_2010
20436468,basic_2010
20436464,basic_2010
20436463,basic_2010
20436462,basic_2010
20436461,basic_2010
20436460,basic_2010
20428091,basic_2010
20418890,basic_2010
20418889,basic_2010
20418888,basic_2010
20418887,basic_2010
20418885,basic_2010
20418879,basic_2010
20418878,basic_2010
20418877,basic_2010
20418872,basic_2010
20418871,basic_2010
20418869,basic_2010
20400958,basic_2010
20400957,basic_2010
20383153,basic_2010
20383152,basic_2010
20383151,basic_2010
20383140,basic_2010
20383139,basic_2010
20379180,basic_2010
20379178,basic_2010
20379177,basic_2010
20379175,basic_2010
20379173,basic_2010
20379167,basic_2010
20376051,basic_2010
20376049,basic_2010
20376036,basic_2010
20376034,basic_2010
20376033,basic_2010
20376032,basic_2010
20376030,basic_2010
20376028,basic_2010
20376027,basic_2010
20376025,basic_2010
20376024,basic_2010
20376022,basic_2010
20376021,basic_2010
20376020,basic_2010
20372150,basic_2010
20364142,basic_2010
20364138,basic_2010
20364136,basic_2010
20364129,basic_2010
20364128,basic_2010
20364127,basic_2010
20364126,basic_2010
20360747,basic_2010
20360746,basic_2010
20351689,basic_2010
20348958,basic_2010
20348926,basic_2010
20348924,basic_2010
20348923,basic_2010
20348921,basic_2010
20305664,basic_2010
20305662,basic_2010
20305658,basic_2010
20305657,basic_2010
20305650,basic_2010
20305649,basic_2010
20228816,basic_2010
20228811,basic_2010
20228810,basic_2010
20228800,basic_2010
20228795,basic_2010
20228794,basic_2010
20228793,basic_2010
20212490,basic_2010
20208536,basic_2010
20208530,basic_2010
20208522,basic_2010
20208521,basic_2010
20208520,basic_2010
