pmid,query_name
11781578,diseases_2001
11753387,diseases_2001
11753383,diseases_2001
11743583,diseases_2001
11743581,diseases_2001
11743580,diseases_2001
11743579,diseases_2001
11743578,diseases_2001
11743577,diseases_2001
11731796,diseases_2001
11731795,diseases_2001
11726977,diseases_2001
11726975,diseases_2001
11726973,diseases_2001
11726972,diseases_2001
11726969,diseases_2001
11726968,diseases_2001
11726927,diseases_2001
11726926,diseases_2001
11726923,diseases_2001
11715023,diseases_2001
11715022,diseases_2001
11704759,diseases_2001
11704758,diseases_2001
11694878,diseases_2001
11694877,diseases_2001
11694876,diseases_2001
11694875,diseases_2001
11689889,diseases_2001
11689887,diseases_2001
11689884,diseases_2001
11689883,diseases_2001
11689882,diseases_2001
11689848,diseases_2001
11687802,diseases_2001
11687801,diseases_2001
11687800,diseases_2001
11687798,diseases_2001
11687797,diseases_2001
11687796,diseases_2001
11687795,diseases_2001
11687794,diseases_2001
11685207,diseases_2001
11685205,diseases_2001
11600885,diseases_2001
11600884,diseases_2001
11600883,diseases_2001
11590442,diseases_2001
11590440,diseases_2001
11590439,diseases_2001
11590438,diseases_2001
11590434,diseases_2001
11590411,diseases_2001
11586306,diseases_2001
11586304,diseases_2001
11586300,diseases_2001
11586299,diseases_2001
11586298,diseases_2001
11586297,diseases_2001
11586296,diseases_2001
11586295,diseases_2001
11586292,diseases_2001
11584280,diseases_2001
11559849,diseases_2001
11559848,diseases_2001
11548742,diseases_2001
11544480,diseases_2001
11544479,diseases_2001
11544478,diseases_2001
11544477,diseases_2001
11544476,diseases_2001
11533712,diseases_2001
11533711,diseases_2001
11533710,diseases_2001
11533709,diseases_2001
11533705,diseases_2001
11533704,diseases_2001
11533703,diseases_2001
11533702,diseases_2001
11533692,diseases_2001
11533658,diseases_2001
11528401,diseases_2001
11528398,diseases_2001
11528397,diseases_2001
11528396,diseases_2001
11528395,diseases_2001
11528394,diseases_2001
11528393,diseases_2001
11528392,diseases_2001
11528389,diseases_2001
11528388,diseases_2001
11528387,diseases_2001
11528386,diseases_2001
11528384,diseases_2001
11528383,diseases_2001
11483960,diseases_2001
11479629,diseases_2001
11479627,diseases_2001
11479621,diseases_2001
11479610,diseases_2001
11479597,diseases_2001
11479594,diseases_2001
11479593,diseases_2001
11479590,diseases_2001
11479570,diseases_2001
11479558,diseases_2001
11479539,diseases_2001
11455389,diseases_2001
11455388,diseases_2001
11455387,diseases_2001
11443298,diseases_2001
11438811,diseases_2001
11433354,diseases_2001
11433353,diseases_2001
11433351,diseases_2001
11433350,diseases_2001
11433349,diseases_2001
11433348,diseases_2001
11433347,diseases_2001
11433342,diseases_2001
11433341,diseases_2001
11433339,diseases_2001
11433337,diseases_2001
11433334,diseases_2001
11433333,diseases_2001
11433275,diseases_2001
11431704,diseases_2001
11431699,diseases_2001
11431698,diseases_2001
11431697,diseases_2001
11431695,diseases_2001
11431693,diseases_2001
11431692,diseases_2001
11431691,diseases_2001
11431690,diseases_2001
11431689,diseases_2001
11431688,diseases_2001
11431687,diseases_2001
11431686,diseases_2001
11385514,diseases_2001
11385513,diseases_2001
11385512,diseases_2001
11385511,diseases_2001
11385510,diseases_2001
11385509,diseases_2001
11385507,diseases_2001
11385504,diseases_2001
11385503,diseases_2001
11385492,diseases_2001
11385459,diseases_2001
11381270,diseases_2001
11381269,diseases_2001
11381268,diseases_2001
11381263,diseases_2001
11381262,diseases_2001
11381261,diseases_2001
11381259,diseases_2001
11381256,diseases_2001
11381255,diseases_2001
11381254,diseases_2001
11381253,diseases_2001
11329065,diseases_2001
11329062,diseases_2001
11329061,diseases_2001
11329059,diseases_2001
11329058,diseases_2001
11329057,diseases_2001
11329055,diseases_2001
11329054,diseases_2001
11326284,diseases_2001
11326283,diseases_2001
11326282,diseases_2001
11326280,diseases_2001
11326279,diseases_2001
11326276,diseases_2001
11326275,diseases_2001
11326274,diseases_2001
11326273,diseases_2001
11326272,diseases_2001
11326271,diseases_2001
11326269,diseases_2001
11283680,diseases_2001
11283678,diseases_2001
11283677,diseases_2001
11283676,diseases_2001
11283675,diseases_2001
11283674,diseases_2001
11283673,diseases_2001
11283672,diseases_2001
11283671,diseases_2001
11283669,diseases_2001
11283668,diseases_2001
11283667,diseases_2001
11283620,diseases_2001
11283611,diseases_2001
11283589,diseases_2001
