pmid,query_name
34969973,fundamental_2021
34969972,fundamental_2021
34969970,fundamental_2021
34961794,fundamental_2021
34949839,fundamental_2021
34949838,fundamental_2021
34949837,fundamental_2021
34949836,fundamental_2021
34949835,fundamental_2021
34949778,fundamental_2021
34937913,fundamental_2021
34937911,fundamental_2021
34937909,fundamental_2021
34937907,fundamental_2021
34937906,fundamental_2021
34934192,fundamental_2021
34934187,fundamental_2021
34934185,fundamental_2021
34931066,fundamental_2021
34931065,fundamental_2021
34931064,fundamental_2021
34931062,fundamental_2021
34916620,fundamental_2021
34916619,fundamental_2021
34903892,fundamental_2021
34903851,fundamental_2021
34893776,fundamental_2021
34893774,fundamental_2021
34887587,fundamental_2021
34887578,fundamental_2021
34887556,fundamental_2021
34887515,fundamental_2021
34876691,fundamental_2021
34876690,fundamental_2021
34876689,fundamental_2021
34876688,fundamental_2021
34876687,fundamental_2021
34876686,fundamental_2021
34876684,fundamental_2021
34873327,fundamental_2021
34873326,fundamental_2021
34873284,fundamental_2021
34873283,fundamental_2021
34873282,fundamental_2021
34857955,fundamental_2021
34857954,fundamental_2021
34857927,fundamental_2021
34845373,fundamental_2021
34837083,fundamental_2021
34811516,fundamental_2021
34811483,fundamental_2021
34799735,fundamental_2021
34799733,fundamental_2021
34795447,fundamental_2021
34795433,fundamental_2021
34782763,fundamental_2021
34782742,fundamental_2021
34782740,fundamental_2021
34782739,fundamental_2021
34773124,fundamental_2021
34764491,fundamental_2021
34764473,fundamental_2021
34754101,fundamental_2021
34750583,fundamental_2021
34750582,fundamental_2021
34750581,fundamental_2021
34750580,fundamental_2021
34750579,fundamental_2021
34750578,fundamental_2021
34750577,fundamental_2021
34750576,fundamental_2021
34750575,fundamental_2021
34750574,fundamental_2021
34741161,fundamental_2021
34737444,fundamental_2021
34737443,fundamental_2021
34737442,fundamental_2021
34737441,fundamental_2021
34737428,fundamental_2021
34737426,fundamental_2021
34725511,fundamental_2021
34725510,fundamental_2021
34725509,fundamental_2021
34725503,fundamental_2021
34711989,fundamental_2021
34711982,fundamental_2021
34711981,fundamental_2021
34711980,fundamental_2021
34675423,fundamental_2021
34675421,fundamental_2021
34675420,fundamental_2021
34675414,fundamental_2021
34675413,fundamental_2021
34663942,fundamental_2021
34663920,fundamental_2021
34650270,fundamental_2021
34650269,fundamental_2021
34650268,fundamental_2021
34650237,fundamental_2021
34642488,fundamental_2021
34635852,fundamental_2021
34635842,fundamental_2021
34635838,fundamental_2021
34635836,fundamental_2021
34616026,fundamental_2021
34616025,fundamental_2021
34616022,fundamental_2021
34611363,fundamental_2021
34611362,fundamental_2021
34608331,fundamental_2021
34608328,fundamental_2021
34608327,fundamental_2021
34608326,fundamental_2021
34608325,fundamental_2021
34608295,fundamental_2021
34608294,fundamental_2021
34608293,fundamental_2021
34594041,fundamental_2021
34556863,fundamental_2021
34556862,fundamental_2021
34556861,fundamental_2021
34556860,fundamental_2021
34556859,fundamental_2021
34556858,fundamental_2021
34552221,fundamental_2021
34552220,fundamental_2021
34552219,fundamental_2021
34518685,fundamental_2021
34518677,fundamental_2021
34504322,fundamental_2021
34497368,fundamental_2021
34493869,fundamental_2021
34493868,fundamental_2021
34493866,fundamental_2021
34489600,fundamental_2021
34489574,fundamental_2021
34489573,fundamental_2021
34489571,fundamental_2021
34489570,fundamental_2021
34475573,fundamental_2021
34475565,fundamental_2021
34475564,fundamental_2021
34475560,fundamental_2021
34475536,fundamental_2021
34475535,fundamental_2021
34475534,fundamental_2021
34475533,fundamental_2021
34462605,fundamental_2021
34462590,fundamental_2021
