pmid,query_name
8298653,translational_1993
8298652,translational_1993
8298651,translational_1993
8298649,translational_1993
8298648,translational_1993
8298647,translational_1993
8298646,translational_1993
8298644,translational_1993
8298643,translational_1993
8298641,translational_1993
8298640,translational_1993
8298639,translational_1993
8275096,translational_1993
8275095,translational_1993
8275094,translational_1993
8275093,translational_1993
8275092,translational_1993
8275091,translational_1993
8275090,translational_1993
8275089,translational_1993
8275088,translational_1993
8275087,translational_1993
8275086,translational_1993
8275084,translational_1993
7903889,translational_1993
7506097,translational_1993
7506096,translational_1993
7506095,translational_1993
8252048,translational_1993
8252047,translational_1993
8252046,translational_1993
8252045,translational_1993
8252044,translational_1993
8252043,translational_1993
8252042,translational_1993
8252041,translational_1993
8252040,translational_1993
8252039,translational_1993
7504553,translational_1993
8220435,translational_1993
8220433,translational_1993
8220432,translational_1993
8220429,translational_1993
8220427,translational_1993
8220424,translational_1993
8220423,translational_1993
8220422,translational_1993
8220421,translational_1993
7693131,translational_1993
7693130,translational_1993
7693129,translational_1993
7693128,translational_1993
8401593,translational_1993
8401592,translational_1993
8401589,translational_1993
8401588,translational_1993
8401587,translational_1993
8401582,translational_1993
8401581,translational_1993
8401580,translational_1993
7691356,translational_1993
8358442,translational_1993
8358441,translational_1993
8358440,translational_1993
8358439,translational_1993
8358438,translational_1993
8358437,translational_1993
8358435,translational_1993
8358433,translational_1993
8358432,translational_1993
8358430,translational_1993
8358429,translational_1993
7689389,translational_1993
7689388,translational_1993
8394175,translational_1993
8394174,translational_1993
8348157,translational_1993
8348151,translational_1993
8348149,translational_1993
8102299,translational_1993
8102298,translational_1993
8102297,translational_1993
7503811,translational_1993
8513333,translational_1993
8513329,translational_1993
8513327,translational_1993
8513326,translational_1993
8513325,translational_1993
8513324,translational_1993
8513323,translational_1993
8513321,translational_1993
8099842,translational_1993
7981755,translational_1993
7981754,translational_1993
7981753,translational_1993
7981752,translational_1993
7981750,translational_1993
7981748,translational_1993
7981747,translational_1993
7526933,translational_1993
7526932,translational_1993
8485580,translational_1993
8485579,translational_1993
8387379,translational_1993
8097946,translational_1993
8499951,translational_1993
8499949,translational_1993
8499948,translational_1993
8499946,translational_1993
8499945,translational_1993
8499944,translational_1993
8388768,translational_1993
8098985,translational_1993
7684647,translational_1993
7684646,translational_1993
8490660,translational_1993
8490659,translational_1993
8490658,translational_1993
8490657,translational_1993
8490655,translational_1993
8490651,translational_1993
8490650,translational_1993
8490648,translational_1993
8490647,translational_1993
8490646,translational_1993
