pmid,query_name
17396164,basic_2007
17396162,basic_2007
17389924,basic_2007
17389919,basic_2007
17389918,basic_2007
17389916,basic_2007
17389915,basic_2007
17389913,basic_2007
17389911,basic_2007
17389910,basic_2007
17389909,basic_2007
17380189,basic_2007
17375202,basic_2007
17375198,basic_2007
17375197,basic_2007
17375193,basic_2007
17375192,basic_2007
17375191,basic_2007
17375190,basic_2007
17375189,basic_2007
17375188,basic_2007
17375187,basic_2007
17375185,basic_2007
17375184,basic_2007
17372629,basic_2007
17372628,basic_2007
17372627,basic_2007
17372626,basic_2007
17356704,basic_2007
17356703,basic_2007
17356700,basic_2007
17356699,basic_2007
17356697,basic_2007
17356696,basic_2007
17356694,basic_2007
17356692,basic_2007
17356690,basic_2007
17356689,basic_2007
17342210,basic_2007
17342209,basic_2007
17342208,basic_2007
17342207,basic_2007
17342206,basic_2007
17342205,basic_2007
17342204,basic_2007
17342203,basic_2007
17332846,basic_2007
17330142,basic_2007
17330140,basic_2007
17330139,basic_2007
17327924,basic_2007
17327923,basic_2007
17327922,basic_2007
17327921,basic_2007
17327919,basic_2007
17327918,basic_2007
17327915,basic_2007
17327914,basic_2007
17327913,basic_2007
17327912,basic_2007
17327911,basic_2007
17327907,basic_2007
17318257,basic_2007
17311107,basic_2007
17311105,basic_2007
17311102,basic_2007
17311100,basic_2007
17311098,basic_2007
17311097,basic_2007
17311096,basic_2007
17311095,basic_2007
17311093,basic_2007
17311091,basic_2007
17311090,basic_2007
17311089,basic_2007
17301879,basic_2007
17301878,basic_2007
17299599,basic_2007
17299597,basic_2007
17299596,basic_2007
17299595,basic_2007
17299594,basic_2007
17299593,basic_2007
17299592,basic_2007
17299591,basic_2007
17299590,basic_2007
17299588,basic_2007
17299586,basic_2007
17299585,basic_2007
17299584,basic_2007
17299583,basic_2007
17299582,basic_2007
17285148,basic_2007
17285147,basic_2007
17285146,basic_2007
17285144,basic_2007
17285143,basic_2007
17285142,basic_2007
17264888,basic_2007
17264887,basic_2007
17264884,basic_2007
17264882,basic_2007
17264881,basic_2007
17252055,basic_2007
17245451,basic_2007
17245450,basic_2007
17245447,basic_2007
17245446,basic_2007
17245445,basic_2007
17245444,basic_2007
17245443,basic_2007
17225865,basic_2007
17225864,basic_2007
17225863,basic_2007
17225862,basic_2007
17225861,basic_2007
17225859,basic_2007
17225858,basic_2007
17225856,basic_2007
17218991,basic_2007
17218990,basic_2007
17215957,basic_2007
17206279,basic_2007
17206277,basic_2007
17206276,basic_2007
17206275,basic_2007
17205142,basic_2007
17205141,basic_2007
17205140,basic_2007
17205139,basic_2007
17205138,basic_2007
17205137,basic_2007
17205136,basic_2007
17205135,basic_2007
17205134,basic_2007
17205132,basic_2007
17205130,basic_2007
17205129,basic_2007
17205127,basic_2007
17205126,basic_2007
17205124,basic_2007
17205123,basic_2007
17205122,basic_2007
17205120,basic_2007
17205119,basic_2007
17205117,basic_2007
17205116,basic_2007
17205115,basic_2007
17205114,basic_2007
17205113,basic_2007
17205111,basic_2007
17205110,basic_2007
17205109,basic_2007
22423309,basic_2007
17653289,basic_2007
17653288,basic_2007
17653287,basic_2007
17653286,basic_2007
17653285,basic_2007
