pmid,query_name
19330037,fundamental_2009
19330035,fundamental_2009
19325912,fundamental_2009
19325907,fundamental_2009
19325906,fundamental_2009
19325895,fundamental_2009
19325893,fundamental_2009
19325706,fundamental_2009
19325705,fundamental_2009
19325704,fundamental_2009
19325702,fundamental_2009
19319200,fundamental_2009
19319197,fundamental_2009
19319196,fundamental_2009
19319195,fundamental_2009
19319193,fundamental_2009
19319192,fundamental_2009
19319190,fundamental_2009
19319189,fundamental_2009
19319188,fundamental_2009
19319186,fundamental_2009
19319185,fundamental_2009
19319182,fundamental_2009
19308258,fundamental_2009
19308257,fundamental_2009
19308256,fundamental_2009
19308255,fundamental_2009
19308254,fundamental_2009
19308253,fundamental_2009
19305644,fundamental_2009
19305511,fundamental_2009
19305510,fundamental_2009
19305509,fundamental_2009
19305506,fundamental_2009
19305505,fundamental_2009
19305503,fundamental_2009
19305502,fundamental_2009
19305501,fundamental_2009
19305500,fundamental_2009
19305497,fundamental_2009
19305496,fundamental_2009
19305495,fundamental_2009
19305494,fundamental_2009
19300518,fundamental_2009
19300517,fundamental_2009
19300514,fundamental_2009
19300512,fundamental_2009
19300510,fundamental_2009
19300509,fundamental_2009
19300507,fundamental_2009
19300506,fundamental_2009
19300505,fundamental_2009
19295916,fundamental_2009
19295915,fundamental_2009
19295914,fundamental_2009
19295911,fundamental_2009
19295910,fundamental_2009
19295908,fundamental_2009
19295907,fundamental_2009
19293939,fundamental_2009
19293938,fundamental_2009
19293937,fundamental_2009
19293931,fundamental_2009
19293930,fundamental_2009
19293929,fundamental_2009
19293927,fundamental_2009
19293925,fundamental_2009
19290061,fundamental_2009
19290060,fundamental_2009
19290059,fundamental_2009
19290058,fundamental_2009
19290057,fundamental_2009
19290056,fundamental_2009
19290055,fundamental_2009
19290054,fundamental_2009
19290053,fundamental_2009
19290052,fundamental_2009
19290051,fundamental_2009
19290049,fundamental_2009
19290048,fundamental_2009
19290046,fundamental_2009
19290045,fundamental_2009
19290044,fundamental_2009
19290043,fundamental_2009
19290042,fundamental_2009
19290041,fundamental_2009
19287504,fundamental_2009
19287503,fundamental_2009
19287502,fundamental_2009
19287501,fundamental_2009
19287500,fundamental_2009
19287494,fundamental_2009
19287493,fundamental_2009
19287492,fundamental_2009
19287491,fundamental_2009
19287490,fundamental_2009
