pmid,query_name
19330036,translational_2009
19330033,translational_2009
19325915,translational_2009
19325908,translational_2009
19325894,translational_2009
19325708,translational_2009
19325707,translational_2009
19325703,translational_2009
19319199,translational_2009
19319194,translational_2009
19319191,translational_2009
19319184,translational_2009
19308264,translational_2009
19308263,translational_2009
19308252,translational_2009
19305508,translational_2009
19305507,translational_2009
19305504,translational_2009
19305499,translational_2009
19305498,translational_2009
19305493,translational_2009
19300513,translational_2009
19300508,translational_2009
19295917,translational_2009
19295913,translational_2009
19295909,translational_2009
19293934,translational_2009
19293932,translational_2009
19293926,translational_2009
19290047,translational_2009
19287498,translational_2009
19287496,translational_2009
19287495,translational_2009
19287488,translational_2009
19283074,translational_2009
19283072,translational_2009
19283071,translational_2009
19279687,translational_2009
19279683,translational_2009
19279679,translational_2009
19279678,translational_2009
19277200,translational_2009
19277127,translational_2009
19277126,translational_2009
19277120,translational_2009
19274103,translational_2009
19274101,translational_2009
19274090,translational_2009
19274085,translational_2009
19274078,translational_2009
19274077,translational_2009
19274076,translational_2009
19270752,translational_2009
19270747,translational_2009
19270743,translational_2009
19270742,translational_2009
19270741,translational_2009
19270740,translational_2009
19270739,translational_2009
19270736,translational_2009
19270734,translational_2009
19266096,translational_2009
19262748,translational_2009
19262738,translational_2009
19262688,translational_2009
19262684,translational_2009
19259263,translational_2009
19252743,translational_2009
19247485,translational_2009
19247480,translational_2009
19247475,translational_2009
19247473,translational_2009
19247447,translational_2009
19242560,translational_2009
19242540,translational_2009
19242538,translational_2009
19240806,translational_2009
19240805,translational_2009
19240800,translational_2009
19240798,translational_2009
19240794,translational_2009
19240791,translational_2009
19238210,translational_2009
19234609,translational_2009
19234608,translational_2009
19234607,translational_2009
19234601,translational_2009
19229326,translational_2009
19225570,translational_2009
19225568,translational_2009
19225566,translational_2009
19225563,translational_2009
19225562,translational_2009
19223987,translational_2009
19223985,translational_2009
19223980,translational_2009
19223976,translational_2009
19223975,translational_2009
19223971,translational_2009
19223969,translational_2009
19221603,translational_2009
19221600,translational_2009
19221597,translational_2009
19221590,translational_2009
19221586,translational_2009
19214238,translational_2009
19214235,translational_2009
19214228,translational_2009
19214226,translational_2009
19214221,translational_2009
19212444,translational_2009
19212441,translational_2009
19212434,translational_2009
19209227,translational_2009
19204794,translational_2009
19204783,translational_2009
19197390,translational_2009
19197387,translational_2009
19197385,translational_2009
19197381,translational_2009
19197368,translational_2009
19194513,translational_2009
19194511,translational_2009
19194507,translational_2009
19194501,translational_2009
19194497,translational_2009
19194489,translational_2009
19190774,translational_2009
19190755,translational_2009
19183811,translational_2009
19180243,translational_2009
19180240,translational_2009
19180231,translational_2009
19180229,translational_2009
19180198,translational_2009
19177166,translational_2009
19172175,translational_2009
19169360,translational_2009
19169359,translational_2009
19169356,translational_2009
19169352,translational_2009
19165342,translational_2009
19159013,translational_2009
19158955,translational_2009
19158946,translational_2009
19158945,translational_2009
19156225,translational_2009
19156219,translational_2009
19156218,translational_2009
19156217,translational_2009
19156215,translational_2009
19156213,translational_2009
19156211,translational_2009
19156206,translational_2009
19156203,translational_2009
19156198,translational_2009
19148297,translational_2009
19148291,translational_2009
19148288,translational_2009
19145257,translational_2009
19145255,translational_2009
19145247,translational_2009
19142234,translational_2009
19142227,translational_2009
19137069,translational_2009
19137067,translational_2009
19137066,translational_2009
19129918,translational_2009
19129917,translational_2009
19129916,translational_2009
19129913,translational_2009
19127292,translational_2009
19125193,translational_2009
19125184,translational_2009
19122813,translational_2009
19122812,translational_2009
19119320,translational_2009
19119319,translational_2009
19116662,translational_2009
19116651,translational_2009
19116649,translational_2009
19641622,translational_2009
19641620,translational_2009
19641609,translational_2009
19641607,translational_2009
19641605,translational_2009
19641602,translational_2009
19636439,translational_2009
19636438,translational_2009
19636429,translational_2009
