pmid,query_name
1463610,basic_1992
1463609,basic_1992
1463608,basic_1992
1463607,basic_1992
1463606,basic_1992
1463605,basic_1992
1463604,basic_1992
1361129,basic_1992
1361128,basic_1992
1334422,basic_1992
1334421,basic_1992
1334420,basic_1992
1334419,basic_1992
1334418,basic_1992
1281420,basic_1992
1281419,basic_1992
1281418,basic_1992
1281417,basic_1992
1281416,basic_1992
1419004,basic_1992
1419003,basic_1992
1419001,basic_1992
1419000,basic_1992
1418999,basic_1992
1418998,basic_1992
1418996,basic_1992
1418995,basic_1992
1384578,basic_1992
1384577,basic_1992
1384576,basic_1992
1384575,basic_1992
1358131,basic_1992
1329864,basic_1992
1329863,basic_1992
1389185,basic_1992
1389184,basic_1992
1389183,basic_1992
1389182,basic_1992
1389181,basic_1992
1389180,basic_1992
1389179,basic_1992
1382475,basic_1992
1382474,basic_1992
1382473,basic_1992
1382472,basic_1992
1382471,basic_1992
1356373,basic_1992
1356372,basic_1992
1356371,basic_1992
1356370,basic_1992
1327011,basic_1992
1327010,basic_1992
1524823,basic_1992
1524831,basic_1992
1524830,basic_1992
1524829,basic_1992
1524828,basic_1992
1524827,basic_1992
1524826,basic_1992
1524825,basic_1992
1524824,basic_1992
1388031,basic_1992
1381926,basic_1992
1355977,basic_1992
1345671,basic_1992
1326297,basic_1992
1326296,basic_1992
1326295,basic_1992
1326294,basic_1992
1326293,basic_1992
1497898,basic_1992
1497897,basic_1992
1497896,basic_1992
1497895,basic_1992
1497894,basic_1992
1497893,basic_1992
1497892,basic_1992
1497891,basic_1992
1497890,basic_1992
1379821,basic_1992
1379820,basic_1992
1353972,basic_1992
1323314,basic_1992
1323313,basic_1992
1323312,basic_1992
1323311,basic_1992
1323310,basic_1992
1323309,basic_1992
1632969,basic_1992
1632968,basic_1992
1632966,basic_1992
1632965,basic_1992
1632964,basic_1992
1352987,basic_1992
1352986,basic_1992
1352985,basic_1992
1352984,basic_1992
1352983,basic_1992
1352982,basic_1992
1321648,basic_1992
1321647,basic_1992
1321646,basic_1992
1321645,basic_1992
1321644,basic_1992
1610570,basic_1992
1610569,basic_1992
1610566,basic_1992
1610564,basic_1992
1610563,basic_1992
1610562,basic_1992
1377000,basic_1992
1376999,basic_1992
1351733,basic_1992
1351732,basic_1992
1351731,basic_1992
1319186,basic_1992
1319185,basic_1992
1319184,basic_1992
1319183,basic_1992
1350201,basic_1992
1586488,basic_1992
1586487,basic_1992
1586486,basic_1992
1534013,basic_1992
1534012,basic_1992
1375039,basic_1992
1375038,basic_1992
1375037,basic_1992
1375036,basic_1992
1350203,basic_1992
1350202,basic_1992
1316767,basic_1992
1316766,basic_1992
1316764,basic_1992
1316763,basic_1992
1567622,basic_1992
1567621,basic_1992
1567620,basic_1992
1373632,basic_1992
1373631,basic_1992
1373630,basic_1992
1348951,basic_1992
1348950,basic_1992
1348949,basic_1992
1314625,basic_1992
1314624,basic_1992
1314623,basic_1992
1314622,basic_1992
1314621,basic_1992
1314620,basic_1992
1314619,basic_1992
1314618,basic_1992
1314617,basic_1992
1314616,basic_1992
1550679,basic_1992
1550678,basic_1992
1550677,basic_1992
1550676,basic_1992
1550675,basic_1992
1550674,basic_1992
1550673,basic_1992
1550672,basic_1992
1550671,basic_1992
1550670,basic_1992
1550669,basic_1992
1532320,basic_1992
1372510,basic_1992
1347997,basic_1992
1347996,basic_1992
1312849,basic_1992
1312848,basic_1992
1739463,basic_1992
1739462,basic_1992
1739460,basic_1992
1739459,basic_1992
1739458,basic_1992
1531415,basic_1992
1371220,basic_1992
1371219,basic_1992
1371218,basic_1992
1371217,basic_1992
1371216,basic_1992
1346742,basic_1992
1310865,basic_1992
1310863,basic_1992
1310862,basic_1992
1310861,basic_1992
1730005,basic_1992
1730004,basic_1992
1730003,basic_1992
1370374,basic_1992
1370373,basic_1992
1370372,basic_1992
1370371,basic_1992
1370370,basic_1992
1346090,basic_1992
1346089,basic_1992
1309652,basic_1992
1309651,basic_1992
1309650,basic_1992
1309649,basic_1992
1309647,basic_1992
1309646,basic_1992
