pmid,query_name
16369483,diseases_2005
16364897,diseases_2005
16364894,diseases_2005
16364891,diseases_2005
16364890,diseases_2005
16341215,diseases_2005
16337916,diseases_2005
16337909,diseases_2005
16311589,diseases_2005
16311588,diseases_2005
16301179,diseases_2005
16299504,diseases_2005
16299503,diseases_2005
16269367,diseases_2005
16261135,diseases_2005
16261134,diseases_2005
16251991,diseases_2005
16251990,diseases_2005
16251989,diseases_2005
16251988,diseases_2005
16251987,diseases_2005
16251986,diseases_2005
16251985,diseases_2005
16251984,diseases_2005
16251983,diseases_2005
16251982,diseases_2005
16251981,diseases_2005
16234808,diseases_2005
16234807,diseases_2005
16202704,diseases_2005
16158065,diseases_2005
16157275,diseases_2005
16157274,diseases_2005
16157268,diseases_2005
16136043,diseases_2005
16136042,diseases_2005
16116455,diseases_2005
16102530,diseases_2005
16055059,diseases_2005
16055058,diseases_2005
16039562,diseases_2005
16039556,diseases_2005
16007084,diseases_2005
16007083,diseases_2005
15996546,diseases_2005
15996541,diseases_2005
15995703,diseases_2005
15953415,diseases_2005
15953413,diseases_2005
15951808,diseases_2005
15937484,diseases_2005
15937482,diseases_2005
15924138,diseases_2005
15917835,diseases_2005
15895085,diseases_2005
15895084,diseases_2005
15882642,diseases_2005
15882629,diseases_2005
15880108,diseases_2005
15856064,diseases_2005
15856063,diseases_2005
15856062,diseases_2005
15848797,diseases_2005
15834418,diseases_2005
15820689,diseases_2005
15797557,diseases_2005
15797547,diseases_2005
15797543,diseases_2005
15768036,diseases_2005
15768034,diseases_2005
15748850,diseases_2005
15748847,diseases_2005
15748844,diseases_2005
15748838,diseases_2005
15748837,diseases_2005
15735643,diseases_2005
15723058,diseases_2005
15721236,diseases_2005
15721235,diseases_2005
15721232,diseases_2005
15711542,diseases_2005
15694329,diseases_2005
15657599,diseases_2005
15629698,diseases_2005
15622408,diseases_2005
15608631,diseases_2005
15592467,diseases_2005
15592466,diseases_2005
15568021,diseases_2005
