pmid,query_name
11163279,fundamental_2000
11163278,fundamental_2000
11163277,fundamental_2000
11163276,fundamental_2000
11163275,fundamental_2000
11163274,fundamental_2000
11163273,fundamental_2000
11163272,fundamental_2000
11163271,fundamental_2000
11163270,fundamental_2000
11163269,fundamental_2000
11163268,fundamental_2000
11163267,fundamental_2000
11163266,fundamental_2000
11163265,fundamental_2000
11163264,fundamental_2000
11163263,fundamental_2000
11163262,fundamental_2000
11163261,fundamental_2000
11163260,fundamental_2000
11163259,fundamental_2000
11163258,fundamental_2000
11163256,fundamental_2000
11163255,fundamental_2000
11163254,fundamental_2000
11163253,fundamental_2000
11163252,fundamental_2000
11163251,fundamental_2000
11144367,fundamental_2000
11144366,fundamental_2000
11144365,fundamental_2000
11144364,fundamental_2000
11144363,fundamental_2000
11144362,fundamental_2000
11144361,fundamental_2000
11144360,fundamental_2000
11144359,fundamental_2000
11144358,fundamental_2000
11144357,fundamental_2000
11144354,fundamental_2000
11144353,fundamental_2000
11144352,fundamental_2000
11144351,fundamental_2000
11144350,fundamental_2000
11144348,fundamental_2000
11144342,fundamental_2000
11144341,fundamental_2000
11144340,fundamental_2000
11144338,fundamental_2000
11144337,fundamental_2000
11127840,fundamental_2000
11127839,fundamental_2000
11127838,fundamental_2000
11127837,fundamental_2000
11127836,fundamental_2000
11127835,fundamental_2000
11127834,fundamental_2000
11127833,fundamental_2000
11127832,fundamental_2000
11127831,fundamental_2000
11127830,fundamental_2000
11127829,fundamental_2000
11127828,fundamental_2000
11100157,fundamental_2000
11100155,fundamental_2000
11100154,fundamental_2000
11100153,fundamental_2000
11100152,fundamental_2000
11100150,fundamental_2000
11100149,fundamental_2000
11100148,fundamental_2000
11100147,fundamental_2000
11100146,fundamental_2000
11100145,fundamental_2000
11100144,fundamental_2000
11087001,fundamental_2000
11087000,fundamental_2000
11086999,fundamental_2000
11086998,fundamental_2000
11086997,fundamental_2000
11086996,fundamental_2000
11086995,fundamental_2000
11086994,fundamental_2000
11086993,fundamental_2000
11086992,fundamental_2000
11086991,fundamental_2000
11086987,fundamental_2000
11086986,fundamental_2000
11086985,fundamental_2000
11086984,fundamental_2000
11086983,fundamental_2000
