pmid,query_name
16369483,translational_2005
16364897,translational_2005
16364894,translational_2005
16364891,translational_2005
16364890,translational_2005
16341215,translational_2005
16337916,translational_2005
16337909,translational_2005
16311589,translational_2005
16311588,translational_2005
16301179,translational_2005
16299504,translational_2005
16299503,translational_2005
16269367,translational_2005
16261135,translational_2005
16261134,translational_2005
16251987,translational_2005
16251985,translational_2005
16251984,translational_2005
16251983,translational_2005
16251982,translational_2005
16234808,translational_2005
16202704,translational_2005
16158065,translational_2005
16157275,translational_2005
16157274,translational_2005
16157268,translational_2005
16136043,translational_2005
16136042,translational_2005
16116455,translational_2005
16102530,translational_2005
16055059,translational_2005
16055058,translational_2005
16039562,translational_2005
16007083,translational_2005
15996546,translational_2005
15996541,translational_2005
15995703,translational_2005
15953413,translational_2005
15937484,translational_2005
15937482,translational_2005
15917835,translational_2005
15895085,translational_2005
15895084,translational_2005
15880108,translational_2005
15856064,translational_2005
15856063,translational_2005
15856062,translational_2005
15834418,translational_2005
15820689,translational_2005
15797557,translational_2005
15797547,translational_2005
15797543,translational_2005
15768034,translational_2005
15748847,translational_2005
15748844,translational_2005
15748838,translational_2005
15748837,translational_2005
15735643,translational_2005
15721236,translational_2005
15721235,translational_2005
15721232,translational_2005
15694329,translational_2005
15657599,translational_2005
15629698,translational_2005
15622408,translational_2005
15608631,translational_2005
15592467,translational_2005
15568021,translational_2005
