pmid,year
29290617,2017
29290616,2017
29276143,2017
29276142,2017
29276141,2017
29249464,2017
29249463,2017
29249462,2017
29220667,2017
29220666,2017
29220665,2017
29220664,2017
29220663,2017
29220662,2017
29220661,2017
29220660,2017
29220659,2017
29198942,2017
29198941,2017
29198940,2017
29174333,2017
29174332,2017
29174331,2017
29129523,2017
29100015,2017
29100014,2017
29100013,2017
29100012,2017
29100011,2017
29100010,2017
29100009,2017
29100008,2017
29100007,2017
29100006,2017
29100005,2017
29033353,2017
29033352,2017
29033351,2017
28985529,2017
28985528,2017
28985527,2017
28985526,2017
28985525,2017
28985524,2017
28985523,2017
28985522,2017
28985521,2017
28985520,2017
28985519,2017
28985518,2017
28965767,2017
28965766,2017
28965765,2017
28943029,2017
28943028,2017
28919367,2017
28886368,2017
28886367,2017
28886366,2017
28886365,2017
28886364,2017
28886363,2017
28886362,2017
28886361,2017
28886360,2017
28886359,2017
28886358,2017
28844837,2017
28826723,2017
28803920,2017
28803919,2017
28803918,2017
28777946,2017
28777945,2017
28777944,2017
28777943,2017
28777942,2017
28777941,2017
28777940,2017
28777939,2017
28777938,2017
28777937,2017
28757360,2017
28736217,2017
28736216,2017
28736215,2017
28712938,2017
28686871,2017
28686870,2017
28686869,2017
28686868,2017
28686867,2017
28686866,2017
28686865,2017
28686864,2017
28686863,2017
28686862,2017
28686861,2017
28686860,2017
28686859,2017
28648365,2017
28648364,2017
28648363,2017
28602620,2017
28575695,2017
28575694,2017
28575693,2017
28575692,2017
28575691,2017
28575690,2017
28575689,2017
28575688,2017
28575687,2017
28575686,2017
28575685,2017
28575684,2017
28526555,2017
28506465,2017
28506464,2017
28475885,2017
28475884,2017
28475881,2017
28475880,2017
28475879,2017
28475878,2017
28475877,2017
28475876,2017
28457750,2017
28457749,2017
28457748,2017
28388434,2017
28388433,2017
28388432,2017
28388431,2017
28388430,2017
28388429,2017
28388428,2017
28388427,2017
28388426,2017
28388425,2017
28388424,2017
28388423,2017
28388422,2017
28388421,2017
28366589,2017
28366588,2017
28366587,2017
28343984,2017
28343983,2017
28343982,2017
28330582,2017
28285905,2017
28285904,2017
28285903,2017
28257711,2017
28257710,2017
28257709,2017
28257708,2017
28257707,2017
28257706,2017
28257705,2017
28215825,2017
28196601,2017
28196600,2017
28157498,2017
28157497,2017
28157496,2017
28157495,2017
28157494,2017
28157493,2017
28132835,2017
28132834,2017
28132833,2017
28111201,2017
28111200,2017
28111199,2017
28094018,2017
28094017,2017
28094016,2017
28089910,2017
28089909,2017
28089908,2017
28061355,2017
28061354,2017
28061353,2017
28061352,2017
28061351,2017
28061350,2017
28061349,2017
28061348,2017
28041896,2017
28041895,2017
28041894,2017
28017796,2017
28017795,2017
28017794,2017
27989770,2017
27989769,2017
27989768,2017
27939219,2017
27939218,2017
27939217,2017
27889319,2017
27889318,2017
27889317,2017
27867037,2017
27867035,2017
27840022,2017
27840021,2017
27840020,2017
