pmid,year
12511566,2002
12509442,2002
12509441,2002
12509440,2002
12509439,2002
12509438,2002
12509437,2002
12509436,2002
12509435,2002
12509434,2002
12509433,2002
12509432,2002
12509431,2002
12509430,2002
12509429,2002
12509428,2002
12509427,2002
12509426,2002
12509425,2002
12509424,2002
12509423,2002
12509422,2002
12509421,2002
12509420,2002
12509419,2002
12509418,2002
12509417,2002
12509416,2002
12509415,2002
12509414,2002
12509413,2002
12509412,2002
12509351,2002
12506124,2002
12506123,2002
12506122,2002
12506121,2002
12506120,2002
12506119,2002
12506118,2002
12506117,2002
12506116,2002
12506115,2002
12506114,2002
12506113,2002
12506112,2002
12506111,2002
12506110,2002
12506109,2002
12506108,2002
12502719,2002
12502718,2002
12502717,2002
12502716,2002
12502715,2002
12502714,2002
12502713,2002
12502712,2002
12502711,2002
12502710,2002
12502709,2002
12502708,2002
12502707,2002
12501252,2002
12501251,2002
12501250,2002
12501249,2002
12501248,2002
12501247,2002
12501246,2002
12501245,2002
12501244,2002
12501243,2002
12501242,2002
12501241,2002
12501240,2002
12501239,2002
12501238,2002
12500977,2002
12500976,2002
12500975,2002
12500974,2002
12500973,2002
12500972,2002
12500971,2002
12499389,2002
12499388,2002
12499387,2002
12499386,2002
12499385,2002
12499384,2002
12499383,2002
12499382,2002
12499381,2002
12499380,2002
12499379,2002
12499378,2002
12499376,2002
12499375,2002
12499374,2002
12499373,2002
12499372,2002
12499371,2002
12499370,2002
12499369,2002
12499368,2002
12499367,2002
12499366,2002
12499365,2002
12499364,2002
12499363,2002
12499362,2002
12496312,2002
12496311,2002
12496310,2002
12496295,2002
12496294,2002
12496293,2002
12496292,2002
12496291,2002
12496290,2002
12496289,2002
12496288,2002
12496287,2002
12496286,2002
12496285,2002
12496284,2002
12496283,2002
12496282,2002
12496281,2002
12496280,2002
12496279,2002
12496278,2002
12496277,2002
12496276,2002
12496275,2002
12496274,2002
12496273,2002
12496272,2002
12496271,2002
12496270,2002
12496269,2002
12496268,2002
12496267,2002
12496266,2002
12496265,2002
12496264,2002
12496263,2002
12496262,2002
12496261,2002
12496260,2002
12496259,2002
12496258,2002
12496257,2002
12496256,2002
12496255,2002
12496254,2002
12496253,2002
12496252,2002
12496251,2002
12496250,2002
12496249,2002
12496248,2002
12496247,2002
12496246,2002
12496245,2002
12496244,2002
12496243,2002
12496242,2002
12496241,2002
12496240,2002
12493778,2002
12493777,2002
12493776,2002
12493775,2002
12493774,2002
12493773,2002
12493772,2002
12493771,2002
12493770,2002
12493769,2002
12493768,2002
12493767,2002
12493766,2002
12493765,2002
12493764,2002
12493763,2002
12493762,2002
12493761,2002
12493760,2002
12493759,2002
12493758,2002
12493757,2002
12493756,2002
12493755,2002
12493754,2002
12493753,2002
12493752,2002
12493751,2002
12493750,2002
12493749,2002
12493748,2002
12493747,2002
12493746,2002
12493745,2002
12493744,2002
12493743,2002
12493742,2002
12493741,2002
12493740,2002
12493739,2002
12493738,2002
12493737,2002
12493736,2002
12493735,2002
12493734,2002
12493733,2002
12493732,2002
12493731,2002
12490549,2002
12490548,2002
12490547,2002
12490546,2002
12490545,2002
12490544,2002
12490543,2002
12490542,2002
12490541,2002
12490540,2002
12490539,2002
12490538,2002
12490537,2002
12490536,2002
12488460,2002
12488459,2002
12488458,2002
12488457,2002
12488456,2002
12488455,2002
12488454,2002
12488453,2002
12488452,2002
12488451,2002
12488450,2002
12488449,2002
12488448,2002
12488447,2002
12488446,2002
12488445,2002
12488444,2002
12488443,2002
12488442,2002
12488441,2002
12488440,2002
12488439,2002
12488438,2002
12488320,2002
12488319,2002
12488318,2002
12488317,2002
12488316,2002
12488315,2002
12488314,2002
12486139,2002
12486138,2002
12486137,2002
12486136,2002
12486135,2002
12486134,2002
12486133,2002
12486132,2002
12486131,2002
12486130,2002
12486129,2002
12486128,2002
12486127,2002
12486126,2002
12486125,2002
12486124,2002
12486123,2002
12486122,2002
12486121,2002
12486120,2002
12486119,2002
12486118,2002
12486117,2002
12486116,2002
12486032,2002
12486031,2002
12486030,2002
12486029,2002
12486028,2002
12486027,2002
12483540,2002
