pmid,year
30596522,2018
30596521,2018
30596520,2018
30596517,2018
30596515,2018
30596513,2018
30596512,2018
30592649,2018
30592646,2018
30592645,2018
30592634,2018
30592632,2018
30592630,2018
30592629,2018
30592625,2018
30592623,2018
30589572,2018
30589571,2018
30589568,2018
30589566,2018
30586315,2018
30586313,2018
30576233,2018
30576232,2018
30576231,2018
30576228,2018
30576225,2018
30571313,2018
30571312,2018
30566397,2018
30566396,2018
30566395,2018
30566374,2018
30566365,2018
30561223,2018
30557043,2018
30557038,2018
30550359,2018
30550357,2018
30550356,2018
30550341,2018
30548079,2018
30540922,2018
30540918,2018
30540497,2018
30540494,2018
30526058,2018
30526049,2018
30526047,2018
30526044,2018
30526042,2018
30521760,2018
30521385,2018
30521384,2018
30521383,2018
30521382,2018
30521381,2018
30521380,2018
30521379,2018
30521378,2018
30521377,2018
30521374,2018
30521373,2018
30521372,2018
30508500,2018
30508496,2018
30517036,2018
30517034,2018
30514107,2018
30514106,2018
30509146,2018
30509141,2018
30509130,2018
30509129,2018
30509128,2018
30509127,2018
30509126,2018
30509125,2018
30509117,2018
30509116,2018
30496704,2018
30496703,2018
30496702,2018
30496701,2018
30496700,2018
30496699,2018
30496698,2018
30495988,2018
30495987,2018
30495986,2018
30485132,2018
30485126,2018
30485119,2018
30481490,2018
30481489,2018
30481488,2018
30481487,2018
30481486,2018
30481062,2018
30475644,2018
30475641,2018
30462532,2018
30462531,2018
30462530,2018
30462529,2018
30462528,2018
30458112,2018
30452882,2018
30452881,2018
30452880,2018
30452879,2018
30452878,2018
30433825,2018
30423262,2018
30423261,2018
30423260,2018
30423259,2018
30407878,2018
30407877,2018
30403537,2018
30399323,2018
30383452,2018
30383451,2018
30383450,2018
30383449,2018
30383448,2018
30383447,2018
30383446,2018
30383439,2018
32092798,2018
32092797,2018
30379590,2018
30376380,2018
30376360,2018
30376359,2018
30365367,2018
30365366,2018
30359099,2018
30359098,2018
30354670,2018
30354669,2018
30351993,2018
30351992,2018
30351991,2018
30346829,2018
30339471,2018
30339470,2018
30335548,2018
30335547,2018
30335546,2018
30332302,2018
30332301,2018
30332300,2018
30332299,2018
30332298,2018
30325674,2018
30321069,2018
30321068,2018
30321067,2018
30312114,2018
30307772,2018
30307771,2018
30307770,2018
30307769,2018
30307768,2018
30307767,2018
30307766,2018
30307765,2018
30307764,2018
30303745,2018
30303744,2018
30303743,2018
30303742,2018
30303741,2018
30303740,2018
30303739,2018
30303738,2018
30303737,2018
30303736,2018
30289750,2018
30289749,2018
30289748,2018
30285581,2018
30285580,2018
30285579,2018
30285578,2018
30281335,2018
30277822,2018
30277821,2018
30277820,2018
30277819,2018
30277818,2018
30277817,2018
30272996,2018
30265576,2018
30265575,2018
30260708,2018
30260707,2018
30260706,2018
30260705,2018
30260704,2018
30260703,2018
30260702,2018
30260701,2018
30260700,2018
30252536,2018
30252535,2018
30252534,2018
30252533,2018
30252532,2018
30247986,2018
30247985,2018
30247984,2018
30230922,2018
30230921,2018
30226813,2018
30226812,2018
30226811,2018
30226810,2018
30226809,2018
30226808,2018
30222079,2018
30222078,2018
30222077,2018
30216112,2018
30216111,2018
30216110,2018
30216109,2018
30211660,2018
30211659,2018
30207799,2018
30207798,2018
30207797,2018
30207796,2018
30204503,2018
30204502,2018
30204501,2018
30204500,2018
30204499,2018
30199285,2018
30199284,2018
30199283,2018
30199282,2018
30192654,2018
30188757,2018
30188756,2018
30188755,2018
30188754,2018
30188753,2018
30183377,2018
30183376,2018
30183375,2018
30183374,2018
30183373,2018
30169111,2018
30169110,2018
30161002,2018
30161001,2018
30161000,2018
30156911,2018
30156910,2018
30156909,2018
30156908,2018
30153049,2018
30148680,2018
30148679,2018
30148678,2018
30148677,2018
30148676,2018
30148675,2018
30148674,2018
30138038,2018
30138037,2018
30133327,2018
30133326,2018
30133325,2018
30130435,2018
30130434,2018
30130433,2018
30130432,2018
30125136,2018
30125135,2018
30118322,2018
30118321,2018
30113883,2018
30113882,2018
