pmid,year
26721885,2015
26721884,2015
26721883,2015
26721882,2015
26721881,2015
26721880,2015
26719343,2015
26719342,2015
26719341,2015
26719340,2015
26719339,2015
26719338,2015
26719337,2015
26719336,2015
26719335,2015
26719334,2015
26719333,2015
26719332,2015
26719331,2015
26719330,2015
26719329,2015
26719328,2015
26719327,2015
26710852,2015
26710851,2015
26710850,2015
26710849,2015
26710848,2015
26710847,2015
26709230,2015
26709229,2015
26706866,2015
26706316,2015
26706127,2015
26703476,2015
26703475,2015
26703474,2015
26703473,2015
26703472,2015
26703471,2015
26703470,2015
26703469,2015
26703468,2015
26703467,2015
26703466,2015
26703465,2015
26703464,2015
26702058,2015
26702057,2015
26702056,2015
26702055,2015
26702054,2015
26702053,2015
26702052,2015
26702051,2015
26699404,2015
26699403,2015
26699196,2015
26699195,2015
26698881,2015
26698633,2015
26698632,2015
26698328,2015
26698174,2015
26698173,2015
26697886,2015
26697885,2015
26694617,2015
26694616,2015
26694615,2015
26694614,2015
26694613,2015
26694612,2015
26694611,2015
26694610,2015
26694609,2015
26694608,2015
26694607,2015
26683377,2015
26683376,2015
26683375,2015
26683374,2015
26683373,2015
26683372,2015
26680001,2015
26680000,2015
26679999,2015
26679998,2015
26679997,2015
26679996,2015
26679995,2015
26677230,2015
26677229,2015
26677228,2015
26677227,2015
26677226,2015
26677225,2015
26677224,2015
26677223,2015
26677222,2015
26677221,2015
26677220,2015
26677219,2015
26677218,2015
26677217,2015
26670611,2015
26670610,2015
26670609,2015
26670608,2015
26670607,2015
26670606,2015
26668326,2015
26668325,2015
26668324,2015
26668323,2015
26668322,2015
26668321,2015
26668320,2015
26668319,2015
26668318,2015
26668317,2015
26668316,2015
26668315,2015
26668314,2015
26668313,2015
26668312,2015
26668311,2015
26668310,2015
26668309,2015
26668308,2015
26663087,2015
26663086,2015
26663085,2015
26663084,2015
26663083,2015
26663082,2015
26663081,2015
26663080,2015
26663079,2015
26663078,2015
26663077,2015
26663076,2015
26655953,2015
26655722,2015
26655721,2015
26655720,2015
26655719,2015
26655718,2015
26655717,2015
26655716,2015
26655715,2015
26655221,2015
26655220,2015
26645692,2015
26645691,2015
26645690,2015
26645689,2015
26645688,2015
26645687,2015
26645686,2015
26644477,2015
26644476,2015
26644475,2015
26644474,2015
26644473,2015
26644472,2015
26644471,2015
26644470,2015
26644469,2015
26644468,2015
26644467,2015
26644466,2015
26644465,2015
26644464,2015
26637356,2015
26637355,2015
26637354,2015
26637353,2015
26637352,2015
26637351,2015
26635369,2015
26635368,2015
26635367,2015
26635366,2015
26635365,2015
26634277,2015
26631735,2015
26631734,2015
26631733,2015
26631732,2015
26631731,2015
26631730,2015
26631729,2015
26631728,2015
26631727,2015
26631726,2015
26631725,2015
26631724,2015
26631723,2015
26631722,2015
26631721,2015
26631720,2015
26627837,2015
26627836,2015
26627835,2015
26627834,2015
26627833,2015
26627832,2015
26627831,2015
26627830,2015
26627829,2015
26627828,2015
26627827,2015
26627826,2015
26627825,2015
26627824,2015
26627823,2015
26627822,2015
26620705,2015
26620565,2015
26620564,2015
26620563,2015
26620562,2015
26620561,2015
26620560,2015
26620559,2015
26620558,2015
26620557,2015
26620556,2015
26613781,2015
26607354,2015
26601959,2015
26601958,2015
26601957,2015
26601956,2015
26601955,2015
26601954,2015
26601953,2015
26601952,2015
26601951,2015
26601950,2015
26601949,2015
26601948,2015
26601947,2015
26601946,2015
26601945,2015
26601944,2015
26601943,2015
26601942,2015
26601941,2015
26601940,2015
26601939,2015
26598525,2015
26598524,2015
26598523,2015
26598522,2015
26598521,2015
26598520,2015
26598519,2015
26598518,2015
26598517,2015
26592930,2015
26589801,2015
26589800,2015
26589799,2015
26589798,2015
26589797,2015
26589796,2015
26589795,2015
26589794,2015
26586918,2015
26586917,2015
26586916,2015
26586915,2015
26586914,2015
26586913,2015
26582205,2015
26582204,2015
26582203,2015
26582202,2015
26582201,2015
26582200,2015
26582199,2015
26582198,2015
26582197,2015
26578521,2015
26578520,2015
26578519,2015
26578518,2015
26578517,2015
26578516,2015
26578515,2015
26578514,2015
26578513,2015
26578512,2015
26578511,2015
26574547,2015
26574546,2015
26574545,2015
26574544,2015
26574543,2015
26567912,2015
26567911,2015
26567340,2015
26567339,2015
26567338,2015
26567337,2015
26567336,2015
26567335,2015
26565033,2015
26565032,2015
26565031,2015
26565030,2015
26565029,2015
26565028,2015
26565027,2015
26565026,2015
26565025,2015
26565024,2015
26565023,2015
26565022,2015
26565021,2015
26565020,2015
26559977,2015
26559976,2015
26559975,2015
26559974,2015
26559973,2015
26559972,2015
26559971,2015
26559970,2015
26559969,2015
26555268,2015
26555267,2015
26555266,2015
26555265,2015
26555264,2015
26555263,2015
26555262,2015
26555261,2015
26555260,2015
26555259,2015
26555258,2015
26553877,2015
26553876,2015
26553875,2015
26553874,2015
26553873,2015
26553872,2015
26553871,2015
26553870,2015
26553869,2015
26553868,2015
26547624,2015
26546682,2015
26546681,2015
26546680,2015
26546679,2015
26546678,2015
26546677,2015
26546676,2015
26546675,2015
26546674,2015
26546673,2015
26542808,2015
26542807,2015
26542806,2015
26542805,2015
26542804,2015
26542803,2015
26538564,2015
26538563,2015
26538562,2015
26538561,2015
26534965,2015
26534964,2015
26534963,2015
26534962,2015
26534961,2015
26534960,2015
26534959,2015
26534958,2015
26534957,2015
26527689,2015
26527688,2015
26527687,2015
26527686,2015
26527685,2015
26527684,2015
26527683,2015
26527682,2015
26527681,2015
26527680,2015
26527679,2015
26527678,2015
26522166,2015
26521302,2015
26518879,2015
26518878,2015
26518877,2015
26518876,2015
26518875,2015
26518874,2015
26518873,2015
26518872,2015
26518871,2015
26515070,2015
26515069,2015
26515068,2015
26515067,2015
26515066,2015
26515065,2015
26515064,2015
26515063,2015
26515062,2015
26515061,2015
26511321,2015
26511320,2015
26511319,2015
26511318,2015
26511317,2015
26511316,2015
26511315,2015
26511314,2015
