pmid,year
9415897,1997
9415896,1997
9415895,1997
9415894,1997
9415893,1997
9415892,1997
9415891,1997
9415890,1997
9415889,1997
9415888,1997
9415887,1997
9415886,1997
9415872,1997
9415871,1997
9415870,1997
9359117,1997
9359116,1997
9359115,1997
9359114,1997
9359113,1997
9359112,1997
9359111,1997
9359110,1997
9359109,1997
9359108,1997
9359107,1997
9359106,1997
9359105,1997
9359095,1997
9359094,1997
9359093,1997
9359092,1997
9306412,1997
9306411,1997
9306410,1997
9306409,1997
9306408,1997
9306407,1997
9306406,1997
9306405,1997
9306404,1997
9306403,1997
9306402,1997
9306401,1997
9306400,1997
9306399,1997
9306398,1997
9306397,1997
9306396,1997
9306387,1997
9306386,1997
9335056,1997
9335055,1997
9335054,1997
9335053,1997
9335052,1997
9335051,1997
9335050,1997
9335049,1997
9335048,1997
9335047,1997
9335046,1997
9335045,1997
9335044,1997
9335043,1997
9335033,1997
9333520,1997
9333519,1997
9333518,1997
9255802,1997
9255801,1997
9255800,1997
9255799,1997
9255798,1997
9255797,1997
9255796,1997
9255795,1997
9255794,1997
9255793,1997
9255792,1997
9255791,1997
9255790,1997
9255789,1997
9255788,1997
9255787,1997
9255786,1997
9255785,1997
9255784,1997
9255783,1997
9255782,1997
9255773,1997
9255772,1997
9255771,1997
9219276,1997
9219275,1997
9219274,1997
9219273,1997
9219272,1997
9219271,1997
9219270,1997
9219269,1997
9219268,1997
9219267,1997
9219266,1997
9219265,1997
9219264,1997
9219263,1997
9219262,1997
9219249,1997
9219248,1997
9181585,1997
9181584,1997
9181583,1997
9181582,1997
9181581,1997
9181580,1997
9181579,1997
9181578,1997
9181577,1997
9181576,1997
9181575,1997
9181574,1997
9181573,1997
9181557,1997
9181556,1997
9181555,1997
9181554,1997
9131631,1997
9131630,1997
9131629,1997
9131628,1997
9131627,1997
9131626,1997
9131625,1997
9131624,1997
9131623,1997
9131622,1997
9131621,1997
9131620,1997
9131619,1997
9131618,1997
9131598,1997
9131597,1997
9094142,1997
9094141,1997
9094140,1997
9094139,1997
9094138,1997
9094137,1997
9094136,1997
9094135,1997
9094134,1997
9094133,1997
9094132,1997
9094131,1997
9094108,1997
9094107,1997
9094106,1997
18841111,1997
18841110,1997
18841109,1997
18841108,1997
18841107,1997
18841106,1997
18841105,1997
18841104,1997
18841103,1997
18841102,1997
18841101,1997
18841100,1997
18841099,1997
18841098,1997
18841097,1997
18841096,1997
18841095,1997
9062932,1997
9062931,1997
9062930,1997
9062929,1997
9062928,1997
9062927,1997
9062926,1997
9062925,1997
9062924,1997
9062923,1997
9062922,1997
9062921,1997
9062920,1997
9062911,1997
9062910,1997
9035147,1997
9035146,1997
9035145,1997
9035144,1997
9035143,1997
9035142,1997
9035141,1997
9035140,1997
9035139,1997
9035138,1997
9035137,1997
9035135,1997
9035119,1997
9035118,1997
9035117,1997
9035114,1997
9035113,1997
9035112,1997
9035111,1997
9035110,1997
9035109,1997
9035108,1997
9035107,1997
9035106,1997
9035105,1997
9035104,1997
9035103,1997
9035102,1997
9035101,1997
9035092,1997
9035091,1997
