pmid,year
23263280,2012
23263278,2012
23242217,2012
23242216,2012
23242215,2012
23242214,2012
23222841,2012
23222840,2012
23201782,2012
23196844,2012
23196843,2012
23196842,2012
23196841,2012
23196840,2012
23196839,2012
23178883,2012
23178882,2012
23178881,2012
23178880,2012
23159929,2012
23143399,2012
23143398,2012
23143397,2012
23143396,2012
23143395,2012
23131920,2012
23131919,2012
23131918,2012
23103912,2012
23103911,2012
23103910,2012
23086239,2012
23086238,2012
23086237,2012
23064266,2012
23064265,2012
23064264,2012
23064263,2012
23041974,2012
23033045,2012
23023225,2012
23023224,2012
23000966,2012
23000965,2012
23000964,2012
23000963,2012
23000962,2012
22983116,2012
22983115,2012
22983114,2012
22945258,2012
22945257,2012
22945256,2012
22945255,2012
22945254,2012
22940907,2012
22940906,2012
22922713,2012
22922712,2012
22902598,2012
22885771,2012
22885770,2012
22864477,2012
22854810,2012
22854809,2012
22842922,2012
22820378,2012
22820377,2012
22820376,2012
22820375,2012
22797597,2012
22772081,2012
22750946,2012
22750945,2012
22750944,2012
22750943,2012
22743709,2012
22743708,2012
22743707,2012
22729086,2012
22729085,2012
22729084,2012
22729083,2012
22706160,2012
22684256,2012
22684255,2012
22684254,2012
22660415,2012
22660414,2012
22660413,2012
22643873,2012
22634595,2012
22609986,2012
22581055,2012
22581054,2012
22561348,2012
22561347,2012
22561346,2012
22561345,2012
22552146,2012
22552145,2012
22552144,2012
22552143,2012
22544066,2012
22544065,2012
22522173,2012
22522172,2012
22522171,2012
22504275,2012
22504274,2012
22484487,2012
22484486,2012
22484485,2012
22469826,2012
22469825,2012
22466366,2012
22446738,2012
22446737,2012
22446736,2012
22426077,2012
22407366,2012
22407365,2012
22407364,2012
22388892,2012
22388891,2012
22388890,2012
22388889,2012
22388888,2012
22373869,2012
22373868,2012
22366688,2012
22366687,2012
22366686,2012
22344035,2012
22344034,2012
22344033,2012
22344032,2012
22344031,2012
22344030,2012
22344029,2012
22327366,2012
22327365,2012
22327364,2012
22307330,2012
22298039,2012
22298038,2012
22298037,2012
22286100,2012
22286099,2012
22267086,2012
22267085,2012
22246346,2012
22231169,2012
22231168,2012
