pmid,year
28288097,2016
28106876,2016
28024151,2016
28024150,2016
27992882,2016
27992881,2016
27992880,2016
27992879,2016
27984577,2016
27984576,2016
27984575,2016
27984574,2016
27984573,2016
27941760,2016
27941759,2016
27941758,2016
27918561,2016
27918560,2016
27918559,2016
27918558,2016
27893705,2016
27893704,2016
27870838,2016
27870837,2016
27870836,2016
27870835,2016
27846208,2016
27846207,2016
27846206,2016
27846205,2016
27846204,2016
27846203,2016
27846202,2016
27842070,2016
27842069,2016
27842068,2016
27842067,2016
27842066,2016
27820805,2016
27820804,2016
27820803,2016
27820802,2016
27820801,2016
27820800,2016
27820799,2016
27820798,2016
27820797,2016
27820796,2016
27820795,2016
27775713,2016
27775716,2016
27775715,2016
27775714,2016
27748753,2016
27748752,2016
27748751,2016
27748750,2016
27748749,2016
27723751,2016
27723750,2016
27723749,2016
27723748,2016
27723747,2016
27694803,2016
27694802,2016
27694801,2016
27694800,2016
27694799,2016
27755531,2016
27755530,2016
27755529,2016
27755528,2016
27755527,2016
27755526,2016
27755525,2016
27755524,2016
27669419,2016
27669418,2016
27669417,2016
27642865,2016
27642864,2016
27642863,2016
27642862,2016
27618190,2016
27618189,2016
27618188,2016
27618187,2016
27595331,2016
27595330,2016
27595329,2016
27595328,2016
27595327,2016
27649056,2016
27649055,2016
27649054,2016
27649053,2016
27649052,2016
27571479,2016
27571478,2016
27571477,2016
27547923,2016
27547922,2016
27547921,2016
27547920,2016
27547919,2016
27538025,2016
27538024,2016
27538023,2016
27538022,2016
27526031,2016
27526030,2016
27526029,2016
27526028,2016
27501397,2016
27501396,2016
27501395,2016
27479744,2016
27479743,2016
27454933,2016
27454932,2016
27454931,2016
27434767,2016
27434766,2016
27434765,2016
27428513,2016
27428512,2016
27428511,2016
27428510,2016
27399000,2016
27398999,2016
27398998,2016
27380321,2016
27376691,2016
27376690,2016
27376689,2016
27348092,2016
27348091,2016
27348090,2016
27322069,2016
27322068,2016
27322067,2016
27315537,2016
27315536,2016
27315535,2016
27315534,2016
27294323,2016
27294322,2016
27294321,2016
27272565,2016
27272564,2016
27239789,2016
27239788,2016
27239787,2016
27214403,2016
27214402,2016
27214401,2016
27191648,2016
27191647,2016
27191646,2016
27191645,2016
27191643,2016
27191642,2016
27191641,2016
27191640,2016
27191639,2016
27182664,2016
27182663,2016
27182662,2016
27159581,2016
27159580,2016
27159579,2016
27159578,2016
27159577,2016
27110681,2016
27110680,2016
27110679,2016
27089030,2016
27089029,2016
27089028,2016
27065235,2016
27065234,2016
27065233,2016
27065232,2016
27043190,2016
27043189,2016
27018889,2016
27018888,2016
27018887,2016
26999782,2016
26999781,2016
26999780,2016
26991085,2016
26991084,2016
26974814,2016
26974813,2016
26928937,2016
26928936,2016
26928935,2016
26928934,2016
26900867,2016
26900866,2016
26900865,2016
26900864,2016
26881764,2016
26881763,2016
26881762,2016
26878552,2016
26878551,2016
26878550,2016
26863410,2016
26854668,2016
26854667,2016
26854666,2016
26829474,2016
26829473,2016
26829472,2016
26807716,2016
26807715,2016
26807714,2016
26784846,2016
26784845,2016
26784844,2016
26784843,2016
26780407,2016
26780406,2016
26780405,2016
26751516,2016
26751515,2016
26727240,2016
26727239,2016
26689789,2016
26689788,2016
26678610,2016
26678609,2016
26678608,2016
26656091,2016
26656090,2016
26656089,2016
26656088,2016
26641934,2016
26641933,2016
26641932,2016
26641931,2016
26619250,2016
26619249,2016
26595462,2016
26595461,2016
26571352,2016
26571351,2016
26551396,2016
26551395,2016
