pmid,year
7493036,1995
7493035,1995
7493034,1995
7493033,1995
7493032,1995
7493031,1995
7493030,1995
7493029,1995
7493028,1995
7493027,1995
7493026,1995
7493025,1995
7493024,1995
7493023,1995
7493022,1995
7493021,1995
7493020,1995
7493019,1995
7493018,1995
7493017,1995
7493016,1995
7493015,1995
7493014,1995
7581465,1995
7581464,1995
7581463,1995
7581462,1995
7581461,1995
7581460,1995
7581459,1995
7581458,1995
7581457,1995
7581456,1995
7581455,1995
7581454,1995
7581453,1995
7581452,1995
7581451,1995
7581450,1995
7581449,1995
7581448,1995
7581447,1995
7581446,1995
7550356,1995
7550355,1995
7550354,1995
7550353,1995
7550352,1995
7550351,1995
7550350,1995
7550349,1995
7550348,1995
7550347,1995
7550346,1995
7550345,1995
7550344,1995
7550343,1995
7550342,1995
7550341,1995
7550340,1995
7550339,1995
7550338,1995
7550337,1995
7550326,1995
7550325,1995
7550324,1995
7550323,1995
7550321,1995
7550320,1995
7550319,1995
7550318,1995
7550317,1995
7550316,1995
7550314,1995
7550313,1995
7550312,1995
7550311,1995
7550309,1995
7550308,1995
7670501,1995
7670500,1995
7670499,1995
7670498,1995
7670497,1995
7670496,1995
7670495,1995
7670494,1995
7670493,1995
7670492,1995
7670491,1995
7670490,1995
7670489,1995
7670488,1995
7670487,1995
7545495,1995
7545494,1995
7670478,1995
7670477,1995
7670476,1995
7670475,1995
7670474,1995
7670473,1995
7670472,1995
7670471,1995
7670470,1995
7670469,1995
7670468,1995
7670467,1995
7670466,1995
7670465,1995
7670464,1995
7670463,1995
7545493,1995
7545492,1995
7663525,1995
7663524,1995
7663523,1995
7663522,1995
7663521,1995
7663520,1995
7663519,1995
7663518,1995
7663517,1995
7663516,1995
7663515,1995
7663514,1995
7663513,1995
7663512,1995
7663511,1995
7663510,1995
7663509,1995
7663508,1995
7545057,1995
7545056,1995
7647802,1995
7647801,1995
7647799,1995
7647798,1995
7647795,1995
7647794,1995
7647793,1995
7647791,1995
7647790,1995
7647789,1995
7647787,1995
7647785,1995
7647784,1995
7647783,1995
7647777,1995
7795653,1995
7795652,1995
7795651,1995
7795650,1995
7795649,1995
7795648,1995
7795647,1995
7795646,1995
7795645,1995
7795644,1995
7795643,1995
7795642,1995
7795641,1995
7795640,1995
7795639,1995
7540910,1995
21836810,1995
7773297,1995
7773296,1995
7773295,1995
7773294,1995
7773293,1995
7773292,1995
7773291,1995
7773290,1995
7773289,1995
7773288,1995
7773287,1995
7773286,1995
7773285,1995
7539673,1995
7539672,1995
7719351,1995
7719350,1995
7719349,1995
7719348,1995
7719347,1995
7719346,1995
7719345,1995
7719344,1995
7719343,1995
7719342,1995
7719341,1995
7719340,1995
7719339,1995
7719338,1995
7719337,1995
7626145,1995
7704033,1995
7704031,1995
7704030,1995
7704029,1995
7704028,1995
7704027,1995
7704025,1995
7704024,1995
7704023,1995
7704021,1995
7704020,1995
7704018,1995
7704017,1995
