pmid,year
28024084,2016
28024083,2016
27991919,2016
27991918,2016
27991917,2016
27941793,2016
27941792,2016
27941791,2016
27923033,2016
27923032,2016
27923030,2016
27923028,2016
27923027,2016
27923023,2016
27923021,2016
27923018,2016
27918564,2016
27918563,2016
27918562,2016
27892953,2016
27869805,2016
27869804,2016
27869803,2016
27869802,2016
27841876,2016
27841875,2016
27841874,2016
27841873,2016
27824824,2016
27824822,2016
27824820,2016
27824818,2016
27824817,2016
27824814,2016
27820605,2016
27820604,2016
27820603,2016
27798615,2016
27798614,2016
27798613,2016
27783068,2016
27783067,2016
27783066,2016
27783065,2016
27783064,2016
27775706,2016
27775705,2016
27775704,2016
27748748,2016
27748747,2016
27723723,2016
27723722,2016
27694934,2016
27694933,2016
27694932,2016
27694931,2016
27668938,2016
27668937,2016
27668935,2016
27618651,2016
27711068,2016
27711066,2016
27711065,2016
27711063,2016
27711061,2016
27711059,2016
27711057,2016
27643638,2016
27618652,2016
27618650,2016
27618649,2016
27603132,2016
27603131,2016
27603130,2016
27603129,2016
27595325,2016
27595324,2016
27595323,2016
27595322,2016
27595321,2016
27571349,2016
27571348,2016
27571347,2016
27548576,2016
27548575,2016
27525524,2016
27525523,2016
27500726,2016
27500725,2016
27500724,2016
27490437,2016
27490436,2016
27490435,2016
27490434,2016
27479085,2016
27479084,2016
27455511,2016
27455510,2016
27428901,2016
27428900,2016
27428899,2016
27400265,2016
27400264,2016
27387886,2016
27387885,2016
27387884,2016
27387883,2016
27387882,2016
27387881,2016
27376579,2016
27376578,2016
27376577,2016
27376576,2016
27376575,2016
27376574,2016
27348499,2016
27322744,2016
27322743,2016
27294876,2016
27294875,2016
27294874,2016
27270781,2016
27270780,2016
27270779,2016
27270778,2016
27270777,2016
27270776,2016
27270775,2016
27270774,2016
27270771,2016
27270589,2016
27270588,2016
27270587,2016
27239761,2016
27239760,2016
27213817,2016
27213816,2016
27213815,2016
27183217,2016
27183216,2016
27158906,2016
27158905,2016
27158904,2016
27149220,2016
27149219,2016
27149218,2016
27149217,2016
27149216,2016
27149215,2016
27149214,2016
27149213,2016
27149212,2016
27149211,2016
27135741,2016
27135740,2016
27135739,2016
27135738,2016
27111282,2016
27111281,2016
27111280,2016
27089515,2016
27089514,2016
27089513,2016
27064449,2016
27064448,2016
27064447,2016
27050589,2016
27050588,2016
27050587,2016
27050586,2016
27050585,2016
27043495,2016
27043494,2016
27019329,2016
27019328,2016
27019327,2016
26998835,2016
26998834,2016
26974310,2016
26974309,2016
26974308,2016
26950362,2016
26950361,2016
26950360,2016
26937618,2016
26937617,2016
26937616,2016
26937615,2016
26937614,2016
26928464,2016
26928463,2016
26901407,2016
26878233,2016
26878232,2016
26855150,2016
26855149,2016
26855148,2016
26845405,2016
26845404,2016
26845403,2016
26828196,2016
26828195,2016
26828194,2016
26808348,2016
26808347,2016
26808346,2016
26779815,2016
26779814,2016
26779813,2016
26779812,2016
26779811,2016
26752519,2016
26752518,2016
26752517,2016
26735408,2016
26735407,2016
26735406,2016
26735405,2016
26735404,2016
26726878,2016
26726877,2016
26692334,2016
26692333,2016
26692332,2016
26657143,2016
26657142,2016
26657141,2016
26642438,2016
26642437,2016
26618723,2016
26618722,2016
