pmid,year
20037579,2009
20037578,2009
20037577,2009
20037576,2009
20037575,2009
20037574,2009
20023656,2009
20023655,2009
20023654,2009
20023653,2009
20023652,2009
20023651,2009
20023650,2009
20010824,2009
20010823,2009
20010822,2009
20010821,2009
20010820,2009
20010819,2009
20010818,2009
19966842,2009
19966841,2009
19966840,2009
19966839,2009
19966838,2009
19966837,2009
19946319,2009
19946318,2009
19935655,2009
19935654,2009
19935653,2009
19915567,2009
19915566,2009
19915565,2009
19915564,2009
19915563,2009
19915562,2009
19904261,2009
19898470,2009
19898469,2009
19898468,2009
19898467,2009
19881506,2009
19881505,2009
19881504,2009
19881503,2009
19881502,2009
19855390,2009
19855389,2009
19838180,2009
19838179,2009
19838178,2009
19838177,2009
19820707,2009
19820706,2009
19820705,2009
19820704,2009
19801989,2009
19801988,2009
19801987,2009
19801986,2009
19783994,2009
19783993,2009
19783992,2009
19783979,2009
19783978,2009
19783977,2009
19783976,2009
19783975,2009
19767747,2009
19759538,2009
19749751,2009
19749750,2009
19749749,2009
19749748,2009
19749747,2009
19734897,2009
19734896,2009
19734895,2009
19734894,2009
19734893,2009
19734892,2009
19734891,2009
19718036,2009
19718035,2009
19718034,2009
19701198,2009
19701197,2009
19684593,2009
19684592,2009
19684591,2009
19684590,2009
19684589,2009
19684588,2009
19668201,2009
19668200,2009
19668199,2009
19668198,2009
19657336,2009
19648915,2009
19648914,2009
19648913,2009
19648912,2009
19648911,2009
19633667,2009
19633666,2009
19633665,2009
19620978,2009
19620977,2009
19620976,2009
19620975,2009
19597495,2009
19597494,2009
19578382,2009
19578381,2009
19578380,2009
19578379,2009
19561603,2009
19561602,2009
19561601,2009
19543281,2009
19543280,2009
19525946,2009
19525945,2009
19525944,2009
19525943,2009
19525942,2009
19525941,2009
19503087,2009
19503086,2009
19503085,2009
19503084,2009
19503083,2009
19503082,2009
19483689,2009
19483688,2009
19483687,2009
19483686,2009
19471271,2009
19471270,2009
19471269,2009
19471268,2009
19471267,2009
19471266,2009
19471265,2009
19471264,2009
19448629,2009
19448628,2009
19430474,2009
19430473,2009
19430472,2009
19430471,2009
19430470,2009
19430469,2009
19412168,2009
19412167,2009
19412166,2009
19412165,2009
19396166,2009
19396165,2009
19377473,2009
19377472,2009
19377471,2009
19377470,2009
19363492,2009
19363491,2009
19363490,2009
19363489,2009
19349977,2009
19349976,2009
19349975,2009
19349974,2009
19330004,2009
19330003,2009
19330002,2009
19330001,2009
19322241,2009
19305402,2009
19305401,2009
19305400,2009
19287390,2009
19287389,2009
19287388,2009
19287387,2009
19287386,2009
19270690,2009
19270689,2009
19270688,2009
19270687,2009
19270686,2009
19252498,2009
19252497,2009
19252496,2009
19252495,2009
19252494,2009
19234459,2009
19234458,2009
19234457,2009
19234456,2009
19234455,2009
19219040,2009
19219039,2009
19219038,2009
19219037,2009
19198607,2009
19198606,2009
19198605,2009
19198604,2009
19198603,2009
19182796,2009
19182795,2009
19182794,2009
19172166,2009
19172165,2009
19172164,2009
19172163,2009
19172162,2009
19172161,2009
19169252,2009
19169251,2009
19169250,2009
19169249,2009
19151712,2009
19151711,2009
19151710,2009
19151709,2009
19136974,2009
19136973,2009
19136972,2009
19136971,2009
19136970,2009
19136969,2009
19122666,2009
19122665,2009
19098905,2009
19098904,2009
19079251,2009
19079250,2009
19079249,2009
19060896,2009
19060895,2009
19043410,2009
19043409,2009
19029890,2009
19029889,2009
19029888,2009
19029887,2009
19029886,2009
19029885,2009
