pmid,year
26692334,2015
26692333,2015
26692332,2015
26691988,2015
26691987,2015
26691986,2015
26691985,2015
26691984,2015
26689789,2015
26689788,2015
26689677,2015
26689676,2015
26689544,2015
26689543,2015
26657143,2015
26657142,2015
26657141,2015
26656847,2015
26656846,2015
26656845,2015
26656844,2015
26656091,2015
26656090,2015
26656089,2015
26656088,2015
26655835,2015
26655834,2015
26655833,2015
26655498,2015
26655497,2015
26655496,2015
26655495,2015
26650011,2015
26650010,2015
26650009,2015
26650008,2015
26650007,2015
26650006,2015
26650005,2015
26650004,2015
26650003,2015
26650002,2015
26650001,2015
26650000,2015
26649999,2015
26649998,2015
26646499,2015
26646498,2015
26646497,2015
26646496,2015
26646494,2015
26646493,2015
26646492,2015
26642438,2015
26642437,2015
26642243,2015
26642242,2015
26642241,2015
26642240,2015
26641934,2015
26641933,2015
26641932,2015
26641931,2015
26641719,2015
26641718,2015
26641717,2015
26641716,2015
26641715,2015
26641532,2015
26641531,2015
26620112,2015
26620111,2015
26620110,2015
26620109,2015
26620108,2015
26619250,2015
26619249,2015
26619149,2015
26619148,2015
26619147,2015
26619012,2015
26619011,2015
26618723,2015
26618722,2015
26618344,2015
26618343,2015
26612574,2015
26612573,2015
26612572,2015
26595770,2015
26595769,2015
26595768,2015
26595462,2015
26595461,2015
26595384,2015
26595383,2015
26595382,2015
26595381,2015
26594844,2015
26594843,2015
26575241,2015
26575240,2015
26575239,2015
26575238,2015
26575237,2015
26575236,2015
26575228,2015
26575227,2015
26575226,2015
26575225,2015
26571352,2015
26571351,2015
26571212,2015
26571211,2015
26571101,2015
26571100,2015
26571099,2015
26571098,2015
26569382,2015
26569381,2015
26569380,2015
26569126,2015
26569125,2015
26569124,2015
26569123,2015
26565989,2015
26552009,2015
26552008,2015
26551672,2015
26551671,2015
26551670,2015
26551669,2015
26551668,2015
26551667,2015
26551396,2015
26551395,2015
26551274,2015
26551273,2015
26551060,2015
26551059,2015
26544148,2015
26544146,2015
26544145,2015
26544144,2015
26544143,2015
26544141,2015
26544138,2015
26544136,2015
26544135,2015
26540387,2015
26540386,2015
26540385,2015
26540384,2015
26540383,2015
26524662,2015
26524661,2015
26523972,2015
26523971,2015
26523970,2015
26523969,2015
26523777,2015
26523776,2015
26523775,2015
26523774,2015
26523365,2015
26523364,2015
26515018,2015
26515017,2015
26506901,2015
26506900,2015
26506899,2015
26502339,2015
26502338,2015
26502337,2015
26502156,2015
26502155,2015
26502057,2015
26502056,2015
26502055,2015
26502054,2015
26501955,2015
26501954,2015
26501953,2015
26501952,2015
26501951,2015
26501192,2015
26501191,2015
26485071,2015
26485070,2015
26485069,2015
26482881,2015
26482880,2015
26482879,2015
26482878,2015
26479925,2015
26479924,2015
26479923,2015
26479922,2015
26479921,2015
26479442,2015
26479441,2015
26479439,2015
26479438,2015
26479320,2015
26479319,2015
26479318,2015
26479317,2015
26479191,2015
26473199,2015
26458247,2015
26458246,2015
26458245,2015
26458176,2015
26458175,2015
26457759,2015
26457758,2015
26457757,2015
26457756,2015
26457648,2015
26457647,2015
26457646,2015
26457372,2015
26448094,2015
26448090,2015
26448088,2015
26448087,2015
26448086,2015
26448084,2015
26448079,2015
26444637,2015
26444636,2015
26444635,2015
26444634,2015
26444633,2015
26444628,2015
26444624,2015
26437366,2015
26437365,2015
26437033,2015
26437032,2015
26437031,2015
26437030,2015
26437029,2015
26437028,2015
26436840,2015
26436839,2015
26436690,2015
26436575,2015
26419800,2015
26414678,2015
26414677,2015
26414676,2015
26414446,2015
26414444,2015
26414404,2015
26414403,2015
26414402,2015
26414351,2015
26414350,2015
26413781,2015
26413780,2015
26398868,2015
26390244,2015
26390243,2015
26390242,2015
26390241,2015
26390058,2015
26390057,2015
26389737,2015
26389736,2015
26389665,2015
26389664,2015
26389663,2015
26389662,2015
26389576,2015
26389575,2015
26379024,2015
26379023,2015
26379022,2015
26379021,2015
26379014,2015
26379013,2015
26379012,2015
26372948,2015
26368590,2015
26368589,2015
26368311,2015
26368050,2015
26368049,2015
26368048,2015
26366712,2015
26366711,2015
26366710,2015
26366554,2015
26366553,2015
26366552,2015
26366551,2015
26352647,2015
26349903,2015
26349902,2015
26348966,2015
26348965,2015
26348963,2015
26348962,2015
26348961,2015
26348959,2015
26348958,2015
26348957,2015
26348956,2015
26348955,2015
26348954,2015
26348953,2015
26348952,2015
26348951,2015
26348950,2015
26348949,2015
26348948,2015
26348946,2015
26348945,2015
26348944,2015
26348943,2015
26348942,2015
26348941,2015
26348940,2015
26348939,2015
26344696,2015
26344695,2015
26344567,2015
26344566,2015
26344404,2015
26343801,2015
26343800,2015
26343388,2015
26343387,2015
26343386,2015
26343385,2015
26343384,2015
26340119,2015
