pmid,year
29273807,2017
29273806,2017
29269951,2017
29255264,2017
29255263,2017
29255262,2017
29255261,2017
29255260,2017
29255259,2017
29255258,2017
29255257,2017
29255173,2017
29255172,2017
29255171,2017
29255170,2017
29251731,2017
29251730,2017
29251729,2017
29251728,2017
29251727,2017
29251726,2017
29251720,2017
29251719,2017
29251718,2017
29232364,2017
29232363,2017
29232362,2017
29232361,2017
29232360,2017
29232359,2017
29230018,2017
29230017,2017
29230016,2017
29230015,2017
29229984,2017
29229983,2017
29227477,2017
29227476,2017
29227475,2017
29227474,2017
29227473,2017
29227472,2017
29227471,2017
29227470,2017
29227469,2017
29227468,2017
29220038,2017
29220037,2017
29220036,2017
29220035,2017
29220034,2017
29220033,2017
29220032,2017
29220031,2017
29220029,2017
29220028,2017
29220027,2017
29220026,2017
29220025,2017
29220024,2017
29220023,2017
29220022,2017
29220020,2017
29220019,2017
29220018,2017
29220017,2017
29220016,2017
29220015,2017
29220013,2017
29216045,2017
29216044,2017
29216041,2017
29216040,2017
29216039,2017
29216038,2017
29216037,2017
29216033,2017
29203910,2017
29203909,2017
29203884,2017
29203883,2017
29200207,2017
29200206,2017
29200205,2017
29200204,2017
29186130,2017
29186128,2017
29186127,2017
29184180,2017
29184179,2017
29184177,2017
29184176,2017
29184175,2017
29184174,2017
29184173,2017
29184172,2017
29180822,2017
29180699,2017
29176737,2017
29176672,2017
29176671,2017
29176614,2017
29176613,2017
29161251,2017
29161250,2017
29161249,2017
29161248,2017
29161246,2017
29161245,2017
29155430,2017
29155429,2017
29155428,2017
29131160,2017
29131159,2017
29131158,2017
29131157,2017
29131149,2017
29131148,2017
29131147,2017
29131146,2017
29131145,2017
29131144,2017
29131143,2017
29131140,2017
29121031,2017
29121029,2017
29121028,2017
29121027,2017
29121025,2017
29121024,2017
29121023,2017
29121022,2017
29121021,2017
29121020,2017
29121019,2017
29121018,2017
29121017,2017
29121016,2017
29121015,2017
29121014,2017
29121013,2017
29121012,2017
29121011,2017
29121010,2017
29121009,2017
29121007,2017
29117177,2017
29117176,2017
29117175,2017
29117170,2017
29117167,2017
29106418,2017
29106417,2017
29106416,2017
29106415,2017
29106410,2017
29106409,2017
29106408,2017
29106407,2017
29106406,2017
29106402,2017
29106401,2017
29106400,2017
29106399,2017
29106398,2017
29106397,2017
29106396,2017
29087386,2017
29087385,2017
29087384,2017
29087383,2017
29084199,2017
29084198,2017
29084197,2017
29083419,2017
29083418,2017
29083417,2017
29083409,2017
29083408,2017
29083407,2017
29083406,2017
29083405,2017
29083404,2017
29074950,2017
29074949,2017
29074948,2017
29074947,2017
29074945,2017
29074944,2017
29058725,2017
29058724,2017
29058723,2017
29058721,2017
29058720,2017
29058719,2017
29058718,2017
29058717,2017
29058716,2017
29058715,2017
29058714,2017
29045383,2017
29045382,2017
29045381,2017
29045380,2017
29045379,2017
29045378,2017
29038596,2017
29038595,2017
29035374,2017
29035373,2017
29035372,2017
29035371,2017
29035370,2017
29035369,2017
29035368,2017
29035367,2017
29035366,2017
29035365,2017
29035364,2017
29035363,2017
29035362,2017
29035361,2017
29035360,2017
29035359,2017
29020007,2017
29020006,2017
29020005,2017
29020004,2017
29020003,2017
29020002,2017
29020001,2017
29020000,2017
29019999,2017
29019997,2017
29019996,2017
29019995,2017
29019992,2017
29019991,2017
29019990,2017
29019989,2017
29019988,2017
29019975,2017
28991269,2017
28991268,2017
28991257,2017
28991256,2017
28991255,2017
28991254,2017
28991240,2017
28991239,2017
28991238,2017
28991221,2017
28985214,2017
28985213,2017
28985212,2017
28985210,2017
28985209,2017
28985207,2017
28985206,2017
28985205,2017
28985204,2017
28967923,2017
28967922,2017
28967921,2017
28967920,2017
28967919,2017
28967912,2017
28967887,2017
28967886,2017
28967885,2017
28960204,2017
28960203,2017
28960202,2017
28960200,2017
28960199,2017
28951628,2017
28951627,2017
28951626,2017
28951625,2017
28951624,2017
28951623,2017
28951622,2017
28951621,2017
28945253,2017
28945252,2017
28945251,2017
28945250,2017
28945235,2017
28945234,2017
28945233,2017
28945232,2017
28945231,2017
28945230,2017
28926558,2017
28926556,2017
28926555,2017
28926554,2017
28926553,2017
28926552,2017
28926550,2017
28926549,2017
28922347,2017
28922346,2017
28920961,2017
28920960,2017
28920959,2017
28920958,2017
28920957,2017
28920956,2017
28920955,2017
28920954,2017
28920953,2017
28920952,2017
28920931,2017
28920930,2017
28898230,2017
28898229,2017
28898228,2017
28898227,2017
28898226,2017
28898225,2017
28898223,2017
28898222,2017
28898221,2017
28898220,2017
28898219,2017
28898218,2017
28898216,2017
28898215,2017
28898214,2017
28898213,2017
28898212,2017
28898210,2017
28898209,2017
28898208,2017
28898207,2017
28898206,2017
28898205,2017
28892091,2017
28892090,2017
28892082,2017
28892081,2017
28892080,2017
28892079,2017
28892078,2017
28892077,2017
28892076,2017
28892075,2017
28892074,2017
28892065,2017
28892064,2017
28892063,2017
28892062,2017
28892061,2017
28892060,2017
28892059,2017
28886007,2017
28886006,2017
28886005,2017
28886004,2017
28886003,2017
28886002,2017
28886001,2017
28886000,2017
28869611,2017
28869610,2017
28869595,2017
28869594,2017
28869592,2017
28869591,2017
28869590,2017
28855734,2017
28855732,2017
28855731,2017
28855730,2017
28855729,2017
28854180,2017
28854179,2017
28854177,2017
28854176,2017
28854175,2017
28853740,2017
28853739,2017
28853738,2017
28853737,2017
28853736,2017
28853735,2017
28853734,2017
28853733,2017
28853731,2017
28853730,2017
28846668,2017
28846667,2017
28846101,2017
28846100,2017
28846099,2017
28846098,2017
28846097,2017
28846096,2017
28846095,2017
28846094,2017
28846093,2017
28829439,2017
28829438,2017
28829437,2017
28825729,2017
28825728,2017
28825727,2017
28825726,2017
28825717,2017
28825716,2017
28825715,2017
28825711,2017
28825710,2017
28825700,2017
28825699,2017
28825698,2017
28825697,2017
28820879,2017
28820878,2017
28820877,2017
28820876,2017
28820875,2017
28820874,2017
28820873,2017
28820872,2017
28812582,2017
28812581,2017
28812580,2017
28805829,2017
28805828,2017
28805827,2017
28805822,2017
28805821,2017
28805820,2017
28805804,2017
28805803,2017
28805802,2017
28805801,2017
28805800,2017
28805799,2017
28787428,2017
28787427,2017
28787426,2017
28787425,2017
28787424,2017
28787423,2017
28787422,2017
28787421,2017
28787419,2017
28787418,2017
28787417,2017
28787416,2017
28787415,2017
28787414,2017
28787413,2017
28787412,2017
28787411,2017
28787410,2017
28787409,2017
28787408,2017
28787407,2017
28787406,2017
28787405,2017
28787404,2017
28787403,2017
28787402,2017
28783165,2017
28783164,2017
28783163,2017
28783162,2017
28777794,2017
28777793,2017
28777791,2017
28777790,2017
28777789,2017
28777788,2017
28777787,2017
28777786,2017
28777785,2017
28777784,2017
28759053,2017
28759052,2017
28759051,2017
28759028,2017
28759020,2017
28759019,2017
28759018,2017
28759017,2017
28759016,2017
28759015,2017
28759014,2017
28759005,2017
28759004,2017
28752854,2017
28752853,2017
28752852,2017
28752851,2017
28752848,2017
28747755,2017
28747754,2017
28747753,2017
28747752,2017
28747751,2017
28747750,2017
28747749,2017
28740264,2017
28740263,2017
28740262,2017
28737772,2017
28737771,2017
28737770,2017
28737769,2017
28737768,2017
28719589,2017
28719588,2017
28714991,2017
28714990,2017
28714989,2017
28714988,2017
28714977,2017
28714976,2017
28714975,2017
28714974,2017
28714972,2017
28714971,2017
28714970,2017
28714969,2017
28714968,2017
28714966,2017
28714965,2017
28700562,2017
28700561,2017
28700560,2017
28700558,2017
28700557,2017
28700556,2017
28700555,2017
28700554,2017
28700553,2017
28700552,2017
28700551,2017
28700550,2017
28700549,2017
28700548,2017
28700547,2017
28700545,2017
28700544,2017
28700542,2017
28700541,2017
28697185,2017
28697184,2017
28697183,2017
28697179,2017
28692069,2017
28692068,2017
28692067,2017
28692066,2017
28692064,2017
28692063,2017
28671689,2017
28671688,2017
28671687,2017
28671686,2017
28671685,2017
28671684,2017
28671683,2017
28671682,2017
28671681,2017
28671680,2017
28671679,2017
28671678,2017
28671662,2017
28659642,2017
28659641,2017
28659638,2017
28659637,2017
28656984,2017
28656983,2017
28656981,2017
28650485,2017
28650484,2017
28650483,2017
28650482,2017
28650479,2017
28650462,2017
28650461,2017
28650460,2017
28650457,2017
28650456,2017
28632709,2017
28632708,2017
28632707,2017
28632706,2017
28632705,2017
28632704,2017
28628130,2017
28628112,2017
28628111,2017
28628110,2017
28628109,2017
28628108,2017
28628107,2017
28628106,2017
28628105,2017
28628097,2017
28628096,2017
28628095,2017
28628094,2017
28628093,2017
28628085,2017
28628084,2017
28628083,2017
28628082,2017
28628081,2017
28604732,2017
28604731,2017
28604730,2017
28604729,2017
28604728,2017
28604704,2017
28604703,2017
28604702,2017
28604701,2017
28604697,2017
28604696,2017
28604695,2017
28604694,2017
28604693,2017
28604692,2017
28604678,2017
28604677,2017
28604676,2017
28604661,2017
28604660,2017
28604659,2017
28591127,2017
28591126,2017
28591125,2017
28591123,2017
28591121,2017
28591119,2017
28591116,2017
28591113,2017
28591112,2017
28591110,2017
28586342,2017
28586341,2017
28586340,2017
28586339,2017
28586338,2017
28586337,2017
28586336,2017
28586335,2017
28586333,2017
28581503,2017
28581502,2017
28581501,2017
28581500,2017
28581499,2017
28581492,2017
28581491,2017
28581485,2017
28581484,2017
28581483,2017
28581482,2017
28581477,2017
28581476,2017
28562594,2017
28561060,2017
28561059,2017
28561058,2017
28561057,2017
28561056,2017
28561054,2017
28561053,2017
28561052,2017
28561051,2017
28561050,2017
28561048,2017
28561047,2017
28553959,2017
28553958,2017
28553957,2017
28553949,2017
28553948,2017
28553947,2017
28553946,2017
28553945,2017
28553942,2017
28553941,2017
28553940,2017
28553939,2017
28553938,2017
28553937,2017
28553933,2017
28553932,2017
28546579,2017
28546578,2017
28546577,2017
28546576,2017
28546575,2017
28546574,2017
28546573,2017
28546572,2017
28546571,2017
28546570,2017
28546569,2017
28530711,2017
28530710,2017
28530709,2017
28530708,2017
28530678,2017
28530677,2017
28530676,2017
28530675,2017
28530674,2017
28530673,2017
28530660,2017
28530659,2017
28530658,2017
28530657,2017
28514432,2017
28514430,2017
28514429,2017
28514428,2017
28514427,2017
28514425,2017
28514424,2017
28514422,2017
28514421,2017
28514419,2017
28514418,2017
28504725,2017
28504724,2017
28504723,2017
28504708,2017
28504707,2017
28504706,2017
28504705,2017
28504703,2017
28504702,2017
28504701,2017
28504700,2017
28504678,2017
28504677,2017
28504676,2017
28504668,2017
28504667,2017
28486470,2017
28486468,2017
28486467,2017
28486466,2017
28486458,2017
28486457,2017
28486454,2017
28486453,2017
28486452,2017
28486451,2017
28486449,2017
28486448,2017
28486447,2017
28486445,2017
28486444,2017
28481360,2017
28481359,2017
28481358,2017
28481357,2017
28481347,2017
28481346,2017
28481345,2017
28481342,2017
28481341,2017
28481340,2017
28481328,2017
28475572,2017
28475571,2017
28475569,2017
28475568,2017
28475567,2017
28459457,2017
28459456,2017
28459455,2017
28459454,2017
28459453,2017
28459452,2017
28459451,2017
28459450,2017
28459449,2017
28459448,2017
28459443,2017
28459440,2017
28459439,2017
28459438,2017
28459437,2017
28459436,2017
28446818,2017
28446817,2017
28446816,2017
28446815,2017
28446813,2017
28437396,2017
28437395,2017
28437394,2017
28437393,2017
28436987,2017
28436986,2017
28436985,2017
28436984,2017
28436983,2017
28436968,2017
28436967,2017
28436966,2017
28436965,2017
28436964,2017
28436958,2017
28436957,2017
28422952,2017
28416822,2017
28416821,2017
28416820,2017
28416819,2017
28416818,2017
28414711,2017
28414710,2017
28414330,2017
28414329,2017
28414328,2017
28414315,2017
28414314,2017
28414313,2017
28414312,2017
28406893,2017
28406890,2017
28406888,2017
28398345,2017
28398344,2017
28398333,2017
28398332,2017
28398328,2017
28398327,2017
28398325,2017
28398323,2017
28398322,2017
28398320,2017
28398317,2017
28398316,2017
28398315,2017
28398313,2017
28398312,2017
28398309,2017
28398308,2017
28398306,2017
28398305,2017
28398287,2017
28394885,2017
28394884,2017
28394883,2017
28394353,2017
28394352,2017
28394351,2017
28394350,2017
28394349,2017
28394333,2017
28394332,2017
28394331,2017
28394330,2017
28394329,2017
28394328,2017
28388614,2017
28388613,2017
28388610,2017
28388609,2017
28388606,2017
28388605,2017
28388604,2017
28388603,2017
28369041,2017
28369040,2017
28369039,2017
28369038,2017
28369037,2017
28369036,2017
28369035,2017
28369034,2017
28369033,2017
28368383,2017
28368372,2017
28368371,2017
28361943,2017
28361942,2017
