pmid,year
19109919,2008
19109918,2008
19109917,2008
19109916,2008
19109915,2008
19109914,2008
19109913,2008
19109912,2008
19109911,2008
19109910,2008
19109909,2008
19109908,2008
19109907,2008
19109906,2008
19109905,2008
19109904,2008
19109903,2008
19109902,2008
19109901,2008
19109900,2008
19081385,2008
19081384,2008
19081382,2008
19081381,2008
19081380,2008
19081379,2008
19081378,2008
19081377,2008
19081376,2008
19081375,2008
19081374,2008
19081373,2008
19081372,2008
19081369,2008
19081368,2008
19081367,2008
19081366,2008
19081365,2008
19038227,2008
19038226,2008
19038225,2008
19038224,2008
19038223,2008
19038222,2008
19038221,2008
19038220,2008
19038219,2008
19038218,2008
19038217,2008
19038216,2008
19038215,2008
19038214,2008
19038213,2008
19038212,2008
19038211,2008
19038210,2008
19038209,2008
19038208,2008
18995827,2008
18995826,2008
18995825,2008
18995824,2008
18995823,2008
18995822,2008
18995821,2008
18995820,2008
18995819,2008
18995818,2008
18995817,2008
18995816,2008
18995815,2008
18995814,2008
18995813,2008
18995812,2008
18995811,2008
18995810,2008
18995809,2008
18995808,2008
18995807,2008
18995806,2008
18995805,2008
18957228,2008
18957227,2008
18957226,2008
18957225,2008
18957224,2008
18957223,2008
18957222,2008
18957221,2008
18957220,2008
18957219,2008
18957218,2008
18957217,2008
18957216,2008
18957215,2008
18957214,2008
18957213,2008
18957212,2008
18957211,2008
18957210,2008
18940597,2008
18940596,2008
18940595,2008
18940594,2008
18940593,2008
18940592,2008
18940591,2008
18940590,2008
18940589,2008
18940588,2008
18940587,2008
18940586,2008
18940585,2008
18940584,2008
18940583,2008
18940582,2008
18940581,2008
18817740,2008
18817739,2008
18817738,2008
18817737,2008
18817736,2008
18817735,2008
18817734,2008
18817733,2008
18817732,2008
18817731,2008
18817730,2008
18817729,2008
18817728,2008
18817727,2008
18817726,2008
18817725,2008
18817724,2008
18817723,2008
18786365,2008
18786364,2008
18786363,2008
18786362,2008
18786361,2008
18786360,2008
18786359,2008
18786358,2008
18786357,2008
18786356,2008
18786355,2008
18786354,2008
18786353,2008
18786352,2008
18786351,2008
18786350,2008
18760701,2008
18760700,2008
18760699,2008
18760698,2008
18760697,2008
18760696,2008
18760695,2008
18760694,2008
18760693,2008
18760692,2008
18760691,2008
18760690,2008
18760689,2008
18760688,2008
18760687,2008
18701075,2008
18701074,2008
18701073,2008
18701072,2008
18701071,2008
18701070,2008
18701069,2008
18701068,2008
18701067,2008
18701066,2008
18701065,2008
18701064,2008
18701063,2008
18701062,2008
18701061,2008
18701060,2008
18701059,2008
18667160,2008
18667159,2008
18667158,2008
18667157,2008
18667156,2008
18667155,2008
18667154,2008
18667153,2008
18667152,2008
18667151,2008
18667150,2008
18667149,2008
18667148,2008
18667147,2008
18667146,2008
18667145,2008
18667144,2008
18614038,2008
18614037,2008
18614036,2008
18614035,2008
18614034,2008
18614033,2008
18614032,2008
18614031,2008
18614030,2008
18614029,2008
18614028,2008
18614027,2008
18614026,2008
18614025,2008
18614024,2008
18614023,2008
18614022,2008
18579085,2008
18579084,2008
18579083,2008
18579082,2008
18579081,2008
18579080,2008
18579079,2008
18579078,2008
18579077,2008
18579076,2008
18579075,2008
18579074,2008
18579073,2008
18579072,2008
18579071,2008
18549791,2008
18549790,2008
18549789,2008
18549788,2008
18549787,2008
18549786,2008
18549785,2008
18549784,2008
18549783,2008
18549782,2008
18549781,2008
18549780,2008
18549779,2008
18549778,2008
18549777,2008
18549776,2008
18549775,2008
18498742,2008
18498741,2008
18498740,2008
18498739,2008
18498738,2008
18498737,2008
18498736,2008
18498735,2008
18498734,2008
18498733,2008
18498732,2008
18498731,2008
18498730,2008
18498729,2008
18498728,2008
18466754,2008
18466753,2008
18466752,2008
18466751,2008
18466750,2008
18466749,2008
18466748,2008
18466747,2008
18466746,2008
18466745,2008
18466744,2008
18466743,2008
18466742,2008
18466741,2008
18466740,2008
18466739,2008
18466738,2008
18439412,2008
18439411,2008
18439410,2008
18439409,2008
18439408,2008
18439407,2008
18439406,2008
18439405,2008
18439404,2008
18439403,2008
18439402,2008
18439401,2008
18439400,2008
18439399,2008
18439398,2008
18400170,2008
18400169,2008
18400168,2008
18400167,2008
18400166,2008
18400165,2008
18400164,2008
18400163,2008
18400162,2008
18400161,2008
18400160,2008
18400159,2008
18400158,2008
18400157,2008
18400156,2008
18400155,2008
18400154,2008
18367093,2008
18367092,2008
18367091,2008
18367090,2008
18367089,2008
18367088,2008
18367087,2008
18367086,2008
18367085,2008
18367084,2008
18367083,2008
18367082,2008
18367081,2008
18367080,2008
18367079,2008
18367078,2008
18341997,2008
18341996,2008
18341995,2008
18341994,2008
18341993,2008
18341992,2008
18341991,2008
18341990,2008
18341989,2008
18341988,2008
18341987,2008
18341986,2008
18341985,2008
18341984,2008
18341983,2008
18341982,2008
18304489,2008
18304488,2008
18304487,2008
18304486,2008
18304485,2008
18304484,2008
18304483,2008
18304482,2008
18304481,2008
18304480,2008
18304479,2008
18304478,2008
18304477,2008
18304476,2008
18274004,2008
18255038,2008
18255037,2008
18255036,2008
18255035,2008
18255034,2008
18255033,2008
18255032,2008
18255031,2008
18255030,2008
18255029,2008
18255028,2008
18255027,2008
18255026,2008
18255025,2008
18255024,2008
18215627,2008
18215626,2008
18215625,2008
18215624,2008
18215623,2008
18215622,2008
18215621,2008
18215620,2008
18215619,2008
18215617,2008
18215616,2008
18215615,2008
18215614,2008
18184572,2008
18184571,2008
18184570,2008
18184569,2008
18184568,2008
18184567,2008
18184566,2008
18184565,2008
18184564,2008
18184563,2008
18184562,2008
18184561,2008
18184560,2008
18184559,2008
18184558,2008
18184557,2008
