pmid,year
18084330,2007
18084329,2007
18084328,2007
18084327,2007
18084326,2007
18084325,2007
18084324,2007
18084323,2007
18084322,2007
18084321,2007
18084320,2007
18071320,2007
18071319,2007
18071318,2007
18071317,2007
18071316,2007
18071315,2007
18071314,2007
18071313,2007
18071312,2007
18071311,2007
18071310,2007
18071309,2007
18071308,2007
18071307,2007
18071306,2007
18071305,2007
18071304,2007
18066095,2007
18066094,2007
18066093,2007
18066092,2007
18066091,2007
18066090,2007
18066089,2007
18066088,2007
18066087,2007
18066086,2007
18066085,2007
18066084,2007
18066083,2007
18059344,2007
18059343,2007
18059342,2007
18059341,2007
18059340,2007
18059339,2007
18059338,2007
18059337,2007
18059336,2007
18059335,2007
18059334,2007
18059333,2007
18059332,2007
18059331,2007
18037967,2007
18037966,2007
18037965,2007
18037964,2007
18037963,2007
18037962,2007
18037961,2007
18037960,2007
18037959,2007
18037958,2007
18037957,2007
18037956,2007
18026141,2007
18026140,2007
18026139,2007
18026138,2007
18026137,2007
18026136,2007
18026135,2007
18026134,2007
18026133,2007
18026132,2007
17998943,2007
17998942,2007
17998941,2007
17998940,2007
17998939,2007
17998938,2007
17998937,2007
17998936,2007
17998935,2007
17998934,2007
17998933,2007
17998932,2007
17982491,2007
17982490,2007
17982489,2007
17982488,2007
17982487,2007
17982486,2007
17982485,2007
17982484,2007
17982483,2007
17968325,2007
17968324,2007
17968323,2007
17968322,2007
17968321,2007
17968320,2007
17968319,2007
17968318,2007
17968317,2007
17968316,2007
17968315,2007
17968314,2007
17968313,2007
17968312,2007
17968311,2007
17968310,2007
17968309,2007
17952127,2007
17952126,2007
17952125,2007
17952124,2007
17952123,2007
17952122,2007
17952121,2007
17952120,2007
17952119,2007
17952118,2007
17952117,2007
17952116,2007
17952115,2007
17952114,2007
17952113,2007
17952112,2007
17934525,2007
17934524,2007
17934523,2007
17934522,2007
17934521,2007
17934520,2007
17934519,2007
17934518,2007
17934517,2007
17934516,2007
17934490,2007
17934489,2007
17934488,2007
17934487,2007
17934486,2007
17934485,2007
17934484,2007
17934483,2007
17934482,2007
17934481,2007
17934480,2007
17934479,2007
17934478,2007
17934477,2007
17922036,2007
17922035,2007
17922034,2007
17922033,2007
17922032,2007
17922031,2007
17922030,2007
17922029,2007
17922028,2007
17922027,2007
17906700,2007
17906699,2007
17906698,2007
17906697,2007
17906696,2007
17906695,2007
17906694,2007
17906693,2007
17906692,2007
17906691,2007
17906690,2007
17891185,2007
17891184,2007
17891183,2007
17891182,2007
17891181,2007
17891180,2007
17891179,2007
17891178,2007
17891177,2007
17891176,2007
17891175,2007
17891174,2007
17891173,2007
17891172,2007
17891171,2007
17891170,2007
17891169,2007
17873913,2007
17873912,2007
17873911,2007
17873910,2007
17873909,2007
17873908,2007
17873907,2007
17873906,2007
17873905,2007
17873904,2007
17873903,2007
17873902,2007
17873901,2007
17828309,2007
17828308,2007
17828307,2007
17828306,2007
17828305,2007
17828304,2007
17828303,2007
17828302,2007
17828301,2007
17828300,2007
17828299,2007
17828298,2007
17828297,2007
17828296,2007
17828295,2007
17767197,2007
17767196,2007
17724478,2007
17724477,2007
17724476,2007
17724475,2007
17724474,2007
17724473,2007
17724472,2007
17724471,2007
17724470,2007
17724469,2007
17724468,2007
17724467,2007
17724466,2007
17724465,2007
17724464,2007
17724463,2007
17724462,2007
17724461,2007
17724460,2007
17704809,2007
17704808,2007
17704807,2007
17704806,2007
17704805,2007
17704804,2007
17704803,2007
17704802,2007
17704801,2007
17704800,2007
17704799,2007
17704798,2007
17700539,2007
17700538,2007
17700537,2007
17700536,2007
17700535,2007
17700534,2007
17700533,2007
17700532,2007
17700531,2007
17700530,2007
17700529,2007
17700528,2007
17700527,2007
17700526,2007
17700525,2007
17700524,2007
17700523,2007
17700522,2007
17700521,2007
17700520,2007
17700519,2007
17700518,2007
17700517,2007
17694093,2007
17694092,2007
17694091,2007
17694090,2007
17694089,2007
17694088,2007
17694087,2007
17694086,2007
17694085,2007
17694084,2007
