pmid,year
29601611,2018
29601610,2018
29601609,2018
29601608,2018
29601607,2018
29601606,2018
29601605,2018
29601604,2018
29601602,2018
29601601,2018
29601600,2018
29601599,2018
29601597,2018
29601596,2018
29601595,2018
29601594,2018
29601593,2018
29601592,2018
29601590,2018
29601589,2018
29601587,2018
29601586,2018
29601584,2018
29601583,2018
29601581,2018
29601578,2018
29601576,2018
29596539,2018
29596538,2018
29596537,2018
29596536,2018
29596534,2018
29596533,2018
29596532,2018
29596531,2018
29596530,2018
29596529,2018
29596528,2018
29596527,2018
29596526,2018
29596525,2018
29596524,2018
29596523,2018
29596522,2018
29596521,2018
29596520,2018
29596519,2018
29596518,2018
29596517,2018
29596516,2018
29596515,2018
29596514,2018
29596513,2018
29596512,2018
29596511,2018
29596510,2018
29596509,2018
29596507,2018
29596506,2018
29596505,2018
29596504,2018
29596503,2018
29596502,2018
29596501,2018
29596500,2018
29596499,2018
29596497,2018
29596496,2018
29596495,2018
29596494,2018
29596493,2018
29596492,2018
29596491,2018
29596490,2018
29596489,2018
29596488,2018
29596486,2018
29596485,2018
29596484,2018
29596483,2018
29596482,2018
29596481,2018
29596480,2018
29596478,2018
29596477,2018
29596475,2018
29596474,2018
29596473,2018
29596472,2018
29596471,2018
29596470,2018
29596469,2018
29596468,2018
29596467,2018
29596466,2018
29596465,2018
29596464,2018
29596463,2018
29596462,2018
29596461,2018
29596460,2018
29596459,2018
29596458,2018
29596457,2018
29596456,2018
29596455,2018
29596453,2018
29596452,2018
29596451,2018
29596450,2018
29596449,2018
29596448,2018
29596447,2018
29596445,2018
29596444,2018
29596443,2018
29596441,2018
29596440,2018
29596439,2018
29596438,2018
29596437,2018
29596436,2018
29596435,2018
29596434,2018
29596433,2018
29596432,2018
29596431,2018
29596430,2018
29596426,2018
29596425,2018
29596422,2018
29596418,2018
29596414,2018
29590221,2018
29590220,2018
29590219,2018
29590218,2018
29590217,2018
29590216,2018
29590215,2018
29590214,2018
29590213,2018
29590212,2018
29590211,2018
29590210,2018
29590209,2018
29590208,2018
29590207,2018
29590206,2018
29590205,2018
29590204,2018
29590203,2018
29590201,2018
29590200,2018
29590199,2018
29590198,2018
29590197,2018
29590196,2018
29590195,2018
29590194,2018
29590193,2018
29590192,2018
29590191,2018
29590190,2018
29590189,2018
29590188,2018
29590187,2018
29590186,2018
29590185,2018
29590184,2018
29590183,2018
29590182,2018
29590181,2018
29590180,2018
29590179,2018
29590178,2018
29590176,2018
29590174,2018
29590173,2018
29590172,2018
29590171,2018
29590170,2018
