pmid,year
19160510,2008
19160509,2008
19160508,2008
19160507,2008
19160506,2008
19160505,2008
19160504,2008
19160503,2008
19160502,2008
19160501,2008
19160500,2008
19160499,2008
19160498,2008
19160497,2008
19160496,2008
19160495,2008
19160494,2008
19109919,2008
19109918,2008
19109917,2008
19109916,2008
19109915,2008
19109914,2008
19109913,2008
19109912,2008
19109911,2008
19109910,2008
19109909,2008
19109908,2008
19109907,2008
19109906,2008
19109905,2008
19109904,2008
19109903,2008
19109902,2008
19109901,2008
19109900,2008
19098905,2008
19098904,2008
19097957,2008
19081385,2008
19081384,2008
19081382,2008
19081381,2008
19081380,2008
19081379,2008
19081378,2008
19081377,2008
19081376,2008
19081375,2008
19081374,2008
19081373,2008
19081372,2008
19081369,2008
19081368,2008
19081367,2008
19081366,2008
19081365,2008
19079251,2008
19079250,2008
19079249,2008
19060896,2008
19060895,2008
19058776,2008
19043410,2008
19043409,2008
19041783,2008
19041782,2008
19041781,2008
19041780,2008
19041779,2008
19041778,2008
19041777,2008
19041776,2008
19041775,2008
19041773,2008
19041772,2008
19041771,2008
19041770,2008
19041769,2008
19038227,2008
19038226,2008
19038225,2008
19038224,2008
19038223,2008
19038222,2008
19038221,2008
19038220,2008
19038219,2008
19038218,2008
19038217,2008
19038216,2008
19038215,2008
19038214,2008
19038213,2008
19038212,2008
19038211,2008
19038210,2008
19038209,2008
19038208,2008
19029890,2008
19029889,2008
19029888,2008
19029887,2008
19029886,2008
19029885,2008
19011625,2008
19011624,2008
18997791,2008
18997790,2008
18997789,2008
18995827,2008
18995826,2008
18995825,2008
18995824,2008
18995823,2008
18995822,2008
18995821,2008
18995820,2008
18995819,2008
18995818,2008
18995817,2008
18995816,2008
18995815,2008
18995814,2008
18995813,2008
18995812,2008
18995811,2008
18995810,2008
18995809,2008
18995808,2008
18995807,2008
18995806,2008
18995805,2008
18983970,2008
18983969,2008
18983968,2008
18983967,2008
18983966,2008
18983965,2008
18983964,2008
18983963,2008
18983961,2008
18983960,2008
18983959,2008
18983958,2008
18983957,2008
18978781,2008
18978780,2008
18978779,2008
18978778,2008
18957228,2008
18957227,2008
18957226,2008
18957225,2008
18957224,2008
18957223,2008
18957222,2008
18957221,2008
18957220,2008
18957219,2008
18957218,2008
18957217,2008
18957216,2008
18957215,2008
18957214,2008
18957213,2008
18957212,2008
18957211,2008
18957210,2008
18956012,2008
18953348,2008
18953347,2008
18953346,2008
18940736,2008
18940735,2008
18940734,2008
18940733,2008
18940732,2008
18940731,2008
18940730,2008
18940729,2008
18940727,2008
18940726,2008
18940725,2008
18940724,2008
18940723,2008
18940597,2008
18940596,2008
18940595,2008
18940594,2008
18940593,2008
18940592,2008
18940591,2008
18940590,2008
18940589,2008
18940588,2008
18940587,2008
18940586,2008
18940585,2008
18940584,2008
18940583,2008
18940582,2008
18940581,2008
18931666,2008
18931665,2008
18931664,2008
18849987,2008
18849986,2008
18849985,2008
18849984,2008
18849983,2008
18836443,2008
18836442,2008
18836441,2008
18828191,2008
18820695,2008
18820694,2008
18820693,2008
18820692,2008
18820691,2008
18820690,2008
18818593,2008
18818592,2008
18818591,2008
18818590,2008
18817740,2008
18817739,2008
18817738,2008
18817737,2008
18817736,2008
18817735,2008
18817734,2008
18817733,2008
18817732,2008
18817731,2008
18817730,2008
18817729,2008
18817728,2008
18817727,2008
18817726,2008
18817725,2008
18817724,2008
18817723,2008
18806786,2008
18806785,2008
18806784,2008
18804426,2008
18794840,2008
18794839,2008
18786421,2008
18786420,2008
18786419,2008
18786418,2008
18786417,2008
18786416,2008
18786415,2008
18786414,2008
18786413,2008
18786412,2008
18786410,2008
18786409,2008
18786408,2008
18786407,2008
18786406,2008
18786365,2008
18786364,2008
18786363,2008
18786362,2008
18786361,2008
18786360,2008
18786359,2008
18786358,2008
18786357,2008
18786356,2008
18786355,2008
18786354,2008
18786353,2008
18786352,2008
18786351,2008
18786350,2008
18776897,2008
18776896,2008
18776895,2008
18776894,2008
18776893,2008
18776892,2008
18760701,2008
18760700,2008
18760699,2008
18760698,2008
18760697,2008
18760696,2008
18760695,2008
18760694,2008
18760693,2008
18760692,2008
18760691,2008
18760690,2008
18760689,2008
18760688,2008
18760687,2008
18758460,2008
18758459,2008
18758458,2008
18725902,2008
18725901,2008
18725900,2008
18725899,2008
18725898,2008
18711393,2008
18701075,2008
18701074,2008
18701073,2008
18701072,2008
18701071,2008
18701070,2008
