pmid,date,mesh,journal,affil,athrs,pt,gr
29121014,<DateCompleted>  <Year>2019</Year>  <Month>03</Month>  <Day>22</Day></DateCompleted>,"<MeshHeadingList>  <MeshHeading>    <DescriptorName UI=""D000229"" MajorTopicYN=""N"">Dependovirus</DescriptorName>    <QualifierName UI=""Q000235"" MajorTopicYN=""Y"">genetics</QualifierName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D004345"" MajorTopicYN=""N"">Drug Industry</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D015316"" MajorTopicYN=""N"">Genetic Therapy</DescriptorName>    <QualifierName UI=""Q000379"" MajorTopicYN=""Y"">methods</QualifierName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D006801"" MajorTopicYN=""N"">Humans</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D058499"" MajorTopicYN=""Y"">Retinal Dystrophies</DescriptorName>    <QualifierName UI=""Q000151"" MajorTopicYN=""N"">congenital</QualifierName>    <QualifierName UI=""Q000188"" MajorTopicYN=""N"">drug therapy</QualifierName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D019745"" MajorTopicYN=""N"">cis-trans-Isomerases</DescriptorName>    <QualifierName UI=""Q000235"" MajorTopicYN=""Y"">genetics</QualifierName>  </MeshHeading></MeshHeadingList>","<Journal>  <ISSN IssnType=""Electronic"">1546-1696</ISSN>  <JournalIssue CitedMedium=""Internet"">    <Volume>35</Volume>    <Issue>11</Issue>    <PubDate>      <Year>2017</Year>      <Month>Nov</Month>      <Day>09</Day>    </PubDate>  </JournalIssue>  <Title>Nature biotechnology</Title>  <ISOAbbreviation>Nat Biotechnol</ISOAbbreviation></Journal>",NA,"<AuthorList CompleteYN=""Y"">  <Author ValidYN=""Y"">    <LastName>Smalley</LastName>    <ForeName>Eric</ForeName>    <Initials>E</Initials>  </Author></AuthorList>","<PublicationTypeList>  <PublicationType UI=""D016428"">Journal Article</PublicationType></PublicationTypeList>",NA
29121015,<DateCompleted>  <Year>2019</Year>  <Month>03</Month>  <Day>22</Day></DateCompleted>,NA,"<Journal>  <ISSN IssnType=""Electronic"">1546-1696</ISSN>  <JournalIssue CitedMedium=""Internet"">    <Volume>35</Volume>    <Issue>11</Issue>    <PubDate>      <Year>2017</Year>      <Month>Nov</Month>      <Day>09</Day>    </PubDate>  </JournalIssue>  <Title>Nature biotechnology</Title>  <ISOAbbreviation>Nat Biotechnol</ISOAbbreviation></Journal>",<AffiliationInfo>  <Affiliation>Nature Biotechnology.</Affiliation></AffiliationInfo>,"<AuthorList CompleteYN=""Y"">  <Author ValidYN=""Y"">    <LastName>DeFrancesco</LastName>    <ForeName>Laura</ForeName>    <Initials>L</Initials>    <AffiliationInfo>      <Affiliation>Nature Biotechnology.</Affiliation>    </AffiliationInfo>  </Author></AuthorList>","<PublicationTypeList>  <PublicationType UI=""D016428"">Journal Article</PublicationType></PublicationTypeList>",NA
29121016,<DateCompleted>  <Year>2019</Year>  <Month>03</Month>  <Day>22</Day></DateCompleted>,"<MeshHeadingList>  <MeshHeading>    <DescriptorName UI=""D014355"" MajorTopicYN=""N"">Chagas Disease</DescriptorName>    <QualifierName UI=""Q000188"" MajorTopicYN=""Y"">drug therapy</QualifierName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D004345"" MajorTopicYN=""N"">Drug Industry</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D017723"" MajorTopicYN=""N"">Drug Utilization Review</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D006801"" MajorTopicYN=""N"">Humans</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D058069"" MajorTopicYN=""N"">Neglected Diseases</DescriptorName>    <QualifierName UI=""Q000188"" MajorTopicYN=""N"">drug therapy</QualifierName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D009593"" MajorTopicYN=""N"">Nitroimidazoles</DescriptorName>    <QualifierName UI=""Q000191"" MajorTopicYN=""Y"">economics</QualifierName>    <QualifierName UI=""Q000627"" MajorTopicYN=""N"">therapeutic use</QualifierName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D013030"" MajorTopicYN=""N"" Type=""Geographic"">Spain</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D014344"" MajorTopicYN=""N"">Trypanocidal Agents</DescriptorName>    <QualifierName UI=""Q000191"" MajorTopicYN=""Y"">economics</QualifierName>    <QualifierName UI=""Q000627"" MajorTopicYN=""N"">therapeutic use</QualifierName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D014481"" MajorTopicYN=""N"" Type=""Geographic"">United States</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D014486"" MajorTopicYN=""N"">United States Food and Drug Administration</DescriptorName>  </MeshHeading></MeshHeadingList>","<Journal>  <ISSN IssnType=""Electronic"">1546-1696</ISSN>  <JournalIssue CitedMedium=""Internet"">    <Volume>35</Volume>    <Issue>11</Issue>    <PubDate>      <Year>2017</Year>      <Month>Nov</Month>      <Day>09</Day>    </PubDate>  </JournalIssue>  <Title>Nature biotechnology</Title>  <ISOAbbreviation>Nat Biotechnol</ISOAbbreviation></Journal>",NA,"<AuthorList CompleteYN=""Y"">  <Author ValidYN=""Y"">    <LastName>Melton</LastName>    <ForeName>Lisa</ForeName>    <Initials>L</Initials>  </Author></AuthorList>","<PublicationTypeList>  <PublicationType UI=""D016428"">Journal Article</PublicationType></PublicationTypeList>",NA
29121017,<DateCompleted>  <Year>2019</Year>  <Month>03</Month>  <Day>22</Day></DateCompleted>,"<MeshHeadingList>  <MeshHeading>    <DescriptorName UI=""D003380"" MajorTopicYN=""Y"">Courtship</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D030541"" MajorTopicYN=""Y"">Databases, Genetic</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D023281"" MajorTopicYN=""Y"">Genomics</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D006801"" MajorTopicYN=""N"">Humans</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D020407"" MajorTopicYN=""Y"">Internet</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D011296"" MajorTopicYN=""N"">Prenatal Diagnosis</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D012747"" MajorTopicYN=""N"">Sexual Partners</DescriptorName>  </MeshHeading></MeshHeadingList>","<Journal>  <ISSN IssnType=""Electronic"">1546-1696</ISSN>  <JournalIssue CitedMedium=""Internet"">    <Volume>35</Volume>    <Issue>11</Issue>    <PubDate>      <Year>2017</Year>      <Month>Nov</Month>      <Day>09</Day>    </PubDate>  </JournalIssue>  <Title>Nature biotechnology</Title>  <ISOAbbreviation>Nat Biotechnol</ISOAbbreviation></Journal>",NA,"<AuthorList CompleteYN=""Y"">  <Author ValidYN=""Y"">    <LastName>Branca</LastName>    <ForeName>Malorye Allison</ForeName>    <Initials>MA</Initials>  </Author></AuthorList>","<PublicationTypeList>  <PublicationType UI=""D016428"">Journal Article</PublicationType></PublicationTypeList>",NA
29121018,<DateCompleted>  <Year>2019</Year>  <Month>03</Month>  <Day>22</Day></DateCompleted>,"<MeshHeadingList>  <MeshHeading>    <DescriptorName UI=""D000818"" MajorTopicYN=""N"">Animals</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D030801"" MajorTopicYN=""N"">Animals, Genetically Modified</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D002681"" MajorTopicYN=""N"" Type=""Geographic"">China</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D006801"" MajorTopicYN=""N"">Humans</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D028361"" MajorTopicYN=""N"">Mitochondrial Diseases</DescriptorName>    <QualifierName UI=""Q000628"" MajorTopicYN=""N"">therapy</QualifierName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D000069321"" MajorTopicYN=""Y"">Mitochondrial Replacement Therapy</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D027724"" MajorTopicYN=""Y"">Reproductive Techniques, Assisted</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D008941"" MajorTopicYN=""N"">Spindle Apparatus</DescriptorName>    <QualifierName UI=""Q000637"" MajorTopicYN=""N"">transplantation</QualifierName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D014481"" MajorTopicYN=""N"" Type=""Geographic"">United States</DescriptorName>  </MeshHeading></MeshHeadingList>","<Journal>  <ISSN IssnType=""Electronic"">1546-1696</ISSN>  <JournalIssue CitedMedium=""Internet"">    <Volume>35</Volume>    <Issue>11</Issue>    <PubDate>      <Year>2017</Year>      <Month>Nov</Month>      <Day>09</Day>    </PubDate>  </JournalIssue>  <Title>Nature biotechnology</Title>  <ISOAbbreviation>Nat Biotechnol</ISOAbbreviation></Journal>",NA,"<AuthorList CompleteYN=""Y"">  <Author ValidYN=""Y"">    <LastName>Connor</LastName>    <ForeName>Steve</ForeName>    <Initials>S</Initials>  </Author></AuthorList>","<PublicationTypeList>  <PublicationType UI=""D016428"">Journal Article</PublicationType></PublicationTypeList>",NA
29121019,<DateCompleted>  <Year>2019</Year>  <Month>03</Month>  <Day>22</Day></DateCompleted>,"<MeshHeadingList>  <MeshHeading>    <DescriptorName UI=""D002986"" MajorTopicYN=""N"">Clinical Trials as Topic</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D017277"" MajorTopicYN=""Y"">Drug Approval</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D006801"" MajorTopicYN=""N"">Humans</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D020388"" MajorTopicYN=""N"">Muscular Dystrophy, Duchenne</DescriptorName>    <QualifierName UI=""Q000188"" MajorTopicYN=""Y"">drug therapy</QualifierName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D010069"" MajorTopicYN=""N"">Oxadiazoles</DescriptorName>    <QualifierName UI=""Q000627"" MajorTopicYN=""Y"">therapeutic use</QualifierName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D014481"" MajorTopicYN=""N"" Type=""Geographic"">United States</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D014486"" MajorTopicYN=""N"">United States Food and Drug Administration</DescriptorName>  </MeshHeading></MeshHeadingList>","<Journal>  <ISSN IssnType=""Electronic"">1546-1696</ISSN>  <JournalIssue CitedMedium=""Internet"">    <Volume>35</Volume>    <Issue>11</Issue>    <PubDate>      <Year>2017</Year>      <Month>Nov</Month>      <Day>09</Day>    </PubDate>  </JournalIssue>  <Title>Nature biotechnology</Title>  <ISOAbbreviation>Nat Biotechnol</ISOAbbreviation></Journal>",NA,NA,"<PublicationTypeList>  <PublicationType UI=""D016428"">Journal Article</PublicationType></PublicationTypeList>",NA
29121020,<DateCompleted>  <Year>2019</Year>  <Month>03</Month>  <Day>22</Day></DateCompleted>,NA,"<Journal>  <ISSN IssnType=""Electronic"">1546-1696</ISSN>  <JournalIssue CitedMedium=""Internet"">    <Volume>35</Volume>    <Issue>11</Issue>    <PubDate>      <Year>2017</Year>      <Month>Nov</Month>      <Day>09</Day>    </PubDate>  </JournalIssue>  <Title>Nature biotechnology</Title>  <ISOAbbreviation>Nat Biotechnol</ISOAbbreviation></Journal>",NA,NA,"<PublicationTypeList>  <PublicationType UI=""D016428"">Journal Article</PublicationType></PublicationTypeList>",NA
29121021,<DateCompleted>  <Year>2019</Year>  <Month>03</Month>  <Day>22</Day></DateCompleted>,"<MeshHeadingList>  <MeshHeading>    <DescriptorName UI=""D002460"" MajorTopicYN=""N"">Cell Line</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D033041"" MajorTopicYN=""Y"">Embryo Research</DescriptorName>    <QualifierName UI=""Q000941"" MajorTopicYN=""N"">ethics</QualifierName>    <QualifierName UI=""Q000266"" MajorTopicYN=""N"">history</QualifierName>    <QualifierName UI=""Q000331"" MajorTopicYN=""N"">legislation &amp; jurisprudence</QualifierName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D053595"" MajorTopicYN=""N"">Embryonic Stem Cells</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D049673"" MajorTopicYN=""N"">History, 20th Century</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D049674"" MajorTopicYN=""N"">History, 21st Century</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D006801"" MajorTopicYN=""N"">Humans</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D057905"" MajorTopicYN=""N"">Stem Cell Research</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D013997"" MajorTopicYN=""N"">Time Factors</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D006113"" MajorTopicYN=""N"" Type=""Geographic"">United Kingdom</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D014481"" MajorTopicYN=""N"" Type=""Geographic"">United States</DescriptorName>  </MeshHeading></MeshHeadingList>","<Journal>  <ISSN IssnType=""Electronic"">1546-1696</ISSN>  <JournalIssue CitedMedium=""Internet"">    <Volume>35</Volume>    <Issue>11</Issue>    <PubDate>      <Year>2017</Year>      <Month>Nov</Month>      <Day>09</Day>    </PubDate>  </JournalIssue>  <Title>Nature biotechnology</Title>  <ISOAbbreviation>Nat Biotechnol</ISOAbbreviation></Journal>","<AffiliationInfo>  <Affiliation>School of Life Sciences, Center for Biology and Society and School for the Future of Innovation in Society, Arizona State University, Tempe, Arizona, USA.</Affiliation></AffiliationInfo>","<AuthorList CompleteYN=""Y"">  <Author ValidYN=""Y"">    <LastName>Hurlbut</LastName>    <ForeName>J Benjamin</ForeName>    <Initials>JB</Initials>    <AffiliationInfo>      <Affiliation>School of Life Sciences, Center for Biology and Society and School for the Future of Innovation in Society, Arizona State University, Tempe, Arizona, USA.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Hyun</LastName>    <ForeName>Insoo</ForeName>    <Initials>I</Initials>    <AffiliationInfo>      <Affiliation>Department of Bioethics, Case Western Reserve University School of Medicine, Cleveland, Ohio, USA.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Levine</LastName>    <ForeName>Aaron D</ForeName>    <Initials>AD</Initials>    <AffiliationInfo>      <Affiliation>School of Public Policy, Petit Institute for Bioengineering and Bioscience, Georgia Institute of Technology, Atlanta, Georgia, USA.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Lovell-Badge</LastName>    <ForeName>Robin</ForeName>    <Initials>R</Initials>    <AffiliationInfo>      <Affiliation>The Francis Crick Institute, London, UK.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Lunshof</LastName>    <ForeName>Jeantine E</ForeName>    <Initials>JE</Initials>    <AffiliationInfo>      <Affiliation>Department of Genetics, University of Groningen, University Medical Center Groningen (UMCG), Groningen, The Netherlands, and Department of Genetics, Church laboratory, Harvard Medical School, Boston, Massachusetts, USA.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Matthews</LastName>    <ForeName>Kirstin R W</ForeName>    <Initials>KRW</Initials>    <AffiliationInfo>      <Affiliation>Baker Institute Center for Health and Biosciences, Rice University, Houston, TX, USA.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Mills</LastName>    <ForeName>Peter</ForeName>    <Initials>P</Initials>    <AffiliationInfo>      <Affiliation>Nuffield Council on Bioethics, London, UK.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Murdoch</LastName>    <ForeName>Alison</ForeName>    <Initials>A</Initials>    <AffiliationInfo>      <Affiliation>Department of Reproductive Medicine, International Centre for Life, Newcastle upon Tyne, UK.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Pera</LastName>    <ForeName>Martin F</ForeName>    <Initials>MF</Initials>    <AffiliationInfo>      <Affiliation>The Jackson Laboratory, Bar Harbor, Maine, USA.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Scott</LastName>    <ForeName>Christopher Thomas</ForeName>    <Initials>CT</Initials>    <AffiliationInfo>      <Affiliation>Center for Medical Ethics and Health Policy, Baylor College of Medicine, Houston, TX, USA.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Tizzard</LastName>    <ForeName>Juliet</ForeName>    <Initials>J</Initials>    <AffiliationInfo>      <Affiliation>The Human Fertilisation and Embryology Authority, London, UK.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Warnock</LastName>    <ForeName>Mary</ForeName>    <Initials>M</Initials>    <AffiliationInfo>      <Affiliation>Honorary Fellow, Hertford College, University of Oxford, Catte Street, Oxford, UK.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Zernicka-Goetz</LastName>    <ForeName>Magdalena</ForeName>    <Initials>M</Initials>    <AffiliationInfo>      <Affiliation>Department of Physiology, Development and Neuroscience, University of Cambridge, Cambridge, UK.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Zhou</LastName>    <ForeName>Qi</ForeName>    <Initials>Q</Initials>    <AffiliationInfo>      <Affiliation>The State Key Laboratory of Stem cell and Reproductive Biology, Institute of Zoology, Chinese Academy of Sciences, Beijing, China.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Zoloth</LastName>    <ForeName>Laurie</ForeName>    <Initials>L</Initials>    <AffiliationInfo>      <Affiliation>University of Chicago Divinity School, Chicago, Illinois, USA.</Affiliation>    </AffiliationInfo>  </Author></AuthorList>","<PublicationTypeList>  <PublicationType UI=""D016456"">Historical Article</PublicationType>  <PublicationType UI=""D016428"">Journal Article</PublicationType></PublicationTypeList>","<GrantList CompleteYN=""Y"">  <Grant>    <GrantID>MC_U117562207</GrantID>    <Acronym>MRC_</Acronym>    <Agency>Medical Research Council</Agency>    <Country>United Kingdom</Country>  </Grant></GrantList>"
29121022,<DateCompleted>  <Year>2019</Year>  <Month>03</Month>  <Day>22</Day></DateCompleted>,"<MeshHeadingList>  <MeshHeading>    <DescriptorName UI=""D000072669"" MajorTopicYN=""Y"">Gene Editing</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D007722"" MajorTopicYN=""Y"">Health Knowledge, Attitudes, Practice</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D006801"" MajorTopicYN=""N"">Humans</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D011639"" MajorTopicYN=""Y"">Public Opinion</DescriptorName>  </MeshHeading></MeshHeadingList>","<Journal>  <ISSN IssnType=""Electronic"">1546-1696</ISSN>  <JournalIssue CitedMedium=""Internet"">    <Volume>35</Volume>    <Issue>11</Issue>    <PubDate>      <Year>2017</Year>      <Month>Nov</Month>      <Day>09</Day>    </PubDate>  </JournalIssue>  <Title>Nature biotechnology</Title>  <ISOAbbreviation>Nat Biotechnol</ISOAbbreviation></Journal>","<AffiliationInfo>  <Affiliation>Department of Methodology, London School of Economics, London, UK.</Affiliation></AffiliationInfo>","<AuthorList CompleteYN=""Y"">  <Author ValidYN=""Y"">    <LastName>Gaskell</LastName>    <ForeName>George</ForeName>    <Initials>G</Initials>    <Identifier Source=""ORCID"">0000-0001-6135-9496</Identifier>    <AffiliationInfo>      <Affiliation>Department of Methodology, London School of Economics, London, UK.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Bard</LastName>    <ForeName>Imre</ForeName>    <Initials>I</Initials>    <Identifier Source=""ORCID"">0000-0001-6395-0335</Identifier>    <AffiliationInfo>      <Affiliation>Department of Methodology, London School of Economics, London, UK.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Allansdottir</LastName>    <ForeName>Agnes</ForeName>    <Initials>A</Initials>    <Identifier Source=""ORCID"">0000-0003-0961-2380</Identifier>    <AffiliationInfo>      <Affiliation>Toscana Life Sciences Foundation, Siena, Italy.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>da Cunha</LastName>    <ForeName>Rui Vieira</ForeName>    <Initials>RV</Initials>    <AffiliationInfo>      <Affiliation>Institute of Molecular and Cellular Biology, Porto, Portugal.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Eduard</LastName>    <ForeName>Peter</ForeName>    <Initials>P</Initials>    <AffiliationInfo>      <Affiliation>Experimentarium, Science Communication Centre, Copenhagen, Denmark.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Hampel</LastName>    <ForeName>Juergen</ForeName>    <Initials>J</Initials>    <AffiliationInfo>      <Affiliation>Center for Interdisciplinary Risk and Innovation Studies, Stuttgart University, Stuttgart, Germany.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Hildt</LastName>    <ForeName>Elisabeth</ForeName>    <Initials>E</Initials>    <Identifier Source=""ORCID"">0000-0003-1314-5527</Identifier>    <AffiliationInfo>      <Affiliation>Center for the Study of Ethics in the Professions, Illinois Institute of Technology, Chicago, Illinois, USA.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Hofmaier</LastName>    <ForeName>Christian</ForeName>    <Initials>C</Initials>    <AffiliationInfo>      <Affiliation>Center for Interdisciplinary Risk and Innovation Studies, Stuttgart University, Stuttgart, Germany.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Kronberger</LastName>    <ForeName>Nicole</ForeName>    <Initials>N</Initials>    <AffiliationInfo>      <Affiliation>Department of Social and Economic Psychology Johannes Kepler University, Linz, Austria.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Laursen</LastName>    <ForeName>Sheena</ForeName>    <Initials>S</Initials>    <AffiliationInfo>      <Affiliation>Experimentarium, Science Communication Centre, Copenhagen, Denmark.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Meijknecht</LastName>    <ForeName>Anna</ForeName>    <Initials>A</Initials>    <AffiliationInfo>      <Affiliation>Tilburg Institute for Law, Technology, and Society, Tilburg University, Tilburg, The Netherlands.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Nordal</LastName>    <ForeName>Salvör</ForeName>    <Initials>S</Initials>    <AffiliationInfo>      <Affiliation>Centre for Ethics University of Iceland, Reykjavik, Iceland.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Quintanilha</LastName>    <ForeName>Alexandre</ForeName>    <Initials>A</Initials>    <AffiliationInfo>      <Affiliation>Institute of Molecular and Cellular Biology, Porto, Portugal.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Revuelta</LastName>    <ForeName>Gema</ForeName>    <Initials>G</Initials>    <Identifier Source=""ORCID"">0000-0002-0701-2026</Identifier>    <AffiliationInfo>      <Affiliation>Centre on Science, Communication and Society Universitat Pompeu Fabra, Barcelona, Spain.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Saladié</LastName>    <ForeName>Núria</ForeName>    <Initials>N</Initials>    <AffiliationInfo>      <Affiliation>Centre on Science, Communication and Society Universitat Pompeu Fabra, Barcelona, Spain.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Sándor</LastName>    <ForeName>Judit</ForeName>    <Initials>J</Initials>    <AffiliationInfo>      <Affiliation>The Center for Ethics and Law in Biomedicine Central European University, Budapest, Hungary.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Santos</LastName>    <ForeName>Júlio Borlido</ForeName>    <Initials>JB</Initials>    <AffiliationInfo>      <Affiliation>Institute of Molecular and Cellular Biology, Porto, Portugal.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Seyringer</LastName>    <ForeName>Simone</ForeName>    <Initials>S</Initials>    <AffiliationInfo>      <Affiliation>Department of Social and Economic Psychology Johannes Kepler University, Linz, Austria.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Singh</LastName>    <ForeName>Ilina</ForeName>    <Initials>I</Initials>    <Identifier Source=""ORCID"">0000-0003-4497-3587</Identifier>    <AffiliationInfo>      <Affiliation>Department of Psychiatry and Oxford Uehiro Centre University of Oxford, Oxford, UK.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Somsen</LastName>    <ForeName>Han</ForeName>    <Initials>H</Initials>    <AffiliationInfo>      <Affiliation>Tilburg Institute for Law, Technology, and Society, Tilburg University, Tilburg, The Netherlands.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Toonders</LastName>    <ForeName>Winnie</ForeName>    <Initials>W</Initials>    <AffiliationInfo>      <Affiliation>Institute for Science, Innovation and Society Radboud University of Nijmegen, Nijmegen, The Netherlands.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Torgersen</LastName>    <ForeName>Helge</ForeName>    <Initials>H</Initials>    <AffiliationInfo>      <Affiliation>Institute of Technology Assessment Austrian Academy of Sciences, Vienna, Austria.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Torre</LastName>    <ForeName>Vincent</ForeName>    <Initials>V</Initials>    <AffiliationInfo>      <Affiliation>Centre for Neurobiology, International School for Advanced Studies, Trieste, Italy.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Varju</LastName>    <ForeName>Márton</ForeName>    <Initials>M</Initials>    <AffiliationInfo>      <Affiliation>The Center for Ethics and Law in Biomedicine Central European University, Budapest, Hungary.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Zwart</LastName>    <ForeName>Hub</ForeName>    <Initials>H</Initials>    <AffiliationInfo>      <Affiliation>Institute for Science, Innovation and Society Radboud University of Nijmegen, Nijmegen, The Netherlands.</Affiliation>    </AffiliationInfo>  </Author></AuthorList>","<PublicationTypeList>  <PublicationType UI=""D016428"">Journal Article</PublicationType>  <PublicationType UI=""D013485"">Research Support, Non-U.S. Gov't</PublicationType></PublicationTypeList>",NA
29121023,NA,NA,"<Journal>  <ISSN IssnType=""Electronic"">1546-1696</ISSN>  <JournalIssue CitedMedium=""Internet"">    <Volume>35</Volume>    <Issue>11</Issue>    <PubDate>      <Year>2017</Year>      <Month>Nov</Month>      <Day>09</Day>    </PubDate>  </JournalIssue>  <Title>Nature biotechnology</Title>  <ISOAbbreviation>Nat Biotechnol</ISOAbbreviation></Journal>",NA,NA,"<PublicationTypeList>  <PublicationType UI=""D016428"">Journal Article</PublicationType>  <PublicationType UI=""D016425"">Published Erratum</PublicationType></PublicationTypeList>",NA
