pmid,query_name
31982044,basic_2019
31887740,basic_2019
31883797,basic_2019
31883796,basic_2019
31883795,basic_2019
31883793,basic_2019
31883792,basic_2019
31881139,basic_2019
31875854,basic_2019
31875852,basic_2019
31875851,basic_2019
31875850,basic_2019
31875848,basic_2019
31866068,basic_2019
31866066,basic_2019
31862189,basic_2019
31860033,basic_2019
31860026,basic_2019
31857493,basic_2019
31857486,basic_2019
31857472,basic_2019
31857470,basic_2019
31857469,basic_2019
31857468,basic_2019
31857467,basic_2019
31857466,basic_2019
31857452,basic_2019
31857451,basic_2019
31857447,basic_2019
31856152,basic_2019
31853090,basic_2019
31853076,basic_2019
31853075,basic_2019
31853074,basic_2019
31853073,basic_2019
31853072,basic_2019
31853071,basic_2019
31853069,basic_2019
31853068,basic_2019
31853066,basic_2019
31853065,basic_2019
31853064,basic_2019
31853063,basic_2019
31853060,basic_2019
31851801,basic_2019
31851798,basic_2019
31848482,basic_2019
31842204,basic_2019
31835037,basic_2019
31835036,basic_2019
31835034,basic_2019
31835033,basic_2019
31835032,basic_2019
31835031,basic_2019
31835030,basic_2019
31835029,basic_2019
31835027,basic_2019
31835026,basic_2019
31835025,basic_2019
31835024,basic_2019
31831669,basic_2019
31831667,basic_2019
31831666,basic_2019
31831660,basic_2019
31831659,basic_2019
31831657,basic_2019
31831656,basic_2019
31831655,basic_2019
31831640,basic_2019
31831639,basic_2019
31830756,basic_2019
31827285,basic_2019
31827279,basic_2019
31827278,basic_2019
31826860,basic_2019
31826359,basic_2019
31826335,basic_2019
31825951,basic_2019
31822019,basic_2019
31821422,basic_2019
31819262,basic_2019
31818492,basic_2019
31818491,basic_2019
31813624,basic_2019
31806817,basic_2019
31806816,basic_2019
31806815,basic_2019
31806811,basic_2019
31806804,basic_2019
31806802,basic_2019
31806800,basic_2019
31806799,basic_2019
31806798,basic_2019
31806796,basic_2019
31806787,basic_2019
31806786,basic_2019
31806698,basic_2019
31806695,basic_2019
31806694,basic_2019
31802016,basic_2019
31802004,basic_2019
31802003,basic_2019
31802001,basic_2019
31801999,basic_2019
31801998,basic_2019
31801997,basic_2019
31801996,basic_2019
31800985,basic_2019
31800981,basic_2019
31797914,basic_2019
31796910,basic_2019
31796907,basic_2019
31794617,basic_2019
31792421,basic_2019
31789207,basic_2019
31787378,basic_2019
31787377,basic_2019
31787376,basic_2019
31785834,basic_2019
31780627,basic_2019
31780625,basic_2019
31780561,basic_2019
31780559,basic_2019
31780547,basic_2019
31780545,basic_2019
31780544,basic_2019
31780543,basic_2019
31780529,basic_2019
31780528,basic_2019
31778655,basic_2019
31778653,basic_2019
31778652,basic_2019
31778651,basic_2019
31778650,basic_2019
31778649,basic_2019
31777381,basic_2019
31776518,basic_2019
31776516,basic_2019
31776515,basic_2019
31776514,basic_2019
31776512,basic_2019
31776511,basic_2019
31776510,basic_2019
31776509,basic_2019
31776502,basic_2019
31776496,basic_2019
31776495,basic_2019
31776492,basic_2019
31776490,basic_2019
31776488,basic_2019
31776487,basic_2019
31776125,basic_2019
31776122,basic_2019
31775157,basic_2019
31775156,basic_2019
31766050,basic_2019
31761536,basic_2019
31761535,basic_2019
31761534,basic_2019
31761533,basic_2019
31761532,basic_2019
31761531,basic_2019
31761530,basic_2019
31759698,basic_2019
31755907,basic_2019
31755905,basic_2019
31755902,basic_2019
31754004,basic_2019
31754003,basic_2019
31754001,basic_2019
31753998,basic_2019
31753995,basic_2019
31753993,basic_2019
31753992,basic_2019
31753988,basic_2019
31753987,basic_2019
31753986,basic_2019
31753985,basic_2019
31753982,basic_2019
31753981,basic_2019
31753980,basic_2019
31753969,basic_2019
31753851,basic_2019
31753850,basic_2019
31748749,basic_2019
31748748,basic_2019
31748745,basic_2019
31748744,basic_2019
31748742,basic_2019
31748741,basic_2019
31748731,basic_2019
31748722,basic_2019
31747732,basic_2019
31747728,basic_2019
31747680,basic_2019
31742622,basic_2019
31741447,basic_2019
31741444,basic_2019
31739333,basic_2019
31735497,basic_2019
31735496,basic_2019
31733928,basic_2019
31730859,basic_2019
31730858,basic_2019
31730856,basic_2019
31730854,basic_2019
31730853,basic_2019
31730852,basic_2019
31730851,basic_2019
31730850,basic_2019
31730849,basic_2019
31730848,basic_2019
31730847,basic_2019
31730846,basic_2019
31727855,basic_2019
31727838,basic_2019
31727836,basic_2019
31727826,basic_2019
31727825,basic_2019
31727820,basic_2019
31727817,basic_2019
31727816,basic_2019
31727815,basic_2019
31727811,basic_2019
31727802,basic_2019
31727801,basic_2019
31723288,basic_2019
31723283,basic_2019
31723273,basic_2019
31723270,basic_2019
31723269,basic_2019
31723268,basic_2019
31723267,basic_2019
31723264,basic_2019
31723263,basic_2019
31723262,basic_2019
31723261,basic_2019
31714992,basic_2019
31714977,basic_2019
31711137,basic_2019
31711130,basic_2019
31711103,basic_2019
31710337,basic_2019
31708126,basic_2019
31704029,basic_2019
31699935,basic_2019
31699933,basic_2019
31699931,basic_2019
31699922,basic_2019
31699921,basic_2019
31699909,basic_2019
31699907,basic_2019
31699906,basic_2019
31698413,basic_2019
