pmid,query_name
23284160,therapeutics_2012
23281545,therapeutics_2012
23268671,therapeutics_2012
23268514,therapeutics_2012
23261759,therapeutics_2012
23249668,therapeutics_2012
23248081,therapeutics_2012
23247990,therapeutics_2012
23234470,therapeutics_2012
23222670,therapeutics_2012
23222667,therapeutics_2012
23222665,therapeutics_2012
23217713,therapeutics_2012
23216549,therapeutics_2012
23215559,therapeutics_2012
23197598,therapeutics_2012
23171093,therapeutics_2012
23169809,therapeutics_2012
23165661,therapeutics_2012
23161983,therapeutics_2012
23152572,therapeutics_2012
23152571,therapeutics_2012
23152570,therapeutics_2012
23151281,therapeutics_2012
23151280,therapeutics_2012
23150005,therapeutics_2012
23149211,therapeutics_2012
23128225,therapeutics_2012
23118307,therapeutics_2012
23118010,therapeutics_2012
23114076,therapeutics_2012
23114070,therapeutics_2012
23113479,therapeutics_2012
23113478,therapeutics_2012
23112122,therapeutics_2012
23109327,therapeutics_2012
23077372,therapeutics_2012
23075184,therapeutics_2012
23073945,therapeutics_2012
23047357,therapeutics_2012
23047356,therapeutics_2012
23045318,therapeutics_2012
23034018,therapeutics_2012
23029669,therapeutics_2012
23027331,therapeutics_2012
23019647,therapeutics_2012
23014904,therapeutics_2012
22996560,therapeutics_2012
22992071,therapeutics_2012
22986379,therapeutics_2012
22983707,therapeutics_2012
22983534,therapeutics_2012
22983533,therapeutics_2012
22968881,therapeutics_2012
22955625,therapeutics_2012
22944877,therapeutics_2012
22932268,therapeutics_2012
22910751,therapeutics_2012
22873529,therapeutics_2012
22868842,therapeutics_2012
22868834,therapeutics_2012
22859485,therapeutics_2012
22859484,therapeutics_2012
22859474,therapeutics_2012
22822138,therapeutics_2012
22815428,therapeutics_2012
22797644,therapeutics_2012
22789501,therapeutics_2012
22789500,therapeutics_2012
22784533,therapeutics_2012
22784111,therapeutics_2012
22784039,therapeutics_2012
22751776,therapeutics_2012
22751760,therapeutics_2012
22740570,therapeutics_2012
22718967,therapeutics_2012
22717402,therapeutics_2012
22717401,therapeutics_2012
22717398,therapeutics_2012
22717397,therapeutics_2012
22716935,therapeutics_2012
22711082,therapeutics_2012
22711080,therapeutics_2012
22695307,therapeutics_2012
22692167,therapeutics_2012
22674325,therapeutics_2012
22654050,therapeutics_2012
22653732,therapeutics_2012
22646628,therapeutics_2012
22646509,therapeutics_2012
22645214,therapeutics_2012
22579281,therapeutics_2012
22551130,therapeutics_2012
22551123,therapeutics_2012
22550193,therapeutics_2012
22547647,therapeutics_2012
22538586,therapeutics_2012
22535856,therapeutics_2012
22535852,therapeutics_2012
22530245,therapeutics_2012
22516559,therapeutics_2012
22500807,therapeutics_2012
22498628,therapeutics_2012
22496304,therapeutics_2012
22491484,therapeutics_2012
22490978,therapeutics_2012
22457444,therapeutics_2012
22455754,therapeutics_2012
22455752,therapeutics_2012
22451477,therapeutics_2012
22424236,therapeutics_2012
22396518,therapeutics_2012
22396511,therapeutics_2012
22396510,therapeutics_2012
22396156,therapeutics_2012
22357107,therapeutics_2012
22344303,therapeutics_2012
22337786,therapeutics_2012
22318444,therapeutics_2012
22316446,therapeutics_2012
22312158,therapeutics_2012
22312142,therapeutics_2012
22304913,therapeutics_2012
22298679,therapeutics_2012
22298564,therapeutics_2012
22290100,therapeutics_2012
22277545,therapeutics_2012
22277543,therapeutics_2012
22265401,therapeutics_2012
22257980,therapeutics_2012
22257979,therapeutics_2012
22256780,therapeutics_2012
22243815,therapeutics_2012
22236600,therapeutics_2012
22235084,therapeutics_2012
22215159,therapeutics_2012
22213573,therapeutics_2012
22182591,therapeutics_2012
22149736,therapeutics_2012
22000154,therapeutics_2012
21474173,therapeutics_2012
