pmid,query_name
11203085,translational_2000
11191539,translational_2000
11191533,translational_2000
11191532,translational_2000
11191531,translational_2000
11191529,translational_2000
11191527,translational_2000
11191523,translational_2000
11191522,translational_2000
11191515,translational_2000
11191514,translational_2000
11191501,translational_2000
11191500,translational_2000
11191499,translational_2000
11191491,translational_2000
11191484,translational_2000
11191481,translational_2000
11191465,translational_2000
11188915,translational_2000
11188067,translational_2000
11187812,translational_2000
11187710,translational_2000
11187128,translational_2000
11187092,translational_2000
11186392,translational_2000
11185517,translational_2000
11185515,translational_2000
11185508,translational_2000
11185507,translational_2000
11185494,translational_2000
11184782,translational_2000
11184779,translational_2000
11184735,translational_2000
11184470,translational_2000
11184467,translational_2000
11184466,translational_2000
11184464,translational_2000
11184244,translational_2000
11184242,translational_2000
11184201,translational_2000
11183897,translational_2000
11183896,translational_2000
11183892,translational_2000
11183891,translational_2000
11183886,translational_2000
11183885,translational_2000
11183769,translational_2000
11183745,translational_2000
11183150,translational_2000
11163181,translational_2000
11163174,translational_2000
10755509,translational_2000
10755497,translational_2000
10755481,translational_2000
10753152,translational_2000
10753150,translational_2000
10753147,translational_2000
10753146,translational_2000
10752719,translational_2000
10752705,translational_2000
10752701,translational_2000
10752697,translational_2000
10752696,translational_2000
10712029,translational_2000
11147988,translational_2000
11147986,translational_2000
11145486,translational_2000
11145483,translational_2000
11145482,translational_2000
11142265,translational_2000
11140689,translational_2000
11140688,translational_2000
11140684,translational_2000
11136265,translational_2000
11136264,translational_2000
11136262,translational_2000
11135779,translational_2000
11130727,translational_2000
11130705,translational_2000
11130526,translational_2000
11130525,translational_2000
11130522,translational_2000
11130520,translational_2000
11130519,translational_2000
11130516,translational_2000
11130384,translational_2000
11130383,translational_2000
11130378,translational_2000
11130376,translational_2000
11130375,translational_2000
11125144,translational_2000
11125143,translational_2000
11125142,translational_2000
11125141,translational_2000
11125140,translational_2000
11124206,translational_2000
11124203,translational_2000
11124200,translational_2000
11124199,translational_2000
11124189,translational_2000
11124186,translational_2000
11124174,translational_2000
11124173,translational_2000
11119396,translational_2000
11119394,translational_2000
11118179,translational_2000
11117978,translational_2000
11117977,translational_2000
11117975,translational_2000
11117974,translational_2000
11117973,translational_2000
11117945,translational_2000
11117915,translational_2000
11117911,translational_2000
11117908,translational_2000
11117906,translational_2000
11117750,translational_2000
11117749,translational_2000
11114318,translational_2000
11114317,translational_2000
11110741,translational_2000
11110738,translational_2000
11106721,translational_2000
11106720,translational_2000
11106719,translational_2000
11105192,translational_2000
11105180,translational_2000
11105177,translational_2000
11103065,translational_2000
11103058,translational_2000
11103057,translational_2000
11100730,translational_2000
11100717,translational_2000
11099417,translational_2000
11099289,translational_2000
11099287,translational_2000
11099281,translational_2000
11099045,translational_2000
11096168,translational_2000
11095262,translational_2000
11095260,translational_2000
11095252,translational_2000
11090521,translational_2000
11090520,translational_2000
11090519,translational_2000
11090517,translational_2000
11090513,translational_2000
11090360,translational_2000
11089984,translational_2000
11089982,translational_2000
11089950,translational_2000
11089825,translational_2000
11089820,translational_2000
11089814,translational_2000
11089813,translational_2000
11087889,translational_2000
11087883,translational_2000
11086376,translational_2000
11086373,translational_2000
11086372,translational_2000
11086368,translational_2000
11085841,translational_2000
11085840,translational_2000
11085839,translational_2000
11085707,translational_2000
