pmid,query_name
12071206,basic_1998
11560168,basic_1998
11541731,basic_1998
10326534,basic_1998
9890831,basic_1998
9890830,basic_1998
9890828,basic_1998
9890827,basic_1998
9875879,basic_1998
9875856,basic_1998
9875855,basic_1998
9875853,basic_1998
9875852,basic_1998
9875851,basic_1998
9875850,basic_1998
9875849,basic_1998
9875848,basic_1998
9875847,basic_1998
9875846,basic_1998
9875845,basic_1998
9875844,basic_1998
9875843,basic_1998
9875842,basic_1998
9875841,basic_1998
9875840,basic_1998
9874653,basic_1998
9874637,basic_1998
9874636,basic_1998
9874634,basic_1998
9874373,basic_1998
9874372,basic_1998
9874371,basic_1998
9874370,basic_1998
9874369,basic_1998
9872322,basic_1998
9872320,basic_1998
9872317,basic_1998
9872316,basic_1998
9872315,basic_1998
9872313,basic_1998
9872312,basic_1998
9872291,basic_1998
9872243,basic_1998
9872156,basic_1998
9872150,basic_1998
9867732,basic_1998
9867664,basic_1998
9867653,basic_1998
9867652,basic_1998
9867651,basic_1998
9867650,basic_1998
9867649,basic_1998
9867648,basic_1998
9867633,basic_1998
9867632,basic_1998
9865703,basic_1998
9865702,basic_1998
9865701,basic_1998
9865700,basic_1998
9865699,basic_1998
9865698,basic_1998
9865696,basic_1998
9865695,basic_1998
9865694,basic_1998
9865693,basic_1998
9865692,basic_1998
9865691,basic_1998
9865690,basic_1998
9863832,basic_1998
9862947,basic_1998
9862945,basic_1998
9859997,basic_1998
9859996,basic_1998
9859995,basic_1998
9859994,basic_1998
9859993,basic_1998
9859992,basic_1998
9859991,basic_1998
9859990,basic_1998
9859985,basic_1998
9857134,basic_1998
9857130,basic_1998
9857126,basic_1998
9857124,basic_1998
9857122,basic_1998
9857121,basic_1998
9856955,basic_1998
9856954,basic_1998
9856953,basic_1998
9856952,basic_1998
9856951,basic_1998
9856946,basic_1998
9856945,basic_1998
9856939,basic_1998
9856938,basic_1998
9856937,basic_1998
9856936,basic_1998
9854117,basic_1998
9853759,basic_1998
9853758,basic_1998
9853757,basic_1998
9853756,basic_1998
9853755,basic_1998
9853754,basic_1998
9853753,basic_1998
9853752,basic_1998
9853751,basic_1998
9853750,basic_1998
9853749,basic_1998
9853457,basic_1998
9853440,basic_1998
9853431,basic_1998
9851934,basic_1998
9851933,basic_1998
9851932,basic_1998
9851931,basic_1998
9851930,basic_1998
