pmid,query_name
17195298,fundamental_2006
17192536,fundamental_2006
17190607,fundamental_2006
17190606,fundamental_2006
17190605,fundamental_2006
17190604,fundamental_2006
17190603,fundamental_2006
17190602,fundamental_2006
17190601,fundamental_2006
17190600,fundamental_2006
17190599,fundamental_2006
17190597,fundamental_2006
17190596,fundamental_2006
17190594,fundamental_2006
17190593,fundamental_2006
17190591,fundamental_2006
17190001,fundamental_2006
17187057,fundamental_2006
17187056,fundamental_2006
17187055,fundamental_2006
17187054,fundamental_2006
17187053,fundamental_2006
17185729,fundamental_2006
17185721,fundamental_2006
17185713,fundamental_2006
17185711,fundamental_2006
17185605,fundamental_2006
17185604,fundamental_2006
17185603,fundamental_2006
17185602,fundamental_2006
17185601,fundamental_2006
17185600,fundamental_2006
17185599,fundamental_2006
17185597,fundamental_2006
17185595,fundamental_2006
17185594,fundamental_2006
17185593,fundamental_2006
17185590,fundamental_2006
17185588,fundamental_2006
17185587,fundamental_2006
17185586,fundamental_2006
17185563,fundamental_2006
17185562,fundamental_2006
17185561,fundamental_2006
17185560,fundamental_2006
17185559,fundamental_2006
17183322,fundamental_2006
17183311,fundamental_2006
17183310,fundamental_2006
17183308,fundamental_2006
17183269,fundamental_2006
17183268,fundamental_2006
17183267,fundamental_2006
17183266,fundamental_2006
17183265,fundamental_2006
17182986,fundamental_2006
17179446,fundamental_2006
17175567,fundamental_2006
17174900,fundamental_2006
17174899,fundamental_2006
17174898,fundamental_2006
17174897,fundamental_2006
17174896,fundamental_2006
17174895,fundamental_2006
17174894,fundamental_2006
17174893,fundamental_2006
17174892,fundamental_2006
17174890,fundamental_2006
17174889,fundamental_2006
17174887,fundamental_2006
17174886,fundamental_2006
17174885,fundamental_2006
17174884,fundamental_2006
17174883,fundamental_2006
17174708,fundamental_2006
17173029,fundamental_2006
17170310,fundamental_2006
17170309,fundamental_2006
17170308,fundamental_2006
17170307,fundamental_2006
17170305,fundamental_2006
17170304,fundamental_2006
17170303,fundamental_2006
17170302,fundamental_2006
17170301,fundamental_2006
17170296,fundamental_2006
17170293,fundamental_2006
17170292,fundamental_2006
17170291,fundamental_2006
17170285,fundamental_2006
17170282,fundamental_2006
17170280,fundamental_2006
17170279,fundamental_2006
17170278,fundamental_2006
17170256,fundamental_2006
17170255,fundamental_2006
17170253,fundamental_2006
17167490,fundamental_2006
17167488,fundamental_2006
17167486,fundamental_2006
17167485,fundamental_2006
17167478,fundamental_2006
17167473,fundamental_2006
17167472,fundamental_2006
17167469,fundamental_2006
17167430,fundamental_2006
17167427,fundamental_2006
17167425,fundamental_2006
17167423,fundamental_2006
17167422,fundamental_2006
17167421,fundamental_2006
17167420,fundamental_2006
17167418,fundamental_2006
17167417,fundamental_2006
17167416,fundamental_2006
17167415,fundamental_2006
17167414,fundamental_2006
17167413,fundamental_2006
17164297,fundamental_2006
17158331,fundamental_2006
17158330,fundamental_2006
17158328,fundamental_2006
17158327,fundamental_2006
17158326,fundamental_2006
17158324,fundamental_2006
17158323,fundamental_2006
17158321,fundamental_2006
17158320,fundamental_2006
17158319,fundamental_2006
17158317,fundamental_2006
17158315,fundamental_2006
17158313,fundamental_2006
17158312,fundamental_2006
17158311,fundamental_2006
17158291,fundamental_2006
17158290,fundamental_2006
17158289,fundamental_2006
17158288,fundamental_2006
17151666,fundamental_2006
17151665,fundamental_2006
17151658,fundamental_2006
17151656,fundamental_2006
17151655,fundamental_2006
17151629,fundamental_2006
17151628,fundamental_2006
17151627,fundamental_2006
17151626,fundamental_2006
17151608,fundamental_2006
17151605,fundamental_2006
17151604,fundamental_2006
17151603,fundamental_2006
17151602,fundamental_2006
17151600,fundamental_2006
17151363,fundamental_2006
17143999,fundamental_2006
17138901,fundamental_2006
17138900,fundamental_2006
17138898,fundamental_2006
17138894,fundamental_2006
17138893,fundamental_2006
17138892,fundamental_2006
17138891,fundamental_2006
17138885,fundamental_2006
17138883,fundamental_2006
17138868,fundamental_2006
17138866,fundamental_2006
17136100,fundamental_2006
17136099,fundamental_2006
17136098,fundamental_2006
17136096,fundamental_2006
17136094,fundamental_2006
17136092,fundamental_2006
17136086,fundamental_2006
17129789,fundamental_2006
17129788,fundamental_2006
17129787,fundamental_2006
17129786,fundamental_2006
17129785,fundamental_2006
17129784,fundamental_2006
17129783,fundamental_2006
17129782,fundamental_2006
17129781,fundamental_2006
17129780,fundamental_2006
17129777,fundamental_2006
17129776,fundamental_2006
17129775,fundamental_2006
17129774,fundamental_2006
17129773,fundamental_2006
17129772,fundamental_2006
17129771,fundamental_2006
17129770,fundamental_2006
17128255,fundamental_2006
17126720,fundamental_2006
17126699,fundamental_2006
17124325,fundamental_2006
17124323,fundamental_2006
17124321,fundamental_2006
17124320,fundamental_2006
17124319,fundamental_2006
17124316,fundamental_2006
17124315,fundamental_2006
17124314,fundamental_2006
17124312,fundamental_2006
17124311,fundamental_2006
17124291,fundamental_2006
17124290,fundamental_2006
17124012,fundamental_2006
17123592,fundamental_2006
17123591,fundamental_2006
17122856,fundamental_2006
17122855,fundamental_2006
17122853,fundamental_2006
17122850,fundamental_2006
17122848,fundamental_2006
17122778,fundamental_2006
17122777,fundamental_2006
17122776,fundamental_2006
17122775,fundamental_2006
17122774,fundamental_2006
17122770,fundamental_2006
17113427,fundamental_2006
17113404,fundamental_2006
17113138,fundamental_2006
17110582,fundamental_2006
17110579,fundamental_2006
17110578,fundamental_2006
17110577,fundamental_2006
17110576,fundamental_2006
17110574,fundamental_2006
17110570,fundamental_2006
17110569,fundamental_2006
17110568,fundamental_2006
17110563,fundamental_2006
17110561,fundamental_2006
17110537,fundamental_2006
17110535,fundamental_2006
17110341,fundamental_2006
17110340,fundamental_2006
17110339,fundamental_2006
17110337,fundamental_2006
17110336,fundamental_2006
17110335,fundamental_2006
17110334,fundamental_2006
17110333,fundamental_2006
17110332,fundamental_2006
17110331,fundamental_2006
17110330,fundamental_2006
17110328,fundamental_2006
17110327,fundamental_2006
17110326,fundamental_2006
17110324,fundamental_2006
17108971,fundamental_2006
17108970,fundamental_2006
17108969,fundamental_2006
17108966,fundamental_2006
17108965,fundamental_2006
17108964,fundamental_2006
17108962,fundamental_2006
17108958,fundamental_2006
17108957,fundamental_2006
17108956,fundamental_2006
17108955,fundamental_2006
17108953,fundamental_2006
17108952,fundamental_2006
17105801,fundamental_2006
17105799,fundamental_2006
17105797,fundamental_2006
17098090,fundamental_2006
17095783,fundamental_2006
17095703,fundamental_2006
17095702,fundamental_2006
17095701,fundamental_2006
17095699,fundamental_2006
17095695,fundamental_2006
17095694,fundamental_2006
17095693,fundamental_2006
17095692,fundamental_2006
17095691,fundamental_2006
17095690,fundamental_2006
17095689,fundamental_2006
17095688,fundamental_2006
17095686,fundamental_2006
17095684,fundamental_2006
17095683,fundamental_2006
17095682,fundamental_2006
17095680,fundamental_2006
17095679,fundamental_2006
17095659,fundamental_2006
17095657,fundamental_2006
17095656,fundamental_2006
17093447,fundamental_2006
17093424,fundamental_2006
17093408,fundamental_2006
17093407,fundamental_2006
17093405,fundamental_2006
17093257,fundamental_2006
17093251,fundamental_2006
17086205,fundamental_2006
17086204,fundamental_2006
17086203,fundamental_2006
17086202,fundamental_2006
17086201,fundamental_2006
17086199,fundamental_2006
17086198,fundamental_2006
17086195,fundamental_2006
17086194,fundamental_2006
17086193,fundamental_2006
17086192,fundamental_2006
17086191,fundamental_2006
17082547,fundamental_2006
17082460,fundamental_2006
17082459,fundamental_2006
17082458,fundamental_2006
17082457,fundamental_2006
17082456,fundamental_2006
17082450,fundamental_2006
17082449,fundamental_2006
17082446,fundamental_2006
17082444,fundamental_2006
17082441,fundamental_2006
17082440,fundamental_2006
17082422,fundamental_2006
17082421,fundamental_2006
17082420,fundamental_2006
17081983,fundamental_2006
17081982,fundamental_2006
17081981,fundamental_2006
17081980,fundamental_2006
17081979,fundamental_2006
17081978,fundamental_2006
17081977,fundamental_2006
17081976,fundamental_2006
17081975,fundamental_2006
17081974,fundamental_2006
17081973,fundamental_2006
17081972,fundamental_2006
17081971,fundamental_2006
17081969,fundamental_2006
17081967,fundamental_2006
17081966,fundamental_2006
