pmid,query_name
15967142,therapeutics_2004
15967140,therapeutics_2004
15611496,therapeutics_2004
15604193,therapeutics_2004
15604192,therapeutics_2004
15604179,therapeutics_2004
15585737,therapeutics_2004
15583227,therapeutics_2004
15576746,therapeutics_2004
15575051,therapeutics_2004
15567803,therapeutics_2004
15565151,therapeutics_2004
15564229,therapeutics_2004
15550428,therapeutics_2004
15550425,therapeutics_2004
15548779,therapeutics_2004
15548775,therapeutics_2004
15541433,therapeutics_2004
15539677,therapeutics_2004
15539676,therapeutics_2004
15539671,therapeutics_2004
15539605,therapeutics_2004
15537910,therapeutics_2004
15536111,therapeutics_2004
15530632,therapeutics_2004
15528621,therapeutics_2004
15523072,therapeutics_2004
15509813,therapeutics_2004
15507584,therapeutics_2004
15485974,therapeutics_2004
15479939,therapeutics_2004
15474135,therapeutics_2004
15474119,therapeutics_2004
15472282,therapeutics_2004
15472269,therapeutics_2004
15470425,therapeutics_2004
15466770,therapeutics_2004
15464171,therapeutics_2004
15459387,therapeutics_2004
15459386,therapeutics_2004
15459296,therapeutics_2004
15459052,therapeutics_2004
15454495,therapeutics_2004
15451207,therapeutics_2004
15388617,therapeutics_2004
15377572,therapeutics_2004
15375269,therapeutics_2004
15375252,therapeutics_2004
15364172,therapeutics_2004
15353806,therapeutics_2004
15353431,therapeutics_2004
15343325,therapeutics_2004
15321901,therapeutics_2004
15321898,therapeutics_2004
15310606,therapeutics_2004
15309806,therapeutics_2004
15297341,therapeutics_2004
15289234,therapeutics_2004
15289214,therapeutics_2004
15273381,therapeutics_2004
15269778,therapeutics_2004
15262668,therapeutics_2004
15254550,therapeutics_2004
15240438,therapeutics_2004
15238393,therapeutics_2004
15238367,therapeutics_2004
15205477,therapeutics_2004
15205293,therapeutics_2004
15201415,therapeutics_2004
15201407,therapeutics_2004
15173156,therapeutics_2004
15173155,therapeutics_2004
15172910,therapeutics_2004
15166356,therapeutics_2004
15158628,therapeutics_2004
15151964,therapeutics_2004
15148069,therapeutics_2004
15148068,therapeutics_2004
15142927,therapeutics_2004
15142923,therapeutics_2004
15142922,therapeutics_2004
15141040,therapeutics_2004
15130979,therapeutics_2004
15126272,therapeutics_2004
15126262,therapeutics_2004
15126255,therapeutics_2004
15103002,therapeutics_2004
15096358,therapeutics_2004
15081652,therapeutics_2004
15073069,therapeutics_2004
15071129,therapeutics_2004
15071127,therapeutics_2004
15070787,therapeutics_2004
15070563,therapeutics_2004
15069047,therapeutics_2004
15069033,therapeutics_2004
15066888,therapeutics_2004
15064036,therapeutics_2004
15043966,therapeutics_2004
15043956,therapeutics_2004
15031496,therapeutics_2004
15031238,therapeutics_2004
15022648,therapeutics_2004
15016693,therapeutics_2004
15016692,therapeutics_2004
15016691,therapeutics_2004
15016497,therapeutics_2004
15014180,therapeutics_2004
14996678,therapeutics_2004
14976099,therapeutics_2004
14973213,therapeutics_2004
14970150,therapeutics_2004
14962874,therapeutics_2004
14747506,therapeutics_2004
14744821,therapeutics_2004
14739459,therapeutics_2004
14726351,therapeutics_2004
14709575,therapeutics_2004
14706972,therapeutics_2004
14706970,therapeutics_2004
14645856,therapeutics_2004
