pmid,query_name
34338198,translational_2020
33561814,translational_2020
33476549,translational_2020
33412089,translational_2020
33382932,translational_2020
33378605,translational_2020
33378604,translational_2020
33376083,translational_2020
33370173,translational_2020
33370172,translational_2020
33369364,translational_2020
33369358,translational_2020
33361815,translational_2020
33361812,translational_2020
33361811,translational_2020
33361116,translational_2020
33357495,translational_2020
33357494,translational_2020
33357493,translational_2020
33357492,translational_2020
33357468,translational_2020
33357448,translational_2020
33357399,translational_2020
33357398,translational_2020
33351041,translational_2020
33351030,translational_2020
33347322,translational_2020
33347321,translational_2020
33340026,translational_2020
33338436,translational_2020
33338421,translational_2020
33335049,translational_2020
33335035,translational_2020
33328638,translational_2020
33328637,translational_2020
33328632,translational_2020
33326716,translational_2020
33326715,translational_2020
33324005,translational_2020
33323424,translational_2020
33323388,translational_2020
33323376,translational_2020
33323357,translational_2020
33320215,translational_2020
33320214,translational_2020
33318031,translational_2020
33316195,translational_2020
33316194,translational_2020
33316187,translational_2020
33316186,translational_2020
33316185,translational_2020
33316183,translational_2020
33316182,translational_2020
33316181,translational_2020
33314872,translational_2020
33308484,translational_2020
33308475,translational_2020
33308458,translational_2020
33308455,translational_2020
33308428,translational_2020
33308426,translational_2020
33306990,translational_2020
33303686,translational_2020
33303684,translational_2020
33303683,translational_2020
33303605,translational_2020
33303589,translational_2020
33303487,translational_2020
33303475,translational_2020
33301709,translational_2020
33301708,translational_2020
33299211,translational_2020
33299206,translational_2020
33299191,translational_2020
33299181,translational_2020
33296701,translational_2020
33293339,translational_2020
33285141,translational_2020
33285139,translational_2020
33284683,translational_2020
33283992,translational_2020
33283991,translational_2020
33278921,translational_2020
33278358,translational_2020
33278357,translational_2020
33278353,translational_2020
33275906,translational_2020
33273071,translational_2020
33273062,translational_2020
33271131,translational_2020
33271130,translational_2020
33268895,translational_2020
33268868,translational_2020
33268459,translational_2020
33264824,translational_2020
33264551,translational_2020
33264547,translational_2020
33264545,translational_2020
33262116,translational_2020
33260195,translational_2020
33259803,translational_2020
33259802,translational_2020
33258889,translational_2020
33258874,translational_2020
33257850,translational_2020
33253040,translational_2020
33253037,translational_2020
33253018,translational_2020
33252872,translational_2020
33252203,translational_2020
33248483,translational_2020
33248470,translational_2020
33248023,translational_2020
33242418,translational_2020
33239802,translational_2020
33239795,translational_2020
33239784,translational_2020
33239318,translational_2020
33234698,translational_2020
33231670,translational_2020
33231669,translational_2020
33231665,translational_2020
33226857,translational_2020
33220856,translational_2020
33214287,translational_2020
33214283,translational_2020
33214279,translational_2020
33214264,translational_2020
33214263,translational_2020
33214249,translational_2020
33214248,translational_2020
33214213,translational_2020
33212011,translational_2020
33212010,translational_2020
33211084,translational_2020
33208941,translational_2020
33207184,translational_2020
33207100,translational_2020
33205992,translational_2020
33204017,translational_2020
33203781,translational_2020
33197352,translational_2020
33197350,translational_2020
33197349,translational_2020
33197348,translational_2020
33197344,translational_2020
33197214,translational_2020
33189186,translational_2020
33189185,translational_2020
33189184,translational_2020
33188775,translational_2020
33187958,translational_2020
33187953,translational_2020
33186534,translational_2020
33186528,translational_2020
33185657,translational_2020
33184236,translational_2020
33181079,translational_2020
33180115,translational_2020
33177717,translational_2020
33177715,translational_2020
33177662,translational_2020
33177105,translational_2020
33176333,translational_2020
33176083,translational_2020
33176081,translational_2020
33176079,translational_2020
33175567,translational_2020
33175121,translational_2020
33173226,translational_2020
33172935,translational_2020
33172846,translational_2020
33171481,translational_2020
33170229,translational_2020
33169024,translational_2020
33168971,translational_2020
33168565,translational_2020
33166222,translational_2020
33159857,translational_2020
33159851,translational_2020
33159009,translational_2020
33157038,translational_2020
33154127,translational_2020
33149306,translational_2020
33149301,translational_2020
33148618,translational_2020
33148535,translational_2020
33147445,translational_2020
33142117,translational_2020
33141207,translational_2020
33139247,translational_2020
33137270,translational_2020
33135662,translational_2020
33129395,translational_2020
33129394,translational_2020
33125892,translational_2020
33125888,translational_2020
33125887,translational_2020
33122426,translational_2020
33122369,translational_2020
33122357,translational_2020
33122355,translational_2020
33116307,translational_2020
33115920,translational_2020
33115726,translational_2020
33115725,translational_2020
33113354,translational_2020
33113309,translational_2020
33112365,translational_2020
33108101,translational_2020
33107930,translational_2020
33106671,translational_2020
33106244,translational_2020
33105097,translational_2020
33105091,translational_2020
33104157,translational_2020
33097561,translational_2020
33097491,translational_2020
33096041,translational_2020
33096020,translational_2020
33093097,translational_2020
33093092,translational_2020
33093065,translational_2020
33091337,translational_2020
33087933,translational_2020
33087928,translational_2020
33087872,translational_2020
33085867,translational_2020
33082293,translational_2020
33082127,translational_2020
33080218,translational_2020
33079137,translational_2020
33079136,translational_2020
33077420,translational_2020
33075272,translational_2020
33075264,translational_2020
33075260,translational_2020
33075257,translational_2020
33074293,translational_2020
33065034,translational_2020
33065033,translational_2020
33065030,translational_2020
33064992,translational_2020
33064990,translational_2020
33064987,translational_2020
33064985,translational_2020
33064982,translational_2020
33064145,translational_2020
33060365,translational_2020
33060364,translational_2020
33060353,translational_2020
33060344,translational_2020
33060197,translational_2020
33058756,translational_2020
33058755,translational_2020
33057573,translational_2020
33057226,translational_2020
33057200,translational_2020
33055131,translational_2020
33053563,translational_2020
33053288,translational_2020
33053287,translational_2020
33053285,translational_2020
33053280,translational_2020
33053276,translational_2020
33049223,translational_2020
33049221,translational_2020
33048152,translational_2020
33046451,translational_2020
33045718,translational_2020
33045177,translational_2020
33044484,translational_2020
33038957,translational_2020
33038955,translational_2020
33038947,translational_2020
33038342,translational_2020
33037066,translational_2020
33037035,translational_2020
33037001,translational_2020
33036984,translational_2020
33035495,translational_2020
33033207,translational_2020
33033203,translational_2020
33033200,translational_2020
33033192,translational_2020
33032997,translational_2020
33032297,translational_2020
33031761,translational_2020
33031745,translational_2020
33031744,translational_2020
33029008,translational_2020
33029007,translational_2020
33028541,translational_2020
33027565,translational_2020
33027511,translational_2020
33024337,translational_2020
33024335,translational_2020
33024331,translational_2020
33022035,translational_2020
33021668,translational_2020
33021660,translational_2020
33017567,translational_2020
33010842,translational_2020
33010824,translational_2020
33010815,translational_2020
33008807,translational_2020
33007268,translational_2020
33007263,translational_2020
33007261,translational_2020
33007218,translational_2020
33004675,translational_2020
33004515,translational_2020
33004514,translational_2020
33004513,translational_2020
33004511,translational_2020
33004510,translational_2020
33004506,translational_2020
33004500,translational_2020
32999459,translational_2020
32999457,translational_2020
32998156,translational_2020
32997908,translational_2020
32987009,translational_2020
32987007,translational_2020
32979941,translational_2020
32979936,translational_2020
32976799,translational_2020
32976798,translational_2020
32976026,translational_2020
32973031,translational_2020
32973030,translational_2020
32973018,translational_2020
32972996,translational_2020
32972995,translational_2020
32972994,translational_2020
32972991,translational_2020
32971042,translational_2020
32970990,translational_2020
32968282,translational_2020
32968276,translational_2020
32968260,translational_2020
32967937,translational_2020
32966831,translational_2020
32966727,translational_2020
32966725,translational_2020
32966721,translational_2020
32966720,translational_2020
32966717,translational_2020
32966716,translational_2020
32960258,translational_2020
32960257,translational_2020
32960255,translational_2020
32960254,translational_2020
32960253,translational_2020
32960252,translational_2020
32960251,translational_2020
32960250,translational_2020
32960249,translational_2020
32960248,translational_2020
32960247,translational_2020
32960246,translational_2020
32958514,translational_2020
32958461,translational_2020
32956605,translational_2020
32956604,translational_2020
32956602,translational_2020
32956601,translational_2020
32956600,translational_2020
32956597,translational_2020
32956596,translational_2020
32955577,translational_2020
32955547,translational_2020
32950081,translational_2020
32949501,translational_2020
32946778,translational_2020
32945854,translational_2020
32945832,translational_2020
32943527,translational_2020
32943509,translational_2020
32943507,translational_2020
32941826,translational_2020
32941825,translational_2020
32941824,translational_2020
32941823,translational_2020
32941803,translational_2020
32941059,translational_2020
32941052,translational_2020
32940635,translational_2020
32939086,translational_2020
32938583,translational_2020
32937047,translational_2020
32936215,translational_2020
32934352,translational_2020
32933904,translational_2020
32931679,translational_2020
32930748,translational_2020
32926825,translational_2020
32926820,translational_2020
32926814,translational_2020
32926813,translational_2020
32926812,translational_2020
32926811,translational_2020
32926810,translational_2020
32919519,translational_2020
32917676,translational_2020
32916131,translational_2020
32916129,translational_2020
32915201,translational_2020
32913098,translational_2020
32913092,translational_2020
32913088,translational_2020
32913087,translational_2020
32913002,translational_2020
32912998,translational_2020
32910907,translational_2020
32910182,translational_2020
32910164,translational_2020
32909958,translational_2020
32908313,translational_2020
32908310,translational_2020
32908304,translational_2020
32905684,translational_2020
32905680,translational_2020
32905679,translational_2020
32905671,translational_2020
32905669,translational_2020
32902588,translational_2020
32897661,translational_2020
32897660,translational_2020
32897351,translational_2020
32897349,translational_2020
32897335,translational_2020
32897325,translational_2020
32896293,translational_2020
32896290,translational_2020
32895228,translational_2020
32895220,translational_2020
32894696,translational_2020
32894691,translational_2020
32888495,translational_2020
32888494,translational_2020
32888430,translational_2020
32887691,translational_2020
32886091,translational_2020
32883884,translational_2020
32883851,translational_2020
32882182,translational_2020
32879494,translational_2020
32879493,translational_2020
32879489,translational_2020
32879487,translational_2020
32878860,translational_2020
32878746,translational_2020
32877699,translational_2020
32877585,translational_2020
32876694,translational_2020
32873599,translational_2020
32871062,translational_2020
32870707,translational_2020
32870706,translational_2020
32870296,translational_2020
32870289,translational_2020
32870288,translational_2020
32870268,translational_2020
32866963,translational_2020
32866962,translational_2020
32866419,translational_2020
32866418,translational_2020
32866416,translational_2020
32866414,translational_2020
32855340,translational_2020
32855339,translational_2020
32855325,translational_2020
32855215,translational_2020
32853558,translational_2020
32848246,translational_2020
32846427,translational_2020
32846158,translational_2020
32846157,translational_2020
32846079,translational_2020
32846069,translational_2020
32846065,translational_2020
32846058,translational_2020
32846057,translational_2020
32843355,translational_2020
32841603,translational_2020
32840587,translational_2020
32839164,translational_2020
32833491,translational_2020
32833488,translational_2020
32822571,translational_2020
32822495,translational_2020
32822206,translational_2020
32820120,translational_2020
32820119,translational_2020
32820093,translational_2020
32819961,translational_2020
32816816,translational_2020
32816815,translational_2020
32814898,translational_2020
32814897,translational_2020
32814895,translational_2020
32814014,translational_2020
32813953,translational_2020
32813950,translational_2020
32813945,translational_2020
32813944,translational_2020
32811981,translational_2020
32810439,translational_2020
32810438,translational_2020
32809008,translational_2020
32809007,translational_2020
32808997,translational_2020
32805178,translational_2020
32805176,translational_2020
32805175,translational_2020
32805174,translational_2020
32805168,translational_2020
32805167,translational_2020
32805165,translational_2020
32805130,translational_2020
32805127,translational_2020
32805126,translational_2020
32805001,translational_2020
32797149,translational_2020
32797148,translational_2020
32795412,translational_2020
32792465,translational_2020
32792462,translational_2020
32792398,translational_2020
32792392,translational_2020
32792385,translational_2020
32790823,translational_2020
32789500,translational_2020
32789492,translational_2020
32788725,translational_2020
32788723,translational_2020
32788292,translational_2020
32786190,translational_2020
32786186,translational_2020
32786185,translational_2020
32786180,translational_2020
32783918,translational_2020
32783915,translational_2020
32783686,translational_2020
32780804,translational_2020
32780125,translational_2020
32777028,translational_2020
32777019,translational_2020
32777002,translational_2020
32771107,translational_2020
32771092,translational_2020
32766736,translational_2020
32764056,translational_2020
32764055,translational_2020
32764050,translational_2020
32763154,translational_2020
32761241,translational_2020
32761166,translational_2020
32760005,translational_2020
32760002,translational_2020
32759999,translational_2020
32758428,translational_2020
32758418,translational_2020
32757524,translational_2020
32757522,translational_2020
32757517,translational_2020
32756549,translational_2020
32753554,translational_2020
32749498,translational_2020
32749496,translational_2020
32749495,translational_2020
32749486,translational_2020
32738956,translational_2020
32738938,translational_2020
32738937,translational_2020
32735329,translational_2020
32732413,translational_2020
32732376,translational_2020
32731257,translational_2020
32728257,translational_2020
32728255,translational_2020
32728214,translational_2020
32728212,translational_2020
32726803,translational_2020
32726802,translational_2020
32726801,translational_2020
32726800,translational_2020
32726550,translational_2020
32726532,translational_2020
32726526,translational_2020
32722908,translational_2020
32721001,translational_2020
32720996,translational_2020
32717743,translational_2020
32717075,translational_2020
32717042,translational_2020
32716707,translational_2020
32716706,translational_2020
32716699,translational_2020
32713835,translational_2020
32711803,translational_2020
32711786,translational_2020
32711785,translational_2020
32711782,translational_2020
32707094,translational_2020
32707092,translational_2020
32706955,translational_2020
32706952,translational_2020
32706533,translational_2020
32706371,translational_2020
32704107,translational_2020
32703907,translational_2020
32703879,translational_2020
32703868,translational_2020
32703866,translational_2020
32703849,translational_2020
32702300,translational_2020
32699415,translational_2020
32699048,translational_2020
32698604,translational_2020
32698192,translational_2020
32698191,translational_2020
32698190,translational_2020
32698189,translational_2020
32697970,translational_2020
32697969,translational_2020
32697968,translational_2020
32692379,translational_2020
32692377,translational_2020
32690477,translational_2020
32687764,translational_2020
32687763,translational_2020
32687762,translational_2020
32687760,translational_2020
32687757,translational_2020
32687756,translational_2020
32687746,translational_2020
32687738,translational_2020
32682466,translational_2020
32681821,translational_2020
32680881,translational_2020
32679111,translational_2020
32675368,translational_2020
32675364,translational_2020
32675360,translational_2020
32675345,translational_2020
32675289,translational_2020
32673598,translational_2020
32673567,translational_2020
32669709,translational_2020
32669689,translational_2020
32669358,translational_2020
32669282,translational_2020
32668444,translational_2020
32668443,translational_2020
32668198,translational_2020
32668132,translational_2020
32668120,translational_2020
32668117,translational_2020
32668105,translational_2020
32665316,translational_2020
32663246,translational_2020
32661059,translational_2020
32661058,translational_2020
32659783,translational_2020
32659212,translational_2020
32653081,translational_2020
32653080,translational_2020
32650338,translational_2020
32649880,translational_2020
32649874,translational_2020
32647003,translational_2020
32646994,translational_2020
32646992,translational_2020
32646989,translational_2020
32646851,translational_2020
32645327,translational_2020
32645326,translational_2020
32644129,translational_2020
32641834,translational_2020
32641809,translational_2020
32641435,translational_2020
32641421,translational_2020
32640463,translational_2020
32640136,translational_2020
32640133,translational_2020
32640129,translational_2020
32639547,translational_2020
32639537,translational_2020
32636183,translational_2020
32633800,translational_2020
32633793,translational_2020
32633792,translational_2020
32633787,translational_2020
32632244,translational_2020
32631907,translational_2020
32631894,translational_2020
32631885,translational_2020
32631492,translational_2020
32629479,translational_2020
32628904,translational_2020
32628903,translational_2020
32628534,translational_2020
32628244,translational_2020
32622398,translational_2020
32622382,translational_2020
32621799,translational_2020
32619424,translational_2020
32619416,translational_2020
32616672,translational_2020
32614638,translational_2020
32614382,translational_2020
32612235,translational_2020
32609983,translational_2020
32609976,translational_2020
32604404,translational_2020
32603654,translational_2020
32602892,translational_2020
32601491,translational_2020
32601102,translational_2020
32601089,translational_2020
32601065,translational_2020
32598831,translational_2020
32598830,translational_2020
32598225,translational_2020
32598218,translational_2020
32597963,translational_2020
32591407,translational_2020
32591348,translational_2020
32589956,translational_2020
32589955,translational_2020
32589946,translational_2020
32589451,translational_2020
32589371,translational_2020
32589200,translational_2020
32584373,translational_2020
32581364,translational_2020
32581361,translational_2020
32581359,translational_2020
32581358,translational_2020
32579819,translational_2020
32579808,translational_2020
32579379,translational_2020
32579163,translational_2020
32579161,translational_2020
32579158,translational_2020
32574072,translational_2020
32573653,translational_2020
32571838,translational_2020
32568575,translational_2020
32568573,translational_2020
32568572,translational_2020
32563380,translational_2020
32563358,translational_2020
32563356,translational_2020
32559462,translational_2020
32558485,translational_2020
32558474,translational_2020
32558470,translational_2020
32556217,translational_2020
32556122,translational_2020
32556085,translational_2020
32555459,translational_2020
32555388,translational_2020
32554754,translational_2020
32554705,translational_2020
32554597,translational_2020
32554594,translational_2020
32554584,translational_2020
32554581,translational_2020
32551813,translational_2020
32543794,translational_2020
32543691,translational_2020
32543675,translational_2020
32540904,translational_2020
32540903,translational_2020
32540902,translational_2020
32540901,translational_2020
32539521,translational_2020
32539520,translational_2020
32539518,translational_2020
32539517,translational_2020
32539507,translational_2020
32539506,translational_2020
32539438,translational_2020
32539093,translational_2020
32534649,translational_2020
32534638,translational_2020
32534635,translational_2020
32534631,translational_2020
32534626,translational_2020
32532802,translational_2020
32528174,translational_2020
32527928,translational_2020
32527925,translational_2020
32527812,translational_2020
32525519,translational_2020
32518340,translational_2020
32513865,translational_2020
32513666,translational_2020
32513659,translational_2020
32513411,translational_2020
32512579,translational_2020
32512578,translational_2020
32511670,translational_2020
32505245,translational_2020
32504021,translational_2020
32504018,translational_2020
32503802,translational_2020
32502393,translational_2020
32501505,translational_2020
32501504,translational_2020
32501493,translational_2020
32499653,translational_2020
32499651,translational_2020
32499649,translational_2020
32499647,translational_2020
32499639,translational_2020
32499443,translational_2020
32499442,translational_2020
32499439,translational_2020
32499428,translational_2020
32499317,translational_2020
32499217,translational_2020
32497511,translational_2020
32497510,translational_2020
32497509,translational_2020
32497499,translational_2020
32496560,translational_2020
32494083,translational_2020
32494066,translational_2020
32494005,translational_2020
32493767,translational_2020
32492407,translational_2020
32492306,translational_2020
32492299,translational_2020
32492297,translational_2020
32492296,translational_2020
32492088,translational_2020
32484532,translational_2020
32484526,translational_2020
32483373,translational_2020
32479827,translational_2020
32479826,translational_2020
32479746,translational_2020
32479170,translational_2020
32479164,translational_2020
32478827,translational_2020
32478797,translational_2020
32473681,translational_2020
32473680,translational_2020
32473127,translational_2020
32471884,translational_2020
32471856,translational_2020
32470397,translational_2020
32470396,translational_2020
32467386,translational_2020
32467379,translational_2020
32467376,translational_2020
32464113,translational_2020
32463459,translational_2020
32463427,translational_2020
32461658,translational_2020
32461652,translational_2020
32461644,translational_2020
32461212,translational_2020
32459926,translational_2020
32459924,translational_2020
32459922,translational_2020
32459921,translational_2020
32459918,translational_2020
32459914,translational_2020
32459529,translational_2020
32459287,translational_2020
32457027,translational_2020
32454513,translational_2020
32454512,translational_2020
32453373,translational_2020
32453356,translational_2020
32453355,translational_2020
32453350,translational_2020
32445698,translational_2020
32445693,translational_2020
32445692,translational_2020
32444366,translational_2020
32444351,translational_2020
32442303,translational_2020
32442246,translational_2020
32442035,translational_2020
32439786,translational_2020
32439659,translational_2020
32439658,translational_2020
32437659,translational_2020
32437596,translational_2020
32434946,translational_2020
32434945,translational_2020
32434758,translational_2020
32434211,translational_2020
32433862,translational_2020
32433860,translational_2020
32433840,translational_2020
32433639,translational_2020
32427965,translational_2020
32427915,translational_2020
32427435,translational_2020
32427305,translational_2020
32427304,translational_2020
32423580,translational_2020
32423351,translational_2020
32422645,translational_2020
32422124,translational_2020
32422122,translational_2020
32422099,translational_2020
32422097,translational_2020
32422088,translational_2020
32422080,translational_2020
32422077,translational_2020
32422076,translational_2020
32422072,translational_2020
32422062,translational_2020
