pmid,year
8967711,1996
8967710,1996
8967709,1996
8967708,1996
8967705,1996
8967689,1996
8967676,1996
8967673,1996
8967672,1996
8967671,1996
8967670,1996
8928995,1996
8928993,1996
8928992,1996
8928991,1996
8928990,1996
8928989,1996
8928988,1996
8928987,1996
8928986,1996
8928985,1996
8928984,1996
8929014,1996
8929011,1996
8929010,1996
8929009,1996
8929008,1996
8929007,1996
8929006,1996
8929005,1996
8929004,1996
8929003,1996
8849157,1996
8849154,1996
8849153,1996
8849152,1996
8849151,1996
8849150,1996
8849149,1996
8849148,1996
8849147,1996
8849146,1996
8815763,1996
8815760,1996
8815759,1996
8815758,1996
8815757,1996
8815756,1996
8815755,1996
8815754,1996
8815752,1996
9173864,1996
8779468,1996
8779467,1996
8779464,1996
8779463,1996
8779462,1996
8779461,1996
8779460,1996
8779459,1996
8779458,1996
8779457,1996
8779454,1996
8702094,1996
8702092,1996
8702091,1996
8702090,1996
8702089,1996
8702087,1996
8702085,1996
8678400,1996
8678399,1996
8678397,1996
8678396,1996
8678395,1996
8678394,1996
8678391,1996
8678390,1996
8678388,1996
8678387,1996
8686986,1996
8686985,1996
8686982,1996
8686981,1996
8686980,1996
8686979,1996
8686977,1996
8686976,1996
8686974,1996
8678386,1996
8678372,1996
8678368,1996
8678367,1996
8678366,1996
8678365,1996
8678364,1996
8678363,1996
8644996,1996
8644991,1996
8644990,1996
8644989,1996
8644988,1996
8644987,1996
8644986,1996
8644985,1996
8644984,1996
8644983,1996
8633826,1996
8633823,1996
8633822,1996
8633821,1996
8633820,1996
8633819,1996
8624068,1996
8624067,1996
8624066,1996
8624065,1996
8624064,1996
8624063,1996
8624061,1996
8624052,1996
8610925,1996
8610922,1996
8610921,1996
8610920,1996
8610919,1996
8610918,1996
8610917,1996
8610916,1996
8610915,1996
8610956,1996
8610954,1996
8610953,1996
8610952,1996
8610951,1996
8610950,1996
8610949,1996
8610946,1996
8633839,1996
8633838,1996
8633837,1996
8633836,1996
8633835,1996
8633834,1996
8633833,1996
8633832,1996
8607599,1996
8607596,1996
8607595,1996
8607594,1996
8607593,1996
8607592,1996
8607591,1996
8607590,1996
8597327,1996
8597324,1996
8597323,1996
8597322,1996
8597319,1996
8597318,1996
8597316,1996
8602715,1996
8602714,1996
8602710,1996
8602709,1996
8602708,1996
8602707,1996
8602706,1996
8602705,1996
8602704,1996
8602703,1996
8554254,1996
8554253,1996
8554252,1996
8554250,1996
8554249,1996
8554247,1996
8554235,1996
8554234,1996
8554229,1996
8554228,1996
8554226,1996
8554225,1996
8554223,1996
8554222,1996
8534008,1996
8534003,1996
8534002,1996
8534001,1996
8534000,1996
8533999,1996
8533998,1996
8533997,1996
8533994,1996
8533993,1996
8554221,1996
8554220,1996
8554219,1996
8554216,1996
8554215,1996
8554214,1996
8554213,1996
8554212,1996
8554211,1996
8554210,1996
8554209,1996
8554208,1996
8554207,1996
8554204,1996
8554203,1996
8554202,1996
8554201,1996
8554200,1996
7503482,1996
7503478,1996
7503477,1996
7503476,1996
7503475,1996
7503474,1996
7503473,1996
7503471,1996
