pmid,year
24473452,2013
24473450,2013
24473448,2013
24473447,2013
24473446,2013
24473061,2013
24473060,2013
24379214,2013
24365752,2013
24361856,2013
24361526,2013
24355614,2013
24355578,2013
24355539,2013
24355538,2013
24355537,2013
24355389,2013
24355388,2013
24355387,2013
24355386,2013
24353156,2013
24353102,2013
24353099,2013
24344239,2013
24343113,2013
24342776,2013
24342737,2013
24342630,2013
24336454,2013
24336453,2013
24336452,2013
24336392,2013
24336308,2013
24336307,2013
24336306,2013
24336305,2013
24336304,2013
24336097,2013
24336003,2013
24336002,2013
24336001,2013
24335808,2013
24335671,2013
24335670,2013
24335669,2013
24335668,2013
24335667,2013
24333986,2013
24327182,2013
24327056,2013
24326891,2013
24326890,2013
24326887,2013
24326886,2013
24324215,2013
24324214,2013
24322401,2013
24322400,2013
24322399,2013
24309077,2013
24308922,2013
24307726,2013
24307724,2013
24304677,2013
24301267,2013
24301266,2013
24298001,2013
24297998,2013
24297997,2013
24297978,2013
24297976,2013
24297974,2013
24297973,2013
24286986,2013
24286985,2013
24285799,2013
24285798,2013
24284339,2013
24284338,2013
24284336,2013
24284017,2013
24277626,2013
24277380,2013
24277340,2013
24277339,2013
24277338,2013
24277210,2013
24270551,2013
24270509,2013
24270508,2013
24270507,2013
24270506,2013
24270369,2013
24264769,2013
24259330,2013
24259329,2013
24259328,2013
24259327,2013
24259326,2013
24259324,2013
24259323,2013
24259033,2013
24255922,2013
24252565,2013
24247121,2013
24247073,2013
24246839,2013
24246666,2013
24243980,2013
24243979,2013
24243975,2013
24231181,2013
24231180,2013
24231179,2013
24231178,2013
24227830,2013
24227829,2013
24227827,2013
24222677,2013
24222674,2013
24222673,2013
24222482,2013
24222481,2013
24222480,2013
24217439,2013
24217269,2013
24217206,2013
24212767,2013
24212252,2013
24212107,2013
24212106,2013
24212105,2013
24201564,2013
24201166,2013
24201165,2013
24201164,2013
24196503,2013
24196498,2013
24192971,2013
24192969,2013
24192967,2013
24192646,2013
24191272,2013
24191271,2013
24191270,2013
24188903,2013
24185132,2013
24185131,2013
24179085,2013
24179043,2013
24179035,2013
24179034,2013
24179033,2013
24174640,2013
24170179,2013
24170156,2013
24169944,2013
24169943,2013
24169606,2013
24169570,2013
24169257,2013
24167204,2013
24167203,2013
24167202,2013
24167200,2013
24163087,2013
24163086,2013
24162944,2013
24162941,2013
24162938,2013
24157640,2013
24157499,2013
24157498,2013
24157497,2013
24149822,2013
24149821,2013
24149820,2013
24149819,2013
24149818,2013
24149521,2013
24149520,2013
24149519,2013
24144969,2013
24144872,2013
24144871,2013
24144870,2013
24144869,2013
24141886,2013
24141605,2013
24141604,2013
24136796,2013
24136685,2013
24136636,2013
24136633,2013
24133143,2013
24133129,2013
24133127,2013
24133126,2013
24129480,2013
24129382,2013
24129059,2013
24128979,2013
24128977,2013
24126859,2013
24126858,2013
24124158,2013
24124105,2013
24114117,2013
24108171,2013
24108170,2013
24108161,2013
24108160,2013
24108159,2013
24108155,2013
24103763,2013
24103695,2013
24103694,2013
24103540,2013
24103538,2013
24103537,2013
24103443,2013
24097131,2013
24092942,2013
24092941,2013
24089429,2013
24089428,2013
24089427,2013
24089426,2013
24089425,2013
24089424,2013
24081818,2013
24081817,2013
24072882,2013
24070876,2013
24068729,2013
24068724,2013
24068714,2013
24065613,2013
24065554,2013
24065553,2013
24065552,2013
24065433,2013
24065428,2013
24065427,2013
24062187,2013
24062186,2013
24055923,2013
24055922,2013
24052586,2013
24052585,2013
24052584,2013
24052583,2013
24052582,2013
24052581,2013
24052580,2013
24046287,2013
24046286,2013
24046285,2013
24046156,2013
24046155,2013
24041704,2013
24041703,2013
24041702,2013
24037791,2013
24030673,2013
24030563,2013
24030561,2013
24030560,2013
24030480,2013
24026467,2013
24022037,2013
24022034,2013
24021756,2013
24021722,2013
24018101,2013
