pmid,year
24449940,2013
24361105,2013
24361104,2013
24360283,2013
24360282,2013
24360281,2013
24360280,2013
24360279,2013
24360278,2013
24360277,2013
24360276,2013
24360275,2013
24360274,2013
24360273,2013
24360272,2013
24360271,2013
24360270,2013
24360269,2013
24360268,2013
24332913,2013
24315485,2013
24315484,2013
24315106,2013
24315105,2013
24315104,2013
24315103,2013
24315102,2013
24315101,2013
24315100,2013
24315099,2013
24315098,2013
24315097,2013
24315096,2013
24315095,2013
24315094,2013
24315093,2013
24315092,2013
24315091,2013
24315090,2013
24315089,2013
24315088,2013
24315087,2013
24290359,2013
24290358,2013
24269006,2013
24267898,2013
24267896,2013
24267895,2013
24267894,2013
24267893,2013
24267892,2013
24267891,2013
24267890,2013
24267889,2013
24267888,2013
24267887,2013
24267886,2013
24267885,2013
24267884,2013
24267883,2013
24267882,2013
24267881,2013
24243025,2013
24243024,2013
24243023,2013
24243022,2013
24243021,2013
24243020,2013
24243019,2013
24243018,2013
24243017,2013
24243016,2013
24243015,2013
24243014,2013
24243013,2013
24243012,2013
24243011,2013
24243010,2013
24243009,2013
24243008,2013
24243007,2013
24243006,2013
24238962,2013
24238961,2013
24218697,2013
24210919,2013
24210918,2013
24209692,2013
24209629,2013
24209628,2013
24209627,2013
24209626,2013
24209625,2013
24209624,2013
24209623,2013
24209622,2013
24209621,2013
24209620,2013
24209619,2013
24209618,2013
24209617,2013
24209616,2013
24209615,2013
24209614,2013
24209613,2013
24209612,2013
24183448,2013
24157218,2013
24139898,2013
24120143,2013
24120142,2013
24120141,2013
24120140,2013
24120139,2013
24120138,2013
24120137,2013
24120136,2013
24120135,2013
24120134,2013
24120133,2013
24120132,2013
24120131,2013
24120130,2013
24120129,2013
24120128,2013
24120127,2013
24120126,2013
24119843,2013
24119842,2013
24119841,2013
24094650,2013
24075010,2013
24075009,2013
24074872,2013
24074871,2013
24074870,2013
24074869,2013
24074868,2013
24074867,2013
24074866,2013
24074865,2013
24074864,2013
24074863,2013
24074862,2013
24074861,2013
24074860,2013
24074859,2013
24074858,2013
24074857,2013
24074856,2013
24074855,2013
24074854,2013
24074853,2013
24055367,2013
24055366,2013
24035192,2013
24034256,2013
24034255,2013
24034254,2013
24034253,2013
24034252,2013
24034251,2013
24034250,2013
24034249,2013
24034248,2013
24034247,2013
24034246,2013
24034245,2013
24034244,2013
24034243,2013
24034242,2013
24034241,2013
24034240,2013
24034239,2013
24034238,2013
24034237,2013
24034236,2013
24012335,2013
23993102,2013
23993101,2013
23993100,2013
23993099,2013
23993098,2013
23993097,2013
23993096,2013
23993095,2013
23993094,2013
23993093,2013
23993092,2013
23993091,2013
23993090,2013
23993089,2013
23993088,2013
23993087,2013
23993086,2013
23993085,2013
23992847,2013
23992846,2013
23972393,2013
23954414,2013
23954413,2013
23953121,2013
23953120,2013
23953119,2013
23953118,2013
23953117,2013
23953116,2013
23953115,2013
23953114,2013
23953113,2013
23953112,2013
23953111,2013
23953110,2013
23953109,2013
23953108,2013
23953107,2013
23953106,2013
23953105,2013
23953104,2013
23932121,2013
23932120,2013
23911330,2013
23911329,2013
23911328,2013
23911327,2013
23911326,2013
23911325,2013
23911324,2013
23911323,2013
23911322,2013
23911321,2013
23911320,2013
23911319,2013
23911318,2013
23911317,2013
23911316,2013
23911315,2013
23911314,2013
23910378,2013
23901416,2013
23890821,2013
23890820,2013
23890819,2013
23871696,2013
23870132,2013
23870131,2013
23870130,2013
23870129,2013
23870128,2013
23870127,2013
23870126,2013
23870125,2013
23870124,2013
23870123,2013
23870122,2013
23870121,2013
23870120,2013
23870119,2013
23870118,2013
23870117,2013
23870116,2013
23870115,2013
23870114,2013
23849981,2013
23830207,2013
23827686,2013
23827685,2013
23827684,2013
23827683,2013
23827682,2013
23827681,2013
23827680,2013
23827679,2013
23827678,2013
23827677,2013
23827676,2013
23827675,2013
23827674,2013
23827673,2013
