pmid,year
21191004,2010
21177511,2010
21177510,2010
21177509,2010
21177508,2010
21177507,2010
21177506,2010
21177505,2010
21177498,2010
21177497,2010
21177496,2010
21156953,2010
21156952,2010
21156951,2010
21156950,2010
21156949,2010
21156948,2010
21156947,2010
21156939,2010
21156938,2010
21148134,2010
21139116,2010
21139115,2010
21139114,2010
21139113,2010
21139112,2010
21139111,2010
21139110,2010
21139101,2010
21139100,2010
21119089,2010
21119088,2010
21119087,2010
21119086,2010
21119085,2010
21119084,2010
21119083,2010
21119077,2010
21119076,2010
21119074,2010
21098775,2010
21098774,2010
21098773,2010
21098772,2010
21098771,2010
21098770,2010
21098763,2010
21098762,2010
21081733,2010
21081732,2010
21081731,2010
21081730,2010
21081729,2010
21081728,2010
21081727,2010
21081716,2010
21081715,2010
21078811,2010
21078810,2010
21078809,2010
21078807,2010
21076174,2010
21068145,2010
21063017,2010
21063016,2010
21063015,2010
21063014,2010
21063013,2010
21063012,2010
21063011,2010
21063002,2010
21063001,2010
21060104,2010
21057136,2010
21045106,2010
21045104,2010
21045103,2010
21045102,2010
21045101,2010
21045100,2010
21045099,2010
21045098,2010
21045097,2010
21045096,2010
21045095,2010
21045087,2010
21045086,2010
21041419,2010
20978261,2010
20978260,2010
20978259,2010
20978258,2010
20978249,2010
20978248,2010
20959584,2010
20959583,2010
20959582,2010
20959581,2010
20959580,2010
20959579,2010
20959578,2010
20959577,2010
20959567,2010
20959566,2010
20940392,2010
20940389,2010
20940388,2010
20940387,2010
20940386,2010
20940385,2010
20940384,2010
20940383,2010
20940382,2010
20940381,2010
20940374,2010
20940373,2010
20937719,2010
20935338,2010
20935337,2010
20924021,2010
20924018,2010
20924017,2010
20924016,2010
20924015,2010
20924014,2010
20924013,2010
20924012,2010
20924011,2010
20924010,2010
20924008,2010
20924000,2010
20923999,2010
20858884,2010
20858883,2010
20858882,2010
20858881,2010
20858880,2010
20858879,2010
20858878,2010
20858877,2010
20858869,2010
20858868,2010
20841543,2010
20841542,2010
20841538,2010
20841537,2010
20841536,2010
20841535,2010
20841534,2010
20841533,2010
20841532,2010
20841531,2010
20841530,2010
20841529,2010
20841528,2010
20841527,2010
20841524,2010
20841523,2010
20830825,2010
20823440,2010
20823439,2010
20823438,2010
20823437,2010
20823436,2010
20823435,2010
20823434,2010
20823433,2010
20823432,2010
20823426,2010
20823425,2010
20815104,2010
20810381,2010
20810380,2010
20810379,2010
20810378,2010
20810377,2010
20810376,2010
20810375,2010
20810374,2010
20810363,2010
20810362,2010
20805624,2010
20805623,2010
20736477,2010
20736476,2010
20736475,2010
20736474,2010
20736473,2010
20736472,2010
20736471,2010
20736470,2010
20736469,2010
20736458,2010
20736457,2010
20726050,2010
20716745,2010
20716744,2010
20716743,2010
20716742,2010
20716741,2010
20716740,2010
20716739,2010
20716738,2010
20716737,2010
20716729,2010
20716728,2010
20713544,2010
20699463,2010
20699462,2010
20699461,2010
20699460,2010
20699459,2010
20699458,2010
20699457,2010
20699456,2010
20699455,2010
20699446,2010
20699445,2010
30227691,2010
20682941,2010
20682940,2010
20682939,2010
20682938,2010
20682937,2010
20682936,2010
20682935,2010
20682934,2010
20682933,2010
20682932,2010
20682924,2010
20682923,2010
20664050,2010
20664049,2010
20664048,2010
20664047,2010
20664046,2010
20664045,2010
20664044,2010
20664043,2010
20664042,2010
20664030,2010
20664029,2010
20639571,2010
