pmid,year
23364702,2012
23320294,2012
23320292,2012
23320291,2012
23320290,2012
23320289,2012
23320288,2012
23320287,2012
23320286,2012
23320285,2012
23320284,2012
23263185,2012
23263184,2012
23263183,2012
23263182,2012
23263181,2012
23263180,2012
23257886,2012
23257885,2012
23257884,2012
23257883,2012
23257882,2012
23257881,2012
23257880,2012
23257865,2012
23257864,2012
23257863,2012
23257862,2012
23257843,2012
23254976,2012
23254975,2012
23254974,2012
23254973,2012
23254972,2012
23254971,2012
23254970,2012
23254969,2012
23254940,2012
23254938,2012
23254936,2012
23254935,2012
23254933,2012
23254931,2012
23254930,2012
23254929,2012
23243677,2012
23242140,2012
23242139,2012
23242138,2012
23242137,2012
23236609,2012
23235883,2012
23235882,2012
23235881,2012
23235880,2012
23235879,2012
23235878,2012
23235877,2012
23235876,2012
23235875,2012
23235874,2012
23235861,2012
23235860,2012
23235840,2012
23235832,2012
23235831,2012
23235830,2012
23235829,2012
23235828,2012
23235827,2012
23235824,2012
23235823,2012
23235822,2012
23222673,2012
23222672,2012
23222671,2012
23222670,2012
23222669,2012
23222668,2012
23222667,2012
23222666,2012
23222665,2012
23222614,2012
23222613,2012
23222612,2012
23222611,2012
23222610,2012
23222601,2012
23222591,2012
23222590,2012
23222570,2012
23222544,2012
23222543,2012
23222542,2012
23222541,2012
23222540,2012
23222524,2012
23222523,2012
23222521,2012
23222520,2012
23222519,2012
23222518,2012
23222517,2012
23201691,2012
23201690,2012
23201688,2012
23201686,2012
23201685,2012
23201684,2012
23201682,2012
23201681,2012
23201680,2012
23201679,2012
23201678,2012
23201676,2012
23192153,2012
23192151,2012
23192150,2012
23192149,2012
23192148,2012
23192147,2012
23192146,2012
23192145,2012
23192130,2012
23192129,2012
23192107,2012
23189320,2012
23189319,2012
23178811,2012
23178810,2012
23178809,2012
23178808,2012
23178807,2012
23172216,2012
23172215,2012
23172214,2012
23172213,2012
23172199,2012
23172198,2012
23172178,2012
23172147,2012
23172146,2012
23172145,2012
23172144,2012
23172143,2012
23172142,2012
23172141,2012
23172139,2012
23162862,2012
23160494,2012
23160493,2012
23160492,2012
23160491,2012
23160490,2012
23151588,2012
23151587,2012
23151586,2012
23151585,2012
23151584,2012
23151583,2012
23151582,2012
23151581,2012
23151580,2012
23151579,2012
23151578,2012
23151577,2012
23151576,2012
23151572,2012
23151562,2012
23151561,2012
23151541,2012
23151482,2012
23151480,2012
23151479,2012
23151478,2012
23151476,2012
23151475,2012
23143335,2012
23143334,2012
23143333,2012
23143332,2012
23139939,2012
23136658,2012
23136657,2012
23136656,2012
23136655,2012
23136654,2012
23136653,2012
23136652,2012
23136651,2012
23136650,2012
23136649,2012
23135471,2012
23135470,2012
23135469,2012
23135468,2012
23135467,2012
23135461,2012
23135450,2012
23135449,2012
23135429,2012
23135405,2012
23135404,2012
23135403,2012
23135402,2012
23135401,2012
23135399,2012
23135398,2012
23135396,2012
23135395,2012
23133841,2012
23128234,2012
23128233,2012
23128232,2012
23128231,2012
23128230,2012
23128229,2012
23128228,2012
23128227,2012
23128226,2012
23128225,2012
23128211,2012
23128210,2012
23128209,2012
23128188,2012
23123858,2012
23123857,2012
23123854,2012
23123849,2012
23123848,2012
23106084,2012
23103876,2012
23103875,2012
23103874,2012
23103873,2012
23103872,2012
23103871,2012
23103869,2012
23103868,2012
23103867,2012
23103865,2012
23103864,2012
23103863,2012
23103862,2012
23099408,2012
23099407,2012
23099406,2012
23099405,2012
23099399,2012
23099384,2012
23099383,2012
23099365,2012
23086150,2012
23086149,2012
23086147,2012
23086146,2012
23086145,2012
23086144,2012
23086143,2012
23082323,2012
23075989,2012
23075988,2012
23075987,2012
23075986,2012
23075985,2012
23075966,2012
23075965,2012
23075964,2012
23075962,2012
23075943,2012
23075853,2012
23075852,2012
23075851,2012
23075850,2012
23075849,2012
23075848,2012
23075845,2012
23075844,2012
23066544,2012
23064232,2012
23064231,2012
23064230,2012
23064229,2012
23064228,2012
23064227,2012
23064226,2012
23064225,2012
23060196,2012
23060195,2012
23060194,2012
23060193,2012
23060192,2012
23060191,2012
23060190,2012
23060189,2012
23060188,2012
23060173,2012
23060172,2012
23060151,2012
23051770,2012
23051769,2012
23051764,2012
23051754,2012
23051753,2012
23051752,2012
23051751,2012
23051749,2012
23051748,2012
23051747,2012
23051746,2012
23045731,2012
23041932,2012
23041931,2012
23041930,2012
23041929,2012
23041928,2012
23038472,2012
23038471,2012
23038470,2012
23038469,2012
23038468,2012
23038467,2012
23038466,2012
23038449,2012
23038448,2012
23038429,2012
23034653,2012
23034652,2012
23034651,2012
23034650,2012
23034649,2012
23034648,2012
23034647,2012
23025001,2012
23023134,2012
23023133,2012
23023132,2012
23023131,2012
23023130,2012
23023129,2012
23023128,2012
23023127,2012
23023126,2012
23023125,2012
23023124,2012
23023123,2012
23018966,2012
23018965,2012
23018964,2012
23018963,2012
23018949,2012
23018948,2012
23018947,2012
23018928,2012
23013716,2012
23013715,2012
23013714,2012
23013713,2012
23013712,2012
23013711,2012
23013710,2012
23013709,2012
23013708,2012
23013707,2012
23002456,2012
23000902,2012
23000901,2012
23000900,2012
23000899,2012
23000898,2012
23000897,2012
22996560,2012
22996558,2012
22996557,2012
22996556,2012
22996555,2012
22996554,2012
22996553,2012
22996552,2012
22996544,2012
22996534,2012
22996532,2012
22996511,2012
22992527,2012
22992525,2012
22992524,2012
22992523,2012
22992520,2012
22992519,2012
22982992,2012
22982991,2012
22982990,2012
22972301,2012
22972299,2012
22972298,2012
22972297,2012
22972296,2012
22972295,2012
22972294,2012
22972279,2012
22972278,2012
22972258,2012
22972195,2012
22972194,2012
22972193,2012
22972192,2012
22972191,2012
22962705,2012
22962696,2012
22960785,2012
22960746,2012
22960745,2012
22960744,2012
22960743,2012
22955625,2012
22955624,2012
22955623,2012
22955622,2012
22955621,2012
22955620,2012
22955619,2012
22955618,2012
22955617,2012
22955616,2012
22955614,2012
22955613,2012
22955612,2012
22955604,2012
22955594,2012
22951970,2012
22951968,2012
22951967,2012
22951966,2012
22940866,2012
22940865,2012
22940864,2012
22940863,2012
22940862,2012
22937537,2012
22932440,2012
22932439,2012
22932438,2012
22932437,2012
22932435,2012
22932434,2012
22932433,2012
22932432,2012
22932392,2012
22932389,2012
22932388,2012
22932387,2012
22932386,2012
22932385,2012
22932384,2012
22932377,2012
22932363,2012
22932362,2012
22932342,2012
22932271,2012
22932270,2012
22932268,2012
22932267,2012
22922650,2012
22922649,2012
22922648,2012
22922647,2012
22922646,2012
22919707,2012
22914170,2012
22914168,2012
22914167,2012
22914166,2012
22914165,2012
22914164,2012
22914163,2012
22914157,2012
22914151,2012
22914150,2012
22914130,2012
22914093,2012
22914092,2012
22914091,2012
22914090,2012
22914087,2012
22902503,2012
22902502,2012
22902501,2012
22902500,2012
22900265,2012
22895343,2012
22895342,2012
22895341,2012
22895340,2012
22895339,2012
22895338,2012
22895337,2012
22895336,2012
22895335,2012
22895334,2012
22895333,2012
22895318,2012
22895298,2012
22895194,2012
22895193,2012
22895192,2012
22895189,2012
22895188,2012
22895187,2012
22895186,2012
22885700,2012
22885699,2012
22885698,2012
22885697,2012
22880209,2012
22878721,2012
22878720,2012
22878719,2012
22878717,2012
22878716,2012
22874966,2012
22874965,2012
22874964,2012
22874963,2012
22874962,2012
22874961,2012
22874947,2012
22874928,2012
22864417,2012
22864416,2012
22864415,2012
22859210,2012
22859208,2012
22859207,2012
22859206,2012
22859205,2012
22859204,2012
22859203,2012
22859202,2012
22859201,2012
22859186,2012
22859166,2012
22854782,2012
22854781,2012
22854780,2012
22854778,2012
22854777,2012
22844678,2012
22842904,2012
22842903,2012
22842902,2012
22842901,2012
22842900,2012
22837006,2012
22837004,2012
22837003,2012
22837002,2012
22837001,2012
22837000,2012
22836999,2012
22836983,2012
22836963,2012
22832584,2012
22832583,2012
22832582,2012
22832581,2012
22832579,2012
22820256,2012
22820255,2012
22820254,2012
22820253,2012
22820252,2012
22816112,2012
22810700,2012
22810699,2012
22810698,2012
22810697,2012
22810696,2012
22810695,2012
22810679,2012
22810678,2012
22810677,2012
22810656,2012
22810590,2012
22810589,2012
22810588,2012
22810587,2012
22810586,2012
22810585,2012
22810584,2012
22801506,2012
22801505,2012
22801504,2012
22801503,2012
22801502,2012
22801501,2012
22801500,2012
22801499,2012
22801498,2012
22801496,2012
22801495,2012
22801494,2012
22801493,2012
22801492,2012
22801491,2012
22797518,2012
22792548,2012
22785319,2012
22785318,2012
22785317,2012
22785316,2012
22785315,2012
22785314,2012
22785313,2012
22785305,2012
22785296,2012
22785295,2012
22785275,2012
22768394,2012
22763554,2012
22763553,2012
22763552,2012
22763551,2012
22763550,2012
22763548,2012
22763547,2012
22763546,2012
22763534,2012
22763533,2012
22763458,2012
22763456,2012
22763455,2012
22763454,2012
22763453,2012
22763452,2012
22763451,2012
22763450,2012
22763449,2012
22763448,2012
22763447,2012
22763445,2012
22763444,2012
22763443,2012
22763442,2012
22763441,2012
22763440,2012
22763439,2012
22763438,2012
22763437,2012
22763436,2012
22763435,2012
22745955,2012
22739319,2012
22739317,2012
22739316,2012
22739315,2012
22739314,2012
22739313,2012
22739307,2012
22739296,2012
22739295,2012
22739274,2012
22730564,2012
22722868,2012
22722867,2012
22722866,2012
22722865,2012
22722864,2012
22722863,2012
22722862,2012
22722861,2012
22722860,2012
22722859,2012
22722858,2012
22722857,2012
22722856,2012
22722855,2012
22722854,2012
22722853,2012
22722852,2012
22722851,2012
22722850,2012
22722849,2012
22722848,2012
22722847,2012
22722846,2012
22722845,2012
22722843,2012
22722842,2012
22722840,2012
22722839,2012
22722837,2012
22722836,2012
22722835,2012
22722834,2012
22722833,2012
22722832,2012
22722831,2012
22722830,2012
22722829,2012
22722828,2012
22722207,2012
22722205,2012
22722204,2012
22722203,2012
22722202,2012
22722201,2012
22722200,2012
22722199,2012
22722198,2012
22722197,2012
22722196,2012
22722195,2012
22722194,2012
22722193,2012
22722192,2012
22722191,2012
22722190,2012
22722189,2012
22722188,2012
22722187,2012
22722186,2012
22722185,2012
22722184,2012
22722178,2012
22722174,2012
22717403,2012
22717402,2012
22717401,2012
22717400,2012
22717399,2012
22717398,2012
22717397,2012
22717396,2012
22717395,2012
22717394,2012
22708126,2012
22699623,2012
22699622,2012
22699621,2012
22699620,2012
22699619,2012
22699618,2012
22699617,2012
22699616,2012
22699615,2012
22699614,2012
22699613,2012
22699612,2012
22699611,2012
22699610,2012
22699609,2012
22699608,2012
22699595,2012
22699594,2012
22699593,2012
22699573,2012
22685710,2012
22678297,2012
22678296,2012
22678295,2012
22678294,2012
22678293,2012
22678292,2012
22678291,2012
22678290,2012
22678289,2012
22678288,2012
22678287,2012
22678286,2012
22678285,2012
22678284,2012
22678283,2012
22678282,2012
22678281,2012
22678280,2012
22678279,2012
22678278,2012
22678264,2012
22678263,2012
22678244,2012
22670262,2012
22660332,2012
22660331,2012
22660330,2012
22660329,2012
22660328,2012
22660327,2012
22660326,2012
22660325,2012
22660324,2012
22660323,2012
22660322,2012
22660321,2012
22660320,2012
22660319,2012
22660318,2012
22660303,2012
22660302,2012
22660280,2012
22648505,2012
22648504,2012
22648503,2012
22648502,2012
22648501,2012
22648500,2012
22648499,2012
22648498,2012
22648497,2012
22648496,2012
22629565,2012
22622587,2012
22622584,2012
22622583,2012
22622582,2012
22622581,2012
22622580,2012
22622579,2012
22622578,2012
22622577,2012
22622576,2012
22622575,2012
22622574,2012
22622573,2012
22622572,2012
22622571,2012
22622570,2012
22622569,2012
22622553,2012
22622552,2012
22622531,2012
22616102,2012
22616101,2012
22616100,2012
22616099,2012
22616098,2012
22616097,2012
22616096,2012
22616095,2012
22616094,2012
22616093,2012
22611568,2012
22596164,2012
22596163,2012
22596162,2012
22596161,2012
22596160,2012
22596159,2012
22596158,2012
22596157,2012
22596156,2012
22596155,2012
22596138,2012
22596137,2012
