pmid,year
21190462,2010
21190460,2010
21190459,2010
21190458,2010
21190457,2010
21190456,2010
21190455,2010
21190454,2010
21190452,2010
21190451,2010
21190449,2010
21175318,2010
21175317,2010
21175316,2010
21175315,2010
21175314,2010
21175313,2010
21175312,2010
21175310,2010
21175309,2010
21175308,2010
21175307,2010
21175306,2010
21175305,2010
21175304,2010
21158662,2010
21158661,2010
21158660,2010
21158659,2010
21158658,2010
21158656,2010
21158655,2010
21158654,2010
21158653,2010
21158652,2010
21158651,2010
21158647,2010
21142692,2010
21142691,2010
21142690,2010
21142538,2010
21142537,2010
21142536,2010
21142535,2010
21142534,2010
21142532,2010
21142531,2010
21142530,2010
21142529,2010
21142528,2010
21142527,2010
21128814,2010
21121839,2010
21121838,2010
21121837,2010
21121836,2010
21121834,2010
21121833,2010
21121831,2010
21121830,2010
21121829,2010
21121828,2010
21121827,2010
21121826,2010
21105832,2010
21105831,2010
21105801,2010
21105797,2010
21105796,2010
21105795,2010
21105794,2010
21105793,2010
21105792,2010
21105791,2010
21105789,2010
21105788,2010
21105787,2010
21091279,2010
21091062,2010
21083394,2010
21083393,2010
21083390,2010
21083389,2010
21083388,2010
21083387,2010
21083386,2010
21083385,2010
21083383,2010
21083382,2010
21083381,2010
21083380,2010
21083379,2010
21083378,2010
21082868,2010
21080835,2010
21080780,2010
21073365,2010
21073363,2010
21067387,2010
21067386,2010
21067385,2010
21067384,2010
21067383,2010
21067382,2010
21067381,2010
21067379,2010
21067378,2010
21067377,2010
21067375,2010
21067374,2010
21047232,2010
21047231,2010
21047229,2010
21047228,2010
21047227,2010
21047226,2010
21047225,2010
21047224,2010
21047223,2010
21047221,2010
21047220,2010
21047219,2010
21047218,2010
21047217,2010
20979476,2010
20979475,2010
20979474,2010
20979473,2010
20979472,2010
20979471,2010
20979470,2010
20979469,2010
20979467,2010
20979466,2010
20979465,2010
20979464,2010
20979463,2010
20973151,2010
20961252,2010
20961250,2010
20961249,2010
20961248,2010
20961246,2010
20961245,2010
20961244,2010
20961243,2010
20961241,2010
20961240,2010
20961239,2010
20950166,2010
20942673,2010
20942672,2010
20942671,2010
20942670,2010
20942669,2010
20942668,2010
20942667,2010
20942666,2010
20942664,2010
20942663,2010
20942661,2010
20942660,2010
20942659,2010
20929341,2010
20925552,2010
20925549,2010
20925548,2010
20925547,2010
20925546,2010
20925545,2010
20925544,2010
20925543,2010
20925541,2010
20925540,2010
20925539,2010
20925538,2010
20925537,2010
20925536,2010
20925535,2010
20925534,2010
20886676,2010
20879888,2010
20879887,2010
20879885,2010
20879884,2010
20879883,2010
20879882,2010
20879881,2010
20879880,2010
20879879,2010
20879877,2010
20879876,2010
20879875,2010
20872991,2010
20860513,2010
20860509,2010
20860508,2010
20860507,2010
20860506,2010
20860505,2010
20860504,2010
20860503,2010
20860502,2010
20860500,2010
20860499,2010
20860498,2010
20857542,2010
20848684,2010
20848683,2010
20843253,2010
20843252,2010
20843251,2010
20843250,2010
20843249,2010
20843248,2010
20843247,2010
20843246,2010
20843245,2010
20843243,2010
20843242,2010
20843241,2010
20843240,2010
20842792,2010
20842791,2010
20842790,2010
20842789,2010
20842786,2010
20842785,2010
20842783,2010
20842779,2010
20842776,2010
20842775,2010
20842774,2010
20842773,2010
20842772,2010
20842766,2010
20836245,2010
20830835,2010
20830834,2010
20830833,2010
20830832,2010
20830831,2010
