pmid,year
23258895,2012
23258894,2012
23258893,2012
23258892,2012
23258891,2012
23258890,2012
23258889,2012
23258888,2012
23258887,2012
23258886,2012
23258885,2012
23258884,2012
23258883,2012
23258882,2012
23258881,2012
23258880,2012
23258879,2012
23258878,2012
23258877,2012
23258875,2012
23258851,2012
23258414,2012
23258413,2012
23258412,2012
23258411,2012
23258410,2012
23258409,2012
23258408,2012
23258407,2012
23239740,2012
23239739,2012
23239738,2012
23239737,2012
23239736,2012
23239735,2012
23239734,2012
23239733,2012
23239732,2012
23239731,2012
23239730,2012
23239729,2012
23239728,2012
23239727,2012
23239726,2012
23239725,2012
23239724,2012
23239723,2012
23239722,2012
23239721,2012
23239720,2012
23239626,2012
23239625,2012
23239624,2012
23239623,2012
23239622,2012
23224558,2012
23224557,2012
23224556,2012
23224555,2012
23224554,2012
23224553,2012
23224552,2012
23224551,2012
23224550,2012
23224549,2012
23224548,2012
23224547,2012
23224546,2012
23224545,2012
23224544,2012
23224543,2012
23224542,2012
23224541,2012
23223454,2012
23223453,2012
23223452,2012
23223451,2012
23223395,2012
23223394,2012
23223393,2012
23197537,2012
23197535,2012
23197534,2012
23197533,2012
23197532,2012
23197531,2012
23197530,2012
23197529,2012
23197528,2012
23197527,2012
23197526,2012
23197525,2012
23197524,2012
23197523,2012
23197522,2012
23197521,2012
23197520,2012
23197519,2012
23197518,2012
23197517,2012
23196911,2012
23196910,2012
23196909,2012
23196908,2012
23196907,2012
23196906,2012
23196905,2012
23180860,2012
23180859,2012
23180858,2012
23180857,2012
23180856,2012
23180855,2012
23180854,2012
23180853,2012
23180852,2012
23180851,2012
23180850,2012
23180849,2012
23180848,2012
23180847,2012
23180776,2012
23180775,2012
23180774,2012
23180773,2012
23180772,2012
23180771,2012
23162003,2012
23162002,2012
23162001,2012
23162000,2012
23161999,2012
23161998,2012
23161997,2012
23161996,2012
23161995,2012
23161994,2012
23161993,2012
23161992,2012
23161991,2012
23161990,2012
23161988,2012
23161987,2012
23161986,2012
23161985,2012
23161984,2012
23161983,2012
23161982,2012
23161981,2012
23160958,2012
23160957,2012
23160956,2012
23160955,2012
23160954,2012
23160953,2012
23139336,2012
23139335,2012
23139334,2012
23139333,2012
23139332,2012
23139331,2012
23139330,2012
23139329,2012
23139328,2012
23139327,2012
23139326,2012
23139325,2012
23139324,2012
23139323,2012
23139322,2012
23139321,2012
23139320,2012
23139319,2012
23139318,2012
23139317,2012
23139314,2012
23138981,2012
23138980,2012
23138979,2012
23138978,2012
23118192,2012
23118191,2012
23118190,2012
23118189,2012
23118188,2012
23118187,2012
23118186,2012
23118185,2012
23118184,2012
23118183,2012
23118182,2012
23118181,2012
23118180,2012
23118179,2012
23118178,2012
23118177,2012
23118176,2012
23118175,2012
23118174,2012
23118173,2012
23118172,2012
23118171,2012
23118168,2012
23118014,2012
23118013,2012
23118012,2012
23118011,2012
23118010,2012
23112336,2012
23112335,2012
23112334,2012
23112333,2012
23112332,2012
23112331,2012
23112330,2012
23112329,2012
23112328,2012
23112327,2012
23112326,2012
23112325,2012
23112324,2012
23112323,2012
23112322,2012
23112321,2012
23112320,2012
23112319,2012
23112318,2012
23112317,2012
23112316,2012
23112315,2012
23112313,2012
23112297,2012
23112296,2012
23112295,2012
23112294,2012
23112293,2012
23087247,2012
23087246,2012
23087245,2012
23087244,2012
23087243,2012
23087242,2012
23087241,2012
23087240,2012
23087239,2012
23087238,2012
23087237,2012
23087236,2012
23087235,2012
23087234,2012
23087233,2012
23087231,2012
23087001,2012
23087000,2012
23086999,2012
23086998,2012
23019633,2012
23076099,2012
23076098,2012
23066083,2012
23066082,2012
23066081,2012
23066080,2012
23066079,2012
23066078,2012
23066077,2012
23066076,2012
23066075,2012
23066074,2012
23066073,2012
23066072,2012
23066071,2012
23066070,2012
23066069,2012
23066068,2012
23066067,2012
23066066,2012
23066065,2012
23066064,2012
23066063,2012
23066061,2012
23065906,2012
23065905,2012
23065904,2012
23065903,2012
23065902,2012
23042898,2012
23042897,2012
23042896,2012
23042895,2012
23042894,2012
23042892,2012
23042891,2012
23042890,2012
23042889,2012
23042888,2012
23042887,2012
23042886,2012
23042885,2012
23042884,2012
23042883,2012
23042882,2012
23042881,2012
23042880,2012
23042879,2012
23042878,2012
23042877,2012
23042876,2012
23042875,2012
23042874,2012
23042873,2012
23042872,2012
23042871,2012
23042863,2012
23042296,2012
23042295,2012
23042294,2012
23042293,2012
23042292,2012
23019653,2012
23019652,2012
23019651,2012
23019650,2012
23019649,2012
23019648,2012
23019647,2012
23019646,2012
23019645,2012
23019644,2012
23019643,2012
23019642,2012
23019641,2012
23019640,2012
23019639,2012
23019638,2012
23019637,2012
23019636,2012
23019635,2012
23019634,2012
23019632,2012
23019613,2012
23019612,2012
23019611,2012
23019610,2012
23019609,2012
22997339,2012
22997338,2012
22997337,2012
22997336,2012
22997335,2012
22997334,2012
22997333,2012
22997332,2012
22997330,2012
22997329,2012
22997328,2012
22997327,2012
22997326,2012
22997325,2012
22997317,2012
22997316,2012
22997315,2012
22997314,2012
22997313,2012
22997312,2012
22997311,2012
22997310,2012
22997307,2012
22997136,2012
22997135,2012
22997134,2012
22997133,2012
22997132,2012
22997131,2012
22984074,2012
22984073,2012
22984072,2012
22984071,2012
22984070,2012
22984069,2012
22984068,2012
22984067,2012
22984066,2012
22984065,2012
22984064,2012
22984063,2012
22984062,2012
22984061,2012
22984060,2012
22984059,2012
22984058,2012
22984057,2012
22984056,2012
22984055,2012
22984053,2012
22983711,2012
22983710,2012
22983709,2012
22983708,2012
22983707,2012
22956687,2012
22956686,2012
22956685,2012
22956684,2012
22955834,2012
22955833,2012
22955832,2012
22955831,2012
22955830,2012
22955829,2012
22955828,2012
22955827,2012
22955826,2012
22955825,2012
22955824,2012
22955823,2012
22955822,2012
22955821,2012
22955820,2012
22955818,2012
22936781,2012
22936780,2012
22936779,2012
22936778,2012
22936777,2012
22936776,2012
22936775,2012
22936774,2012
22936773,2012
22936772,2012
22936771,2012
22936770,2012
22936769,2012
22936768,2012
22936767,2012
22936766,2012
22936765,2012
22936764,2012
22936763,2012
22936762,2012
22936761,2012
