PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	HOLDEN, C				HOLDEN, C			POTENTIAL NOBEL COMPETITOR	SCIENCE			English	Editorial Material																			0	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	AUG 17	1990	249	4970					737	737						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	DV088	17756781				2022-12-28	WOS:A1990DV08800014
J	HOLDEN, C				HOLDEN, C			CULTURE CLASH OVER NEXT NSF HEAD	SCIENCE			English	Editorial Material																			0	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	AUG 17	1990	249	4970					737	737						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Science & Technology - Other Topics	DV088	17756781				2022-12-28	WOS:A1990DV08800016
J	HOLDEN, C				HOLDEN, C			STONE TO HEAD JPL	SCIENCE			English	Editorial Material																			0	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	JUL 27	1990	249	4967					359	359						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	DQ702	17755938				2022-12-28	WOS:A1990DQ70200024
J	HOLDEN, C				HOLDEN, C			ARMY DECONTAMINANT GETS WASHED UP	SCIENCE			English	Editorial Material																		1990, GAONSIAD9010 US GEN	1	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	JUL 27	1990	249	4967					359	359						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	DQ702	17755938				2022-12-28	WOS:A1990DQ70200021
J	HOLDEN, C				HOLDEN, C			HOUSECLEANING FOR NASA	SCIENCE			English	Editorial Material																			0	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	AUG 17	1990	249	4970					737	737						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	DV088	17756781				2022-12-28	WOS:A1990DV08800013
J	HOLDEN, C				HOLDEN, C			UPDATED GENE TOME	SCIENCE			English	Editorial Material																		McKusick VA, 1990, MENDELIAN INHERITANC	1	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	JUL 27	1990	249	4967					359	359						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	DQ702	17755938				2022-12-28	WOS:A1990DQ70200023
J	HOLDEN, C				HOLDEN, C			REPORT WORRIES THAT SUN IS SETTING ON BRITISH RESEARCH	SCIENCE			English	Editorial Material																			0	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	AUG 17	1990	249	4970					737	737						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	DV088	17756781				2022-12-28	WOS:A1990DV08800015
J	HOLDEN, C				HOLDEN, C			SPIDERY TROMPE-LOEIL	SCIENCE			English	Editorial Material																		CRAIG C, 1990, ECOLOGY          APR	1	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	JUL 27	1990	249	4967					359	359						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	DQ702	17755938				2022-12-28	WOS:A1990DQ70200025
J	HOLDEN, C				HOLDEN, C			NEW BRAIN JOURNAL	SCIENCE			English	Editorial Material																			0	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	JUL 27	1990	249	4967					359	359						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	DQ702	17755938				2022-12-28	WOS:A1990DQ70200022
J	HOLDEN, C				HOLDEN, C			FAIRY-TALE PRIZE FOR NOBEL NONCONTENDERS	SCIENCE			English	Editorial Material																			0	1	1	0	2	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	FEB 14	1992	255	5046					801	801						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	HD548	17756425				2022-12-28	WOS:A1992HD54800024
